Retailer_ID,Product_name,Product_description,Grammage,UPC,Ingredients,Warning,Product_sku,Brand,Rating,Review,Image_url,Retailer_URL,Selling_price
,Walgreens Neti Pot Kit,"Unique soft tip for greater comfort
All natural
Relief of nasal congestion, sinus infection, allergy symptoms, post-nasal drip, dry air & rhinitis of pregnancy
The Walgreens Neti Pot Kit uses saline solution and the gentle flow of gravity to wash the nasal passages. The unique soft tip design provides greater comfort.
Nasal washing helps alleviate symptoms caused by allergies, sinus infections, dry air, nasal congestion, post-nasal drip and rhinitis of pregnancy. It provides relief for uncomfortable sinus and nasal conditions and promotes better breathing.
Nasal washing is all natural and safe for both children and adults, including pregnant and nursing mothers and people taking other medications. Doctor developed, medically proven.
Walgreens Neti Pot Kit contains:
1 neti pot with soft comfort tip
30 all-natural saline packets (0.1 oz/3 g each)
1 instructions for use
Made in United States(Saline packets; in an FDA registered drug facility)
100% satisfaction guaranteed
Adults and children 4 years and over: Use 1-2 packets per 8 fl oz (240 mL) up to every 2 hours as needed
Children under 4 years: Consult a physician
See enclosed instruction sheet for complete directions and proper use
Other information
Inspect saline packets for integrity
Do not use saline packets if open, torn, or expired
Protect saline packets from excessive heat and moisture
See saline packets or box for lot # and expiration date
Temporarily relieves symptoms associated with sinusitis, cold, flu or allergies:
Sneezing
Runny nose
Nasal stuffiness
Post nasal drip
Removes inhaled irritants (dust, pollen)
Promotes nasal and sinus drainage
Helps reduce swelling of nasal membranes
Moisturizes dry nasal passages
©2021 Walgreen Co.",1.0 set,31191718632,"['Sodium Bicarbonate USP - 700 mg (Nasal Wash)', 'Sodium Chloride USP - 2300 mg (Nasal Wash)']","Stop use and ask a doctor if
washing is uncomfortable or symptoms are not relieved.
Do not use unfiltered tap water,
see instructions inside box for proper water sources.
Do not use if nasal passages are completely blocked
or if you have an ear infection or blocked ears.
When using this product:
Use by only one person
Wash with soap and water after each use
Top rack of dishwasher safe
Do not heat microwave
Keep out of reach of children.",sku6279388,Walgreens,4.3,169,"['https://pics.walgreens.com/prodimg/585352/450.jpg', 'https://pics.walgreens.com/prodimg/585352/2_450.jpg', 'https://pics.walgreens.com/prodimg/585352/3_450.jpg', 'https://pics.walgreens.com/prodimg/585352/4_450.jpg', 'https://pics.walgreens.com/prodimg/585352/5_450.jpg', 'https://pics.walgreens.com/prodimg/585352/6_450.jpg', 'https://pics.walgreens.com/prodimg/585352/7_450.jpg', 'https://pics.walgreens.com/prodimg/585352/8_450.jpg', 'https://pics.walgreens.com/prodimg/585352/9_450.jpg']",,13.49
,Walgreens 4 Hour Allergy Relief Tablets,"Relief of runny nose, sneezing, itchy, watery eyes & itchy throat or nose.
100% satisfaction guaranteed
Take every 4 to 6 hours, or as directed by a doctor
Adults and children 12 years and over: 1 tablet. Do not exceed 6 tablets in 24 hours.
Children 6 to under 12 years: 1/2 tablet (break tablet in half). Do not exceed 3 whole tablets in 24 hours.
Children under 6 years: do not use
Other information
Store at 25 degrees C (77 degrees F); excursions permitted between 15-30 degrees C (59-86 degrees F)
Protect from excessive moisture
See end flap for expiration date and lot number
Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
Sneezing
Runny nose
Itchy, watery eyes
Itching of the nose or throat
© 2011 Walgreen Co.",50.0 ea,31191704384,['Chlorpheniramine Maleate (4mg) (Antihistamine)'],"Do not use
to make a child sleepy.
Ask a doctor before use if you have
A breathing problem such as emphysema or chronic bronchitis
Glaucoma
Difficulty in urination due to enlargement of the prostate gland
Ask a doctor or pharmacist before use if you are
taking sedatives or tranquilizers.
When using this product
Drowsiness may occur
Avoid alcoholic beverages
Excitability may occur, especially in children
Use caution when driving a motor vehicle or operating machinery
Alcohol, sedatives, and tranquilizers may increase drowsiness
If pregnant or breast-feeding,
ask a health professional before use.
Keep out of reach of children.
In case of overdose, get medical help or contact a Poison Control Center right away.",sku382720,Walgreens,4.6,421,"['https://pics.walgreens.com/prodimg/369235/450.jpg', 'https://pics.walgreens.com/prodimg/369235/2_450.jpg', 'https://pics.walgreens.com/prodimg/369235/3_450.jpg', 'https://pics.walgreens.com/prodimg/369235/4_450.jpg', 'https://pics.walgreens.com/prodimg/369235/5_450.jpg', 'https://pics.walgreens.com/prodimg/369235/6_450.jpg']",,18.00
,Benadryl Liqui-Gels Antihistamine Allergy Relief Medicine,"Benadryl Dye-Free Liqui-Gels Antihistamine Allergy Medicine for temporary cold & allergy relief.
Allergies can hit fast. Get effective relief from allergies & cold symptoms with liquid capsules.
Allergy medicine contains 25 mg of the powerful antihistamine diphenhydramine HCl per liquid gel.
Relieves allergy symptoms of sneezing, runny nose, itchy nose or throat, & itchy, watery eyes.
Capsules relieve cold symptoms of sneezing & runny nose to provide more than just allergy relief.
Antihistamine liquid gels put your hay fever or other upper respiratory allergy symptoms to rest.
From a doctor recommended brand, diphenhydramine HCl tablets are free of dyes & added colors.
Safe & effective, when used as directed, allergy relief medicine for adults & children ages 6 & up.
Allergies can hit fast. Get powerful relief with Benadryl Dye-Free Liqui-Gels Allergy Medicine with the antihistamine diphenhydramine hydrochloride. The liquid gel capsules temporarily relieve symptoms associated with hay fever or other upper respiratory allergies caused by common allergens such as pollen, dust mites, mold and pet dander, as well as symptoms of the common cold. Free of dyes, each of these liquid gels contains 25 mg of the antihistamine diphenhydramine HCl to temporarily treat symptoms due to the common cold and allergy symptoms such as sneezing, runny nose, itchy nose or throat, and itchy, watery eyes. This allergy medicine is safe and effective, when used as directed, and has a dye-free formula. From a doctor recommended brand, Benadryl liquid capsules are intended for adults and children ages six and up to relieve indoor and outdoor allergy symptoms and cold symptoms. Adults and children 12+, take one to two allergy medicine capsules every four to six hours.
Made in United States
Take every 4 to 6 hours. Do not take more than 6 doses in 24 hours. Adults and children 12 years and over: 1 to 2 capsules. Children 6 to under 12 years: 1 capsule. Children under 6 years: do not use this product in children under 6 years of age. Other information: Store between 20-25 degrees C (68-77 degrees F). Avoid high humidity and excessive heat. Protect from light. Questions or comments? Call 1-877-717-2824 (toll-free) or 215-273-8755 (collect).
Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
Runny nose
Sneezing
Itchy, watery eyes
Itching of the nose or throat
Temporarily relieves these symptoms due to the common cold:
Runny nose
Sneezing
©
Johnson & Johnson",24.0 ea,31254717021,['Diphenhydramine HCl - 25 mg (Antihistamine)'],"Do not use:
To make a child sleepy
With any other product containing diphenhydramine, even one used on skin
Ask a doctor before use if you have:
A breathing problem such as emphysema or chronic bronchitis
Glaucoma
Trouble urinating due to an enlarged prostate gland
Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers.
When using this product:
Marked drowsiness may occur
Avoid alcoholic drinks
Alcohol, sedatives, and tranquilizers may increase drowsiness
Be careful when driving a motor vehicle or operating machinery
Excitability may occur, especially in children
If pregnant or breast-feeding, ask a health professional before use.
Keep out of reach of children.
In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222).
Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
runny nose
sneezing
itchy, watery eyes
itching of the nose or throat
Temporarily relieves these symptoms due to the common cold:
runny nose
sneezing",sku305632,Benadryl,4.5,410,"['https://pics.walgreens.com/prodimg/11388/450.jpg', 'https://pics.walgreens.com/prodimg/11388/2_450.jpg', 'https://pics.walgreens.com/prodimg/11388/3_450.jpg', 'https://pics.walgreens.com/prodimg/11388/4_450.jpg', 'https://pics.walgreens.com/prodimg/11388/5_450.jpg', 'https://pics.walgreens.com/prodimg/11388/6_450.jpg']",,6.99
,Benadryl Allergy Ultratabs,"Get powerful relief from unexpected allergies with Benadryl Allergy Ultratabs Antihistamine Allergy Relief Tablets; that offer effective cold & allergy relief from hay fever, upper respiratory allergy & common cold symptoms in one small, oval shaped coated tablet. Each easy-to-swallow tablet contains 25 milligrams of the antihistamine diphenhydramine HCl to temporarily relieve allergy symptoms due to hay fever & upper respiratory allergies like sneezing; runny nose; itchy throat & nose; & itchy, watery eyes & the common cold symptoms of runny nose & sneezing. A trusted allergy brand, Benadryl Ultratabs with diphenhydramine HCl 25 mg are intended for adults & children ages six & up. The allergy tablets from a doctor recommended brand work when you need it most & provide safe & effective allergy relief when use as directed. The small, easy-to-swallow tablet form provides multi-symptom indoor & outdoor allergy relief & cold relief.
Made in United States
Take every 4 to 6 hours, or as directed by a doctor. Do not take more than 6 times in 24 hours.
Adults and children 12 years and over: 1 to 2 tablets.
Children 6 to under 12 years: 1 tablet.
Children under 6 years: Do Not Use.
Other information:
Each tablet contains: Calcium 15 mg.
Store between 20-25C (68-77F). Protect from light.
Questions or comments? call 1-877-717-2824 (toll-free) or 215-273-8755 (collect)
Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
Runny nose
Sneezing
Itchy, watery eyes
Itching of the nose or throat
Temporarily relieves these symptoms due to the common cold:
Runny nose
Sneezing
©
Johnson & Johnson",24.0 ea,31254717031,['Diphenhydramine HCl - 25 mg (Antihistamine)'],"Do not use:
To make a child sleepy.
With any other product containing diphenhydramine, even one used on skin.
Ask a doctor before use if you have:
A breathing problem such as emphysema or chronic bronchitis.
Glaucoma.
Trouble urinating due to an enlarged prostate gland.
Ask a doctor or pharmacist before use if you are
taking sedatives or tranquilizers.
When using this product:
Marked drowsiness may occur.
Avoid alcoholic drinks.
Alcohol, sedatives, and tranquilizers may increase drowsiness.
Be careful when driving a motor vehicle or operating machinery.
Excitability may occur, especially in children.
If pregnant or breast-feeding,
ask a health professional before use.
Keep out of reach of children.
In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)",sku301351,Benadryl,4.6,527,"['https://pics.walgreens.com/prodimg/11391/450.jpg', 'https://pics.walgreens.com/prodimg/11391/2_450.jpg', 'https://pics.walgreens.com/prodimg/11391/3_450.jpg', 'https://pics.walgreens.com/prodimg/11391/4_450.jpg', 'https://pics.walgreens.com/prodimg/11391/8_450.jpg', 'https://pics.walgreens.com/prodimg/11391/10_450.jpg']",,6.99
,Walgreens Allergy Relief Diphenhydramine Coated Mini Tabs,"Compare to the active ingredient in Benadryl Allergy Ultratab Tablets
Relief of runny nose, sneezing, itchy throat & itchy, watery eyes
100% satisfaction guaranteed
Do not take more than directed
Take every 4 to 6 hours, or as directed by a doctor
Do not take more than 6 times in 24 hours
Adults and children 12 years and over: 1 to 2 tablets
Children 6 to under 12 years: 1 tablet
Children under 6 years: do not use
Other information
Each tablet contains: calcium 30 mg
Tamper evident: Do not use if outer package is opened or blister is torn or broken
Store at 25 degrees C (77 degrees F); excursions permitted between 15-30 degrees C (59-86 degrees F)
Protect from moisture
See end flap for expiration date and lot number
Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
Runny nose
Itchy, watery eyes
Sneezing
Itching of the nose or throat
Temporarily relieves these symptoms due to the common cold:
Runny nose
Sneezing
© 2011 Walgreen Co.",24.0 ea,31191707191,['Diphenhydramine HCl - 25 mg (Antihistamine)'],"Do not use
To make a child sleepy
With any other product containing diphenhydramine, even one used on skin
Ask a doctor before use if you have
A breathing problem such as emphysema or chronic bronchitis
Glaucoma
Difficulty in urination due to enlargement of the prostate gland
Ask a doctor or pharmacist before use if you are
taking sedatives or tranquilizers.
When using this product
Marked drowsiness may occur
Avoid alcoholic beverages
Alcohol, sedatives, and tranquilizers may increase drowsiness
Use caution when driving a motor vehicle or operating machinery
Excitability may occur, especially in children
If pregnant or breast-feeding,
ask a health professional before use.
Keep out of reach of children.
In case of overdose, get medical help or contact a Poison Control Center right away.
NOT FOR HOUSEHOLDS WITH YOUNG CHILDREN.",sku2501439,Walgreens,4.3,96,"['https://pics.walgreens.com/prodimg/414355/450.jpg', 'https://pics.walgreens.com/prodimg/414355/2_450.jpg', 'https://pics.walgreens.com/prodimg/414355/3_450.jpg', 'https://pics.walgreens.com/prodimg/414355/4_450.jpg']",,5.49
,Walgreens Sinus PE + Allergy Maximum Strength Tablets,"Maximum strength
Pseudoephedrine free
Antihistamine / Nasal decongestant
Relieves sneezing, itchy eyes, runny nose, sinus pressure & congestion.
Walgreens Pharmacist Recommended^
Learn more about Walgreens brand products
^Our pharmacists recommend the Walgreens brand. We invite you to compare to national brands.
**Satisfaction Guarantee valid on Walgreens owned brand products only.
100% satisfaction guaranteed
Adults and children 12 years and over: take 1 tablet every 4 hours. Do not take more than 6 tablets in 24 hours
Children under 12 years: do not use
Other Information:
Store at 25 degrees C (77 degrees F); excursions permitted between 15-30 degrees C (59 -86 degrees F)
Temporarily relieves these symptoms due to hay fever (allergic rhinitis) or other upper respiratory allergies:
Itchy, watery eyes
Runny nose
Itching of the nose or throat
Nasal congestion
Sneezing
Sinus Congestion and pressure
©2021 Walgreens Co.",24.0 ea,31191706813,"['Chlorpheniramine Maleate (4mg) (Antihistamine)', 'Phenylephrine HCl - 10 mg (Nasal Decongestant)']","Do not use if
you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product.
Ask a doctor before use if you have
High blood pressure
Heart disease
Thyroid disease
Diabetes
Glaucoma
Difficulty in urination due to enlargement of the prostate gland
A breathing problem such as emphysema or chronic bronchitis
Ask a doctor or pharmacist before use if you are
taking sedatives or tranquilizers.
When using this product
Do not exceed recommended dosage
Excitability may occur, especially in children
Drowsiness may occur
Avoid alcoholic beverages
Alcohol, sedatives and tranquilizers may increase drowsiness
Use caution when driving a motor vehicle or operating machinery
Stop use and ask a doctor if
Nervousness, dizziness, or sleeplessness occur
Symptoms do not improve within 7 days or occur with a fever
If pregnant or breast-feeding,
ask a health professional before use.
Keep out of the reach of children.
In case of overdose, get medical help or contact a Poison Control Center right away.",sku1607727,Walgreens,4.5,212,"['https://pics.walgreens.com/prodimg/369881/450.jpg', 'https://pics.walgreens.com/prodimg/369881/2_450.jpg', 'https://pics.walgreens.com/prodimg/369881/3_450.jpg', 'https://pics.walgreens.com/prodimg/369881/4_450.jpg', 'https://pics.walgreens.com/prodimg/369881/5_450.jpg', 'https://pics.walgreens.com/prodimg/369881/6_450.jpg', 'https://pics.walgreens.com/prodimg/369881/7_450.jpg']",,7.79
,Flonase Allergy Relief Nasal Spray,"One 72-spray bottle of Flonase Allergy Relief Nasal Spray
Great for seasonal allergy relief in Spring, back-to-school, and Fall, or for year-round use
Same Flonase relief now in a new recyclable paper package that's easier to open, no scissors needed
Non-drowsy long lasting 24 hour relief of indoor and outdoor allergy symptoms caused by allergens including pollen, mold, dust mites and pet dander
Flonase is safe to use every day (consult with a doctor after 6 months)
This 72ct bottle provides up to 5 weeks (36 days) supply when used one spray per nostril, every day
Use daily for best results
Number 1 doctor recommended allergy brand (1) delivers full prescription strength relief from allergies
Flonase Allergy Relief Nasal Spray relieves nasal congestion, runny nose, sneezing, itchy nose, and itchy, watery eyes caused by allergens such as pollen, mold, dust, and pet dander. Its non-drowsy, 24-hour formula is perfect for combating seasonal allergies. Whether it's Spring, back-to-school, or Fall, Flonase nasal spray is your trusted solution for year-round allergy relief, recognized as the number 1 doctor recommended brand of allergy medicine (1). (1) Among OTC Allergy Medications based on most recent physicians' survey dated 06/02/2023
Made in US
Read the Quick Start Guide for how to: shake vigorously before each use, prime the bottle, use the spray, sniff gently after each spray. Clean the spray nozzle with a clean dry tissue. Use the product only once a day. Do not use more than directed. ADULTS AND CHILDREN 12 YEARS OF AGE AND OLDER. Week 1 - use 2 sprays in each nostril once daily. Week 2 through 6 months - use 1 or 2 sprays in each nostril once daily, as needed to treat your symptoms. After 6 months of daily use - ask your doctor if you can keep using. CHILDREN 4 TO 11 YEARS OF AGE. The growth rate of some children may be slower while using this product. Children should use for the shortest amount of time necessary to achieve symptom relief. Talk to your child's doctor if your child needs to use the spray for longer than two months a year. An adult should supervise use. Use 1 spray in each nostril once daily. CHILDREN UNDER 4 YEARS OF AGE. Do not use. Temporarily relieves these symptoms of hay fever or other upper respiratory allergies: nasal congestion, runny nose, sneezing, itchy nose,  itchy, watery eyes (for ages 12 and older). ©Haleon group of companies or its licensor",0.38 fl oz,35310022889,['Fluticasone propionate (glucocorticoid) - 50 mcg (Allergy symptom reliever)'],"Only for use in the nose. Do not spray into your eyes or mouth. Do not use: In children under 4 years of age. To treat asthma. If you have an injury or surgery to your nose that is not fully healed. If you have ever had an allergic reaction to this product or any of the ingredients. Ask a doctor before use if you have or had glaucoma or cataracts. Ask a doctor or pharmacist before use if you are taking: Medicine for HIV infection (such as ritonavir). A steroid medicine for asthma, allergies or skin rash. Ketoconazole pills (medicine for fungal infection). When using this product the growth rate of some children may be slower. Stinging or sneezing may occur for a few seconds right after use. Do not share this bottle with anyone else as this may spread germs. Remember to tell your doctor about all the medicines you take, including this one. Stop use and ask a doctor if: You have, or come into contact with someone who has, chicken pox, measles or tuberculosis. Your symptoms do not get better within 7 days of starting use or you get new symptoms such as severe facial pain or thick nasal discharge. You may have something more than allergies, such as an infection. You get a constant whistling sound from your nose. This may be a sign of damage inside your nose. You get an allergic reaction to this product. Seek medical help right away. You get new changes to your vision that develop after starting this product. you have severe or frequent nosebleeds If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.",400626229,Flonase,4.6,1668,"['https://pics.walgreens.com/prodimg/626229/450.jpg', 'https://pics.walgreens.com/prodimg/626229/2_450.jpg', 'https://pics.walgreens.com/prodimg/626229/3_450.jpg', 'https://pics.walgreens.com/prodimg/626229/4_450.jpg', 'https://pics.walgreens.com/prodimg/626229/5_450.jpg', 'https://pics.walgreens.com/prodimg/626229/6_450.jpg', 'https://pics.walgreens.com/prodimg/626229/7_450.jpg', 'https://pics.walgreens.com/prodimg/626229/8_450.jpg']",,21.99
,Claritin 24 Hour Non-Drowsy Allergy Relief,"Claritin allergy medicine provides powerful, non-drowsy relief from allergy symptoms caused by over 200 indoor and outdoor allergens, such as pollen, dust mites, pet dander, and mold. With Loratadine as its active ingredient, Claritin works as an antihistamine to relieve symptoms like sneezing, runny nose, itchy and watery eyes. The easy-to-swallow tablets are convenient to take, making it a great option for those who prefer traditional tablet medication. With Claritin, you can experience long-lasting relief from your allergy symptoms without feeling drowsy, so you can focus on your day with confidence.
Claritin allergy medicine offers powerful non drowsy allergy relief.
Allergy medicine that provides relief from symptoms caused by over 200 indoor and outdoor allergens, including pollen, dust, and pet dander. Claritin is an antihistamine so it hinders the allergic cascade triggered by allergens without making you drowsy.
This Loratadine allergy medicine temporarily relieves runny nose, sneezing, itchy and watery eyes and itchy nose and throat.
#1 physician recommended non-drowsy oral allergy brand.
With easy-to-swallow tablets, Claritin is a convenient and powerful solution for those seeking long-lasting allergy relief without feeling drowsy or sluggish.
Product of India
Adults and Children 6 years and over: 1 tablet daily; not more than 1 tablet in 24 hours. Children under 6 years of age: ask a doctor. Consumers with liver or kidney disease: ask a doctor.
Allergy Relief
©Bayer",10.0 ea,04110008016,"['Loratadine, USP - 10 mg (Antihistamine)']","DO NOT USE if you have ever had an allergic reaction to this product or any of its ingredients.
ASK A DOCTOR BEFORE USE IF YOU HAVE liver or kidney disease. Your doctor should determine if you need a different dose.
WHEN USING THIS PRODUCT do not take more than directed. Taking more than directed may cause drowsiness.
STOP USE AND ASK A DOCTOR IF an allergic reaction to this product occurs. Seek medical help right away.
IF PREGNANT OR BREAST-FEEDING, ask a health professional before use.
KEEP OUT OF REACH OF CHILDREN. In case of overdose, get medical help or contact a Poison Control Center right away.",sku385394,Claritin,4.4,677,"['https://pics.walgreens.com/prodimg/78899/450.jpg', 'https://pics.walgreens.com/prodimg/78899/2_450.jpg', 'https://pics.walgreens.com/prodimg/78899/3_450.jpg', 'https://pics.walgreens.com/prodimg/78899/4_450.jpg', 'https://pics.walgreens.com/prodimg/78899/5_450.jpg', 'https://pics.walgreens.com/prodimg/78899/6_450.jpg', 'https://pics.walgreens.com/prodimg/78899/7_450.jpg']",,13.99
,Flonase Sensimist Allergy Relief Nasal Spray 120 Sprays,"One 120-spray bottle of Flonase Sensimist Allergy Relief Nasal Spray
Now in a new easier to open recyclable paper package, no scissors needed
Sensimist relieves nasal congestion plus runny nose, sneezing, itchy nose, and itchy, watery eyes (1)
Sensimist relieves indoor and outdoor allergy symptoms caused by allergens including pollen, mold, dust mites and pet dander
Sensimist works by blocking 6 allergic substances (2) to stop your body from overreacting to allergens
Use daily for best results
Flonase Sensimist is scent-free and uses a bottle, designed to deliver a fine mist that you'll barely feel and is virtually drip-free
Flonase Sensimist Allergy Relief Nasal Spray relieves nasal congestion plus runny nose, sneezing, itchy nose, and itchy, watery eyes (1) with a fine mist that is scent free. This allergy spray is full prescription strength, offering non-drowsy, 24-hour, long-lasting relief of allergy symptoms caused by allergens, including pollen, mold, dust, and pet dander. To use, shake the bottle vigorously, prime the bottle for use by pumping until a fine mist appears, then spray up to two sprays directly in each nostril (for adults, children 2-11 use 1 spray per nostril per day). This allergy spray is formulated for daily use in adults and children 2 years and older.
(1) Flonase Sensimist is indicated for itchy, watery eyes in adults and children 12 years of age and older
(2) Flonase acts on multiple inflammatory substances (histamine, prostaglandins, cytokines, tryptases, chemokines, and leukotrienes). The exact number of mediators and precise mechanisms are unknown
Made in Singapore
Children 2-11: Spray one nostril per day for nasal symptoms. Talk to your doctor if your child needs to use for longer than two months.
Temporarily relieves these symptoms of hay fever or other upper respiratory allergies:
Nasal Congestion
Runny Nose
Sneezing
Itchy Nose
Itchy, Watery Eyes
*For ages 12 and older
©Haleon group of companies or its licensor",0.31 fl oz,35310020225,['Fluticasone Furoate (Glucocorticoid) - 27.5 mcg (Allergy Symptom Reliever)'],"Children 2-11: Do not use for more than 2 months a year. Keep out of reach of children. Only for use in the nose, do not spray into eyes.
Temporarily relieves these symptoms of hay fever or other upper respiratory allergies:
Nasal Congestion
Runny Nose
Sneezing
Itchy Nose
Itchy, Watery Eyes
*for ages 12 and older",sku6283030,Flonase,4.5,1687,"['https://pics.walgreens.com/prodimg/588313/450.jpg', 'https://pics.walgreens.com/prodimg/588313/2_450.jpg', 'https://pics.walgreens.com/prodimg/588313/3_450.jpg', 'https://pics.walgreens.com/prodimg/588313/4_450.jpg', 'https://pics.walgreens.com/prodimg/588313/5_450.jpg', 'https://pics.walgreens.com/prodimg/588313/6_450.jpg', 'https://pics.walgreens.com/prodimg/588313/7_450.jpg', 'https://pics.walgreens.com/prodimg/588313/8_450.jpg', 'https://pics.walgreens.com/prodimg/588313/9_450.jpg', 'https://pics.walgreens.com/prodimg/588313/10_450.jpg', 'https://pics.walgreens.com/prodimg/588313/11_450.jpg', 'https://pics.walgreens.com/prodimg/588313/12_450.jpg']",,28.99
,Benadryl Allergy Plus Congestion Ultratabs,"Get allergy relief you can trust + fast congestion relief with Benadryl Allergy Plus Congestion Ultratabs Tablets. Combining allergy relief with nasal congestion relief, Benadryl Allergy + Congestion dries runny noses and provides relief of stuffy noses so you can breathe better. The formula from a trusted allergy brand temporarily relieves a wide range of symptoms due to hay fever or other upper respiratory allergies, including runny nose, sneezing, itchy & watery eyes, itching of the nose or throat & nasal congestion. The allergy tablets also temporarily relieve runny nose, sneezing & congestion due to the common cold, as well as sinus congestion & sinus pressure. From a doctor-recommended brand, each tablet contains 25 milligrams of the antihistamine diphenhydramine HCl & 10 milligrams of the nasal decongestant phenylephrine HCl for safe & effective relief when used as directed. Relief of cold symptoms & symptoms due to indoor & outdoor allergies.
Allergy & sinus congestion tablets provide allergy relief you can trust + fast congestion relief
With 25 mg of the antihistamine diphenhydramine HCl per tablet to alleviate allergy symptoms
Contains 10 mg of the nasal decongestant phenylephrine HCl per tablet for sinus congestion relief
Dries runny noses and provides relief of stuffy noses so you can breathe better
Allergy tablets treat indoor & outdoor allergies & relieves nasal congestion due to the common cold
Get relief from a range of allergy symptoms due to hay fever or other upper respiratory allergies
From a doctor recommended brand, get powerful relief you can trust with fast congestion relief
Made in Italy
Adults and children 12 years and older
Take 1 tablet every 4 hours
Do not take more than 6 tablets in 24 hours
Children under 12 years: ask a doctor
Other information
Store between 20-25 degrees C (68-77 degrees F)
Questions or comments? call 1-888-217-2117 (toll-free) or 215-273-8755 (collect)
Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
Runny nose
Sneezing
Itchy, watery eyes
Itching of the nose or throat
Nasal congestion
Temporarily relieves these symptoms due to the common cold:
Runny nose
Sneezing
Nasal congestion
Temporarily relieves sinus congestion and pressure
©Johnson & Johnson",24.0 ea,30045055726,"['Diphenhydramine HCl - 25 mg (Antihistamine)', 'Phenylephrine HCl - 10 mg (Nasal decongestant)']","Do not use:
To make a child sleepy
With any other product containing diphenhydramine, even one used on skin
If you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product.
Ask a doctor before use if you have
Heart disease
High blood pressure
Thyroid disease
Diabetes
Trouble urinating due to an enlarged prostate gland
A breathing problem such as emphysema or chronic bronchitis
Glaucoma
Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers
When using this product
Do not exceed recommended dose
Marked drowsiness may occur
Avoid alcoholic drinks
Alcohol, sedatives, and tranquilizers may increase drowsiness
Be careful when driving a motor vehicle or operating machinery
Excitability may occur, especially in children
Stop use and ask a doctor if
Nervousness, dizziness, or sleeplessness occur
Symptoms do not improve within 7 days or occur with a fever
If pregnant or breast-feeding, ask a health professional before use.
Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)
Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
Runny nose
Sneezing
Itchy, watery eyes
Itching of the nose or throat
Nasal congestion
Temporarily relieves these symptoms due to the common cold:
Runny nose
Sneezing
Nasal congestion
Temporarily relieves sinus congestion and pressure",sku6318802,Benadryl,4.5,270,"['https://pics.walgreens.com/prodimg/607206/450.jpg', 'https://pics.walgreens.com/prodimg/607206/2_450.jpg', 'https://pics.walgreens.com/prodimg/607206/3_450.jpg', 'https://pics.walgreens.com/prodimg/607206/4_450.jpg', 'https://pics.walgreens.com/prodimg/607206/5_450.jpg', 'https://pics.walgreens.com/prodimg/607206/6_450.jpg', 'https://pics.walgreens.com/prodimg/607206/7_450.jpg']",,10.99
