web-scraper-order,web-scraper-start-url,product_links,product_links-href,image_url-src,breadcrumbs,selling_price,upc,ingridents,warning,grammage
"1751891851-1","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Walgreens Free & Pure 24 Hour Allergy Relief Loratadine Dye-Free Tablets  - 70 ea","https://www.walgreens.com/store/c/walgreens-free-&-pure-24-hour-allergy-relief-loratadine-dye-free-tablets/ID=300451560-product?skuId=400673738","//pics.walgreens.com/prodimg/673738/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$31.99 $0.46/eaWhen ordered online","31191704518","Loratadine - 10 mg (Antihistamine)","[{""warning"":""Do not use if you have ever had an allergic reaction to this product or any of its ingredients.""},{""warning"":""Ask a doctor before use if you have liver or kidney disease. Your doctor should determine if you need a different dose.""},{""warning"":""When using this product do not take more than directed. Taking more than directed may cause drowsiness.""},{""warning"":""Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away.""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use.""},{""warning"":""Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.""}]","Walgreens Free & Pure 24 Hour Allergy Relief Loratadine Dye-Free Tablets, 70 ea"
"1751891858-2","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Walgreens 24 Hour Allergy Relief Loratadine Tablets  - 30 ea","https://www.walgreens.com/store/c/walgreens-24-hour-allergy-relief-loratadine-tablets/ID=300449592-product","//pics.walgreens.com/prodimg/671381/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$18.99 $0.63/eaWhen ordered online","31191704514","Loratadine - 10 mg (Antihistamine)","[{""warning"":""Do not use if you have ever had an allergic reaction to this product or any of its ingredients. Ask a doctor before use if you have liver or kidney disease. Your doctor should determine if you need a different dose. When using this product do not take more than directed. Taking more than directed may cause drowsiness. Stop use and ask a doctor if an allergic reaction to this product occurs. Seek medical help right away. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222).""}]","Walgreens 24 Hour Allergy Relief Loratadine Tablets, 30.0 ea"
"1751891865-3","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Walgreens 12 Hour Nasal Decongestant D Sinus Coated Caplets Maximum Strength  - 20 EA","https://www.walgreens.com/store/c/walgreens-12-hour-nasal-decongestant-d-sinus-coated-caplets-maximum-strength/ID=prod5355917-product","//pics.walgreens.com/prodimg/419815/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","31191710310","Pseudoephedrine HCl - 120 mg (Nasal Decongestant)","[{""warning"":""Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product.""},{""warning"":""Ask a doctor before use if you have: heart disease; high blood pressure; thyroid disease; diabetes; trouble urinating due to an enlarged prostate gland.""},{""warning"":""When using this product do not exceed recommended dosage.""},{""warning"":""Stop use and ask a doctor if: nervousness, dizziness, or sleeplessness occur; symptoms do not improve within 7 days or occur with a fever.""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use.""},{""warning"":""Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)""}]","Walgreens 12 Hour Nasal Decongestant D Sinus Coated Caplets Maximum Strength, 20.0 EA"
"1751891872-4","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Claritin-D 24 Hour Antihistamine Tablets  - 10 ea","https://www.walgreens.com/store/c/claritin-d-24-hour-antihistamine-tablets/ID=prod6250194-product","//pics.walgreens.com/prodimg/533638/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","04110081086","Loratadine - 10 mg (Antihistamine),Pseudoephedrine Sulfate - 240 mg (Nasal Decongestant)","[{""warning"":""DO NOT USE if you have ever had an allergic reaction to this product or any of its ingredients""},{""warning"":""ASK A DOCTOR BEFORE USE IF YOU HAVE liver or kidney disease. Your doctor should determine if you need a different dose.""},{""warning"":""WHEN USING THIS PRODUCT do not take more than directed. Taking more than directed may cause drowsiness.""},{""warning"":""STOP USE AND ASK A DOCTOR IF an allergic reaction to this product occurs. Seek medical help right away.""},{""warning"":""IF PREGNANT OR BREAST-FEEDING, ask a health professional before use.""},{""warning"":""KEEP OUT OF REACH OF CHILDREN. In case of overdose, get medical help or contact a Poison Control Center right away.""}]","Claritin-D 24 Hour Antihistamine Tablets, 10.0 ea"
"1751891878-5","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Allegra-D 12 Hour Allergy and Congestion Relief Tablets Non-Drowsy  - 20 ea","https://www.walgreens.com/store/c/allegra-d-12-hour-allergy-and-congestion-relief-tablets-non-drowsy/ID=prod6053002-product","//pics.walgreens.com/prodimg/322184/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","04116743104","Fexofenadine HCl - 60 mg (Antihistamine),Pseudoephedrine HCl - 120 mg (Nasal Decongestant)","[{""warning"":""Do not use:""},{""warning"":""Ask a doctor before use if you have:""},{""warning"":""Your doctor should determine if you need a different dose.""},{""warning"":""When using this product:""},{""warning"":""Stop use and ask a doctor if:""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use.""},{""warning"":""Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.""},{""warning"":""Other information:""},{""warning"":""Safety sealed: Do not use if carton is opened or if individual blister units are torn or opened""},{""warning"":""Store between 20 and 25 C (68 and 77 F)""},{""warning"":""Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:""},{""warning"":""Reduces swelling of nasal passages""},{""warning"":""Temporarily relieves sinus congestion and pressure""},{""warning"":""Temporarily restores freer breathing through the nose""}]","Allegra-D 12 Hour Allergy and Congestion Relief Tablets Non-Drowsy, 20.0 ea"
"1751891885-6","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Sudafed 12 Hour Sinus Pressure + Pain Relief Sinus Decongestant  - 16 ea","https://www.walgreens.com/store/c/sudafed-12-hour-sinus-pressure---pain-relief-sinus-decongestant/ID=prod6000596-product","//pics.walgreens.com/prodimg/222155/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","30045035816","Naproxen Sodium (Naproxen 200 mg) (NSAID) - 220 mg (Pain Reliever/Fever Reducer),Pseudoephedrine HCI, extended-release - 120 g (Nasal decongestant)","[{""warning"":""Temporary relieves these cold, sinus, & flu symptoms:  sinus pressure, minor body aches & pains, headache, nasal & sinus congestion (promotes sinus drainage & restores freer breathing through nose) & fever.""}]","Sudafed 12 Hour Sinus Pressure + Pain Relief Sinus Decongestant, 16.0 ea"
"1751891892-7","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Benadryl Liqui-Gels Antihistamine Allergy Medicine  - 48 ea","https://www.walgreens.com/store/c/benadryl-liqui-gels-antihistamine-allergy-medicine/ID=300443712-product","//pics.walgreens.com/prodimg/665161/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$13.99 $0.29/ea","30045059548","Diphenhydramine HCl - 25 mg (Antihistamine)","[{""warning"":""Important: Read all product information before using. Keep this box for important information.\n\nDo Not Use:""},{""warning"":""Ask a doctor before use if you have:""},{""warning"":""Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers.""},{""warning"":""When using this product:""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use.""},{""warning"":""Keep out of reach of children.""},{""warning"":""In case of overdose, get medical help or contact a Poison Control Center right away.""}]","Benadryl Liqui-Gels Antihistamine Allergy Medicine, 48.0 ea"
"1751891897-8","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Benadryl Allergy Relief Liquid Cherry  - 4 fl oz","https://www.walgreens.com/store/c/benadryl-allergy-relief-liquid-cherry/ID=prod4124329-product","//pics.walgreens.com/prodimg/446776/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Children & Baby's Health Care""},{""breadcrumbs"":""Children's Allergy & Sinus""}]","$9.99 $2.50/oz","35058053404","Diphenhydramine HCl (12.5 mg) (Antihistamine)","[{""warning"":""Do not use:""},{""warning"":""""}]","Benadryl Allergy Relief Liquid Cherry, 4.0 fl oz"
"1751891905-9","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Benadryl Extra Strength Antihistamine Allergy Relief Tablets  - 24 ea","https://www.walgreens.com/store/c/benadryl-extra-strength-antihistamine-allergy-relief-tablets/ID=300435845-product","//pics.walgreens.com/prodimg/657576/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$10.99 $0.46/ea","30045023524","Diphenhydramine HCl - 50 mg (Antihistamine)","[{""warning"":""Do not use""},{""warning"":""Ask a doctor before use if you have""},{""warning"":""When using this product""},{""warning"":""Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use.""},{""warning"":""Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)""},{""warning"":""""}]","Benadryl Extra Strength Antihistamine Allergy Relief Tablets, 24.0 ea"
"1751891909-10","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Advil Allergy Sinus Medicine  - 20 ea","https://www.walgreens.com/store/c/advil-allergy-sinus-medicine/ID=prod6009762-product","//pics.walgreens.com/prodimg/81311/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Sinus Medicine""}]","","30573018810","Chlorpheniramine Maleate - 2 mg (Antihistamine),Ibuprofen (NSAID) - 200 mg (Pain Reliever/Fever Reducer),Pseudoephedrine HCl - 30 mg (Nasal Decongestant)","[{""warning"":""Allergy alert: Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives, facial swelling, asthma (wheezing), shock, skin reddening, rash or blisters. If an allergic reaction occurs, stop use and seek medical help right away.""},{""warning"":""Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you are age 60 or older, have had stomach ulcers or bleeding problems, take a blood-thinning (anticoagulant) or steroid drugs, take other drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, others], have 3 or more alcoholic drinks every day while using this product or take more or for a longer time than directed.""},{""warning"":""Heart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed.""},{""warning"":""Do not use if you have ever had an allergic reaction to any other pain reliever/fever reducer, in children under 12 years of age, right before or after heart surgery or with any other product containing diphenhydramine.""},{""warning"":""Ask a doctor before use if; Stomach bleeding warning applies to you, you have problems or serious side effects from taking pain relievers or fever reducers, you have a history of stomach problems (such as heartburn), you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma or had a stroke, you are taking a diuretic, you have a breathing problem such as emphysema or chronic bronchitis, you have glaucoma or you have trouble urinating due to an enlarged prostate gland.""},{""warning"":""Ask a doctor or pharmacist before use if you are; taking sedatives or tranquilizers, any other sleep-aid, under a doctor's care for any continuing medical illness, taking any other antihistamines or taking aspirin for heart attack or stroke (ibuprofen may decrease this benefit of aspirin taking any other drug).""},{""warning"":""When using this product drowsiness will occur. Avoid alcoholic drinks, do not drive a motor vehicle or operate machinery. Take with food or milk if stomach upset occurs.""},{""warning"":""Stop use and ask a doctor if you experience any of the following signs of stomach bleeding; feel faint, vomit blood, have bloody or black stool, have stomach pain that does not get better, you have symptoms of heart problems or stroke (chest pain, trouble breathing weakness in one part or side of body slurred speech, leg swelling), pain gets worse or lasts more than 10 days, sleeplessness persists continuously for more than 2 weeks (Insomnia may be a symptom of a serious underlying medical illness), redness or swelling is present in the painful area or any new symptoms appear.""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen during the last 3 months of pregnancy unless directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.""},{""warning"":""Temporarily relieves these symptoms associated with hay fever or other upper respiratory allergies, and sinusitis:""}]","Advil Allergy Sinus Medicine, 20.0 ea"
