web-scraper-order,web-scraper-start-url,product_links,product_links-href,image_url-src,breadcrumbs,selling_price,upc,ingridents,warning,grammage,product_specification,regular_price
1751952908-1,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Benadryl Liqui-Gels Antihistamine Allergy Medicine  - 48 ea,https://www.walgreens.com/store/c/benadryl-liqui-gels-antihistamine-allergy-medicine/ID=300443712-product,https://pics.walgreens.com/prodimg/665161/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$13.99,30045059548,Diphenhydramine HCl - 25 mg (Antihistamine),"Important: Read all product information before using. Keep this box for important information.

Do Not Use: Ask a doctor before use if you have: Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers. When using this product: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.",48.0 ea,"Product Type:Allergy Medicine
Product Name:Liqui-Gels Antihistamine Allergy Medicine
Brand:Benadryl
FSA/HSA Eligible:Yes
Size/Count:48.0 ea
UPC:30045059548Item Code:779808",$13.99
1751952914-2,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Walgreens 12 Hour Nasal Decongestant D Sinus Coated Caplets Maximum Strength  - 20 EA,https://www.walgreens.com/store/c/walgreens-12-hour-nasal-decongestant-d-sinus-coated-caplets-maximum-strength/ID=prod5355917-product,https://pics.walgreens.com/prodimg/419815/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,,31191710310,Pseudoephedrine HCl - 120 mg (Nasal Decongestant),"Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have: heart disease; high blood pressure; thyroid disease; diabetes; trouble urinating due to an enlarged prostate gland. When using this product do not exceed recommended dosage. Stop use and ask a doctor if: nervousness, dizziness, or sleeplessness occur; symptoms do not improve within 7 days or occur with a fever. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)",20.0 EA,"Product Type:Allergy Medicine
Product Name:12 Hour Nasal Decongestant D Sinus Coated Caplets Maximum Strength
Brand:Walgreens
FSA/HSA Eligible:Yes
Size/Count:20.0 EAUPC:31191710310Item Code:510917",
1751952922-3,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Benadryl Extra Strength Antihistamine Allergy Relief Tablets  - 24 ea,https://www.walgreens.com/store/c/benadryl-extra-strength-antihistamine-allergy-relief-tablets/ID=300435845-product,https://pics.walgreens.com/prodimg/657576/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$10.99,30045023524,Diphenhydramine HCl - 50 mg (Antihistamine),"[{""warning"":""Do not use""},{""warning"":""Ask a doctor before use if you have""},{""warning"":""When using this product""},{""warning"":""Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers""},{""warning"":""If pregnant or breast-feeding, ask a health professional before use.""},{""warning"":""Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)""},{""warning"":""}]",24.0 ea,"Product Type:Allergy Medicine
Product Name:Extra Strength Antihistamine Allergy Relief Tablets
Brand:Benadryl
FSA/HSA Eligible:Yes
Size/Count:24.0 ea
UPC:30045023524Item Code:347681",$10.99
1751952927-4,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Allegra-D 12 Hour Allergy and Congestion Relief Tablets Non-Drowsy  - 20 ea,https://www.walgreens.com/store/c/allegra-d-12-hour-allergy-and-congestion-relief-tablets-non-drowsy/ID=prod6053002-product,https://pics.walgreens.com/prodimg/322184/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,,4116743104,"Fexofenadine HCl - 60 mg (Antihistamine),Pseudoephedrine HCl - 120 mg (Nasal Decongestant)","Do not use: Ask a doctor before use if you have: Your doctor should determine if you need a different dose. When using this product: Stop use and ask a doctor if: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Other information: Safety sealed: Do not use if carton is opened or if individual blister units are torn or opened Store between 20 and 25 C (68 and 77 F) Temporarily relieves these symptoms due to hay fever or other upper respiratory allergies: Reduces swelling of nasal passages Temporarily relieves sinus congestion and pressure Temporarily restores freer breathing through the nose",20.0 ea,"Product Type:Allergy Medicine
Product Name:12 Hour Allergy and Congestion Relief Tablets Non-Drowsy
Brand:Allegra-DFSA/HSA Eligible:Yes
Size/Count:20.0 ea
UPC:04116743104Item Code:459347",
1751952932-5,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Sudafed 12 Hour Sinus Pressure + Pain Relief Sinus Decongestant  - 16 ea,https://www.walgreens.com/store/c/sudafed-12-hour-sinus-pressure---pain-relief-sinus-decongestant/ID=prod6000596-product,https://pics.walgreens.com/prodimg/222155/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,,30045035816,"Naproxen Sodium (Naproxen 200 mg) (NSAID) - 220 mg (Pain Reliever/Fever Reducer),Pseudoephedrine HCI, extended-release - 120 g (Nasal decongestant)","Temporary relieves these cold, sinus, & flu symptoms:  sinus pressure, minor body aches & pains, headache, nasal & sinus congestion (promotes sinus drainage & restores freer breathing through nose) & fever.",16.0 ea,"Product Type:Allergy Medicine
Product Name:12 Hour Sinus Pressure + Pain Relief Sinus Decongestant
Brand:Sudafed
FSA/HSA Eligible:Yes
Size/Count:16.0 ea
UPC:30045035816Item Code:501351",
1751952936-6,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Allegra-D 12 Hour Allergy and Congestion Relief Tablets Non-Drowsy  - 10 ea,https://www.walgreens.com/store/c/allegra-d-12-hour-allergy-and-congestion-relief-tablets-non-drowsy/ID=prod6053001-product,https://pics.walgreens.com/prodimg/419115/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,,4116743102,"Fexofenadine HCl - 60 mg (Antihistamine),Pseudophedrine HCl - 120 mg (Nasal decongestant)","Do not use Ask a doctor before use if you have Your doctor should determine if you need a different dose. When using this product Stop use and ask a doctor if If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Other information safety sealed: do not use if carton is opened or if individual blister units are torn or opened store between 20-25 degrees C (68-77 degrees F)",10.0 ea,"Product Type:Allergy Medicine
Product Name:12 Hour Allergy and Congestion Relief Tablets Non-Drowsy
Brand:Allegra-DFSA/HSA Eligible:Yes
Size/Count:10.0 ea
UPC:04116743102Item Code:885756",
1751952942-7,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Benadryl Allergy Relief Liquid Cherry  - 4 fl oz,https://www.walgreens.com/store/c/benadryl-allergy-relief-liquid-cherry/ID=prod4124329-product,https://pics.walgreens.com/prodimg/446776/900.jpg,Home > Shop > Medicines & Treatments > Children & Baby's Health Care > Children's Allergy & Sinus,$9.99,35058053404,Diphenhydramine HCl (12.5 mg) (Antihistamine),"[{""warning"":""Do not use:""},{""warning"":""}]",4.0 fl oz,"[{""product_specification"":""Product Type:Children's Allergy & SinusProduct Name:Allergy Relief Liquid CherryBrand:BenadrylFSA/HSA Eligible:YesSize/Count:4.0 fl ozUPC:35058053404Item Code:994401""}]",$9.99
1751952952-8,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Advil Allergy & Congestion Relief Coated Tablets  - 20 ea,https://www.walgreens.com/store/c/advil-allergy-&-congestion-relief-coated-tablets/ID=prod6163275-product?skuId=sku6145648,https://pics.walgreens.com/prodimg/483672/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$15.99,30573019620,"Chlorpheniramine Maleate (4mg) (Antihistamine),Ibuprofen (NSAID) - 200 mg (Pain reliever/fever reducer),Phenylephrine HCl - 10 mg (Nasal decongestant)","Product inside sealed in plastic blister with foil backing.  Do not use if plastic blister or foil barrier is broken. READ AND KEEP CARTON FOR COMPLETE WARNINGS AND INFORMATION. Allergy alert: Ibuprofen may cause a severe allergic reaction especially in people allergic to aspirin.  Symptoms may include: If an allergic reaction occurs, stop use and seek medical help right away.
Stomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you: Do not use Ask a doctor before use if Ask a doctor or pharmacist before use if you are When using this product Stop use and ask a doctor if If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery.
Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away..",20.0 ea,"Product Type:Allergy Medicine
Product Name:Allergy & Congestion Relief Coated Tablets
Brand:Advil
FSA/HSA Eligible:Yes
Size/Count:20.0 ea
UPC:30573019620Item Code:788827",$15.99
1751952960-9,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Walgreens Allergy Relief Capsules  - 600 ea,https://www.walgreens.com/store/c/walgreens-allergy-relief-capsules/ID=300456710-product,https://pics.walgreens.com/prodimg/679211/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$31.99,31191713505,Diphenhydramine HCl - 25 mg (Antihistamine),"Do not use Ask a doctor before use if you have Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers. When using this product If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away.",600.0 ea,"Product Type:Allergy Medicine
Product Name:Allergy Relief Capsules
Brand:Walgreens
FSA/HSA Eligible:No
Size/Count:600.0 ea
UPC:31191713505Item Code:285447",$31.99
1751952967-10,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Allegra-D 24 Hour Allergy and Congestion Relief Tablets Non-Drowsy  - 10 ea,https://www.walgreens.com/store/c/allegra-d-24-hour-allergy-and-congestion-relief-tablets-non-drowsy/ID=prod6053003-product,https://pics.walgreens.com/prodimg/419113/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,,4116743205,"Fexofenadine HCl - 180 mg (Antihistamine),Pseudoephedrine HCl - 240 mg (Nasal Decongestant)","Do not use: Ask a doctor before use if you have: Your doctor should determine if you need a different dose. When using this product: Stop use and ask a doctor if: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Other information: Each tablet contains: Sodium 33 mg. Safety sealed: Do not use if carton is opened or if individual blister units are torn or opened. Store between 20 degrees and 25 degrees C (68 degrees and 77 degrees F).",10.0 ea,"Product Type:Allergy Medicine
Product Name:24 Hour Allergy and Congestion Relief Tablets Non-Drowsy
Brand:Allegra-DFSA/HSA Eligible:Yes
Size/Count:10.0 ea
UPC:04116743205Item Code:459345",
1751952976-11,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,Walgreens Allergy Relief Diphenhydramine Capsules  - 600 ea,https://www.walgreens.com/store/c/walgreens-allergy-relief-diphenhydramine-capsules/ID=300455701-product?skuId=400652286,https://pics.walgreens.com/prodimg/652286/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$31.99,31191702759,Diphenhydramine HCl - 25 mg (Antihistamine),"Do not use Ask a doctor before use if you have Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers. When using this product If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away.",600.0 ea,"Product Type:Allergy Medicine
Product Name:Allergy Relief Diphenhydramine Capsules
Brand:Walgreens
FSA/HSA Eligible:Yes
Size/Count:600.0 ea
UPC:31191702759Item Code:991032",$31.99
1751952984-12,https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3,"Zyrtec Allergy 24 Hour 10mg Tablets, Travel Size  - 3 Each","https://www.walgreens.com/store/c/zyrtec-allergy-24-hour-10mg-tablets,-travel-size/ID=prod6063537-product",https://pics.walgreens.com/prodimg/439719/900.jpg,Home > Shop > Medicines & Treatments > Allergy & Sinus > Allergy Medicine,$6.29,30045020443,Cetirizine HCl (10mg) (Antihistamine),,3.0 Each,"Product Type:Allergy Medicine
Product Name:Allergy 24 Hour 10mg Tablets, Travel Size
Brand:Zyrtec
FSA/HSA Eligible:Yes
Size/Count:3.0 Each
UPC:30045020443Item Code:469829",$6.29
