web-scraper-order,web-scraper-start-url,product_links,product_links-href,image_url-src,breadcrumbs,selling_price,upc,ingridents,warning,grammage,product_specification
"1751959265-1","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Benadryl Liqui-Gels Antihistamine Allergy Medicine  - 48 ea","https://www.walgreens.com/store/c/benadryl-liqui-gels-antihistamine-allergy-medicine/ID=300443712-product","//pics.walgreens.com/prodimg/665161/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$13.99 $0.29/ea","30045059548","Diphenhydramine HCl - 25 mg (Antihistamine)","[{""warning"":""Important: Read all product information before using. Keep this box for important information.\n\nDo Not Use:\n\nTo make a child sleepy. \nWith any other product containing diphenhydramine, even one used on skin.\nAsk a doctor before use if you have:\n\n\nA breathing problem such as emphysema or chronic bronchitis. \nGlaucoma. \nTrouble urinating due to an enlarged prostate gland.\nAsk a doctor or pharmacist before use if you are taking sedatives or tranquilizers.\nWhen using this product:\n\n\nMarked drowsiness may occur. \nAvoid alcoholic drinks. \nAlcohol, sedatives, and tranquilizers may increase drowsiness. \nBe careful when driving a motor vehicle or operating machinery. \nExcitability may occur, especially in children.\nIf pregnant or breast-feeding, ask a health professional before use.\nKeep out of reach of children.\nIn case of overdose, get medical help or contact a Poison Control Center right away.""}]","48.0 ea","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:Liqui-Gels Antihistamine Allergy MedicineBrand:BenadrylFSA/HSA Eligible:YesSize/Count:48.0 eaUPC:30045059548Item Code:779808""}]"
"1751959270-2","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Walgreens 12 Hour Nasal Decongestant D Sinus Coated Caplets Maximum Strength  - 20 EA","https://www.walgreens.com/store/c/walgreens-12-hour-nasal-decongestant-d-sinus-coated-caplets-maximum-strength/ID=prod5355917-product","//pics.walgreens.com/prodimg/419815/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","31191710310","Pseudoephedrine HCl - 120 mg (Nasal Decongestant)","[{""warning"":""Do not use if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. \nAsk a doctor before use if you have: heart disease; high blood pressure; thyroid disease; diabetes; trouble urinating due to an enlarged prostate gland. \nWhen using this product do not exceed recommended dosage. \nStop use and ask a doctor if: nervousness, dizziness, or sleeplessness occur; symptoms do not improve within 7 days or occur with a fever. \nIf pregnant or breast-feeding, ask a health professional before use. \nKeep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)""}]","20.0 EA","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:12 Hour Nasal Decongestant D Sinus Coated Caplets Maximum StrengthBrand:WalgreensFSA/HSA Eligible:YesSize/Count:20.0 EAUPC:31191710310Item Code:510917""}]"
"1751959277-3","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Benadryl Extra Strength Antihistamine Allergy Relief Tablets  - 24 ea","https://www.walgreens.com/store/c/benadryl-extra-strength-antihistamine-allergy-relief-tablets/ID=300435845-product","//pics.walgreens.com/prodimg/657576/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$10.99 $0.46/ea","30045023524","Diphenhydramine HCl - 50 mg (Antihistamine)","[{""warning"":""Do not use\n\nTo make a child sleepy\nWith any other product containing diphenhydramine, even one used on skin\nAsk a doctor before use if you have\n\nA breathing problem such as emphysema or chronic bronchitis\nGlaucoma\nTrouble urinating due to an enlarged prostate gland\nWhen using this product\n\nMarked drowsiness may occur\nAvoid alcoholic drinks\nAlcohol, sedatives, and tranquilizers may increase drowsiness\nBe careful when driving a motor vehicle or operating machinery\nExcitability may occur, especially in children\nAsk a doctor or pharmacist before use if you are taking sedatives or tranquilizers\nIf pregnant or breast-feeding, ask a health professional before use.  \nKeep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)""}]","24.0 ea","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:Extra Strength Antihistamine Allergy Relief TabletsBrand:BenadrylFSA/HSA Eligible:YesSize/Count:24.0 eaUPC:30045023524Item Code:347681""}]"
"1751959285-4","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Advil Allergy Sinus Medicine  - 20 ea","https://www.walgreens.com/store/c/advil-allergy-sinus-medicine/ID=prod6009762-product","//pics.walgreens.com/prodimg/81311/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Sinus Medicine""}]","","30573018810","Chlorpheniramine Maleate - 2 mg (Antihistamine),Ibuprofen (NSAID) - 200 mg (Pain Reliever/Fever Reducer),Pseudoephedrine HCl - 30 mg (Nasal Decongestant)","[{""warning"":""Allergy alert: Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: hives, facial swelling, asthma (wheezing), shock, skin reddening, rash or blisters. If an allergic reaction occurs, stop use and seek medical help right away. \nStomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you are age 60 or older, have had stomach ulcers or bleeding problems, take a blood-thinning (anticoagulant) or steroid drugs, take other drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, others], have 3 or more alcoholic drinks every day while using this product or take more or for a longer time than directed. \nHeart attack and stroke warning: NSAIDs, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed. \nDo not use if you have ever had an allergic reaction to any other pain reliever/fever reducer, in children under 12 years of age, right before or after heart surgery or with any other product containing diphenhydramine. \nAsk a doctor before use if; Stomach bleeding warning applies to you, you have problems or serious side effects from taking pain relievers or fever reducers, you have a history of stomach problems (such as heartburn), you have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma or had a stroke, you are taking a diuretic, you have a breathing problem such as emphysema or chronic bronchitis, you have glaucoma or you have trouble urinating due to an enlarged prostate gland.\nAsk a doctor or pharmacist before use if you are; taking sedatives or tranquilizers, any other sleep-aid, under a doctor's care for any continuing medical illness, taking any other antihistamines or taking aspirin for heart attack or stroke (ibuprofen may decrease this benefit of aspirin taking any other drug). \nWhen using this product drowsiness will occur. Avoid alcoholic drinks, do not drive a motor vehicle or operate machinery. Take with food or milk if stomach upset occurs. \nStop use and ask a doctor if you experience any of the following signs of stomach bleeding; feel faint, vomit blood, have bloody or black stool, have stomach pain that does not get better, you have symptoms of heart problems or stroke (chest pain, trouble breathing weakness in one part or side of body slurred speech, leg swelling), pain gets worse or lasts more than 10 days, sleeplessness persists continuously for more than 2 weeks (Insomnia may be a symptom of a serious underlying medical illness), redness or swelling is present in the painful area or any new symptoms appear.\n If pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen during the last 3 months of pregnancy unless directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away.Temporarily relieves these symptoms associated with hay fever or other upper respiratory allergies, and sinusitis:\n\nrunny nose \nsneezing \nheadache \nitchy, watery eyes \nnasal congestion \nfever \nminor aches and pains \nitching of the nose or throat \nsinus pain and pressure""}]","20.0 ea","[{""product_specification"":""Product Type:Sinus MedicineProduct Name:Allergy Sinus MedicineBrand:AdvilFSA/HSA Eligible:YesSize/Count:20.0 eaUPC:30573018810Item Code:689492""}]"
"1751959290-5","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Sudafed 12 Hour Sinus Pressure + Pain Relief Sinus Decongestant  - 16 ea","https://www.walgreens.com/store/c/sudafed-12-hour-sinus-pressure---pain-relief-sinus-decongestant/ID=prod6000596-product","//pics.walgreens.com/prodimg/222155/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","30045035816","Naproxen Sodium (Naproxen 200 mg) (NSAID) - 220 mg (Pain Reliever/Fever Reducer),Pseudoephedrine HCI, extended-release - 120 g (Nasal decongestant)","[{""warning"":""Allergy alert: Naproxen sodium may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include:\n\n\nHives\nFacial swelling\nAsthma (wheezing)\nShock\nSkin reddening\nRash\nBlistersIf an allergic reaction occurs, stop use and seek medical help right away.\nStomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you:\n\n\nAre age 60 or older\nHave had stomach ulcers or bleeding problems\nTake a blood thinning (anticoagulant) or steroid drug\nTake other drugs containing prescription or nonprescription NSAIDs (aspirin, ibuprofen, naproxen, or others)\nHave 3 or more alcoholic drinks every day while using this product\nTake more or for a longer time than directedHeart attack and stroke warning: NSAIDS, except aspirin, increase the risk of heart attack, heart failure, and stroke. These can be fatal. The risk is higher if you use more than directed or for longer than directed.\nDo not use\n\n\nIf you have ever had an allergic reaction to any other pain reliever/fever reducer\nRight before or after heart surgery\nIf you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product.\nIn children under 12 years of ageAsk a doctor before use if \n\n\nThe stomach bleeding warning applies to you\nYou have a history of stomach problems, such as heartburn\nYou have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, thyroid disease, diabetes, have trouble urinating due to an enlarged prostate gland, or had a stroke\nYou are taking a diuretic\nYou have problems or serious side effects from taking pain relievers or fever reducersAsk a doctor or pharmacist before use if you are\n\n\nUnder a doctor's care for any serious condition\nTaking any other drugWhen using this product\n\n\nTake with food or milk if stomach upset occursStop use and ask a doctor if\n\n\nYou experience any of the following signs of stomach bleeding:\nFeel faint\nVomit blood \nHave bloody or black stools \nHave stomach pain that does not get better\nYou have symptoms of heart problems or stroke: \nChest pain\nTrouble breathing\nWeakness in one part or side of body\nSlurred speech\nLeg swelling\nRedness or swelling is present in the painful area\nAny new symptoms appear\nFever gets worse or lasts more than 3 days \nYou have difficulty swallowing or the caplet feels stuck in your throat\nYou get nervous, dizzy, or sleepless\nNasal congestion lasts more than 7 daysIf pregnant or breast-feeding, ask a health professional before use. It is especially important not to use naproxen sodium during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery.\nKeep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)Temporary relieves these cold, sinus, & flu symptoms:  sinus pressure, minor body aches & pains, headache, nasal & sinus congestion (promotes sinus drainage & restores freer breathing through nose) & fever.""}]","16.0 ea","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:12 Hour Sinus Pressure + Pain Relief Sinus DecongestantBrand:SudafedFSA/HSA Eligible:YesSize/Count:16.0 eaUPC:30045035816Item Code:501351""}]"
"1751959296-6","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Allegra-D 12 Hour Allergy and Congestion Relief Tablets Non-Drowsy  - 10 ea","https://www.walgreens.com/store/c/allegra-d-12-hour-allergy-and-congestion-relief-tablets-non-drowsy/ID=prod6053001-product","//pics.walgreens.com/prodimg/419115/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","04116743102","Fexofenadine HCl - 60 mg (Antihistamine),Pseudophedrine HCl - 120 mg (Nasal decongestant)","[{""warning"":""Do not use \n\nIf you have ever had an allergic reaction to this product or any of its ingredients\nIf you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product.\nIf you have difficulty swallowing\nAsk a doctor before use if you have \n\nHeart disease\nThyroid disease\nGlaucoma\nHigh blood pressure\nDiabetes\nTrouble urinating due to an enlarged prostate gland\nKidney disease\nYour doctor should determine if you need a different dose.\nWhen using this product  \n\nDo not take more than directed  \nDo not take at the same time as aluminum or magnesium antacids\nDo not take with fruit juices (see Directions)\nThe tablet coating may be seen in the stool (this is normal). Continue to take as directed (see Directions).\nStop use and ask a doctor if \n\nAn allergic reaction to this product occurs. Seek medical help right away.\nSymptoms do not improve within 7 days or are accompanied by a fever\nYou get nervous, dizzy or sleepless\nIf pregnant or breast-feeding, ask a health professional before use. \nKeep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Other information\nsafety sealed: do not use if carton is opened or if individual blister units are torn or opened\nstore between 20-25 degrees C (68-77 degrees F)""}]","10.0 ea","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:12 Hour Allergy and Congestion Relief Tablets Non-DrowsyBrand:Allegra-DFSA/HSA Eligible:YesSize/Count:10.0 eaUPC:04116743102Item Code:885756""}]"
"1751959305-7","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Benadryl Allergy Relief Liquid Cherry  - 4 fl oz","https://www.walgreens.com/store/c/benadryl-allergy-relief-liquid-cherry/ID=prod4124329-product","//pics.walgreens.com/prodimg/446776/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Children & Baby's Health Care""},{""breadcrumbs"":""Children's Allergy & Sinus""}]","$9.99 $2.50/oz","35058053404","Diphenhydramine HCl (12.5 mg) (Antihistamine)","[{""warning"":""Do not use: \n\nTo make a child sleepy. \nWith any other product containing diphenhydramine, even one used on skin.Ask a doctor before use if the child has:\n\n\nA breathing problem such as chronic bronchitis. \nGlaucoma. \nA sodium-restricted diet.Ask a doctor or pharmacist before use if the child is taking sedatives or tranquilizers.\nWhen using this product:\n\n\nMarked drowsiness may occur. \nSedatives and tranquilizers may increase drowsiness. \nExcitability may occur, especially in children.Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222)""}]","4.0 fl oz","[{""product_specification"":""Product Type:Children's Allergy & SinusProduct Name:Allergy Relief Liquid CherryBrand:BenadrylFSA/HSA Eligible:YesSize/Count:4.0 fl ozUPC:35058053404Item Code:994401""}]"
"1751959312-8","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Advil Allergy & Congestion Relief Coated Tablets  - 20 ea","https://www.walgreens.com/store/c/advil-allergy-&-congestion-relief-coated-tablets/ID=prod6163275-product?skuId=sku6145648","//pics.walgreens.com/prodimg/483672/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$15.99 $0.80/eaWhen ordered online","30573019620","Chlorpheniramine Maleate (4mg) (Antihistamine),Ibuprofen (NSAID) - 200 mg (Pain reliever/fever reducer),Phenylephrine HCl - 10 mg (Nasal decongestant)","[{""warning"":""Product inside sealed in plastic blister with foil backing.  Do not use if plastic blister or foil barrier is broken.\nREAD AND KEEP CARTON FOR COMPLETE WARNINGS AND INFORMATION.\nAllergy alert: Ibuprofen may cause a severe allergic reaction especially in people allergic to aspirin.  Symptoms may include:\n\nHives \nFacial swelling \nAsthma (wheezing) \nShock \nSkin reddening \nRash \nBlisters\nIf an allergic reaction occurs, stop use and seek medical help right away.\nStomach bleeding warning: This product contains an NSAID, which may cause severe stomach bleeding. The chance is higher if you:\n\nAre age 60 or older \nHave had stomach ulcers or bleeding problems \nTake a blood thinning (anticoagulant) or steroid drug \nTake other drugs containing prescription or nonprescription NSAIDs [aspirin, ibuprofen, naproxen, or others] \nHave 3 or more alcoholic drinks every day while using this product \nTake more or for a longer time than directed\nDo not use\n\nIn children under 12 years of age because this product contains too much medication for children under this age \nIf you have ever had an allergic reaction to any other pain reliever/fever reducer \nRight before or after heart surgery \nIf you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product\nAsk a doctor before use if\n\nYou have a breathing problem such as emphysema or chronic bronchitis \nStomach bleeding warning applies to you \nYou have problems or serious side effects from taking pain relievers or fever reducers \nYou have a history of stomach problems, such as heartburn \nYou have high blood pressure, heart disease, liver cirrhosis, kidney disease, asthma, thyroid disease, diabetes, glaucoma or have trouble urinating due to an enlarged prostate gland \nYou are taking a diuretic\nAsk a doctor or pharmacist before use if you are\n\nUnder a doctor's care for any serious condition \nTaking sedatives or tranquilizers \nTaking any other product that contains phenylephrine, chlorpheniramine or any other nasal decongestant or antihistamine \nTaking aspirin for heart attack or stroke, because ibuprofen may decrease this benefit of aspirin \nTaking any other drug\nWhen using this product\n\nTake with food or milk if stomach upset occurs \nThe risk of heart attack or stroke may increase if you use more than directed or for longer than directed \nAvoid alcoholic drinks \nBe careful when driving a motor vehicle or operating machinery \nDrowsiness may occur \nAlcohol, sedatives, and tranquilizers may increase drowsiness \nMay cause excitability especially in children\nStop use and ask a doctor if\n\nYou experience any of the following signs of stomach bleeding:  Feel faint, vomit blood, have bloody or black stools, have stomach pain that does not get better \nPain gets worse or lasts more than 7 days \nFever gets worse or lasts more than 3 days \nNasal congestion lasts for more than 7 days \nRedness or swelling is present in the painful area \nYou get nervous, dizzy, or sleepless \nSymptoms continue or get worse \nAny new symptoms appear\nIf pregnant or breast-feeding, ask a health professional before use. It is especially important not to use ibuprofen during the last 3 months of pregnancy unless definitely directed to do so by a doctor because it may cause problems in the unborn child or complications during delivery.\nKeep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away..""}]","20.0 ea","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:Allergy & Congestion Relief Coated TabletsBrand:AdvilFSA/HSA Eligible:YesSize/Count:20.0 eaUPC:30573019620Item Code:788827""}]"
"1751959320-9","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Walgreens Allergy Relief Capsules  - 600 ea","https://www.walgreens.com/store/c/walgreens-allergy-relief-capsules/ID=300456710-product","//pics.walgreens.com/prodimg/679211/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","$31.99 When ordered online","31191713505","Diphenhydramine HCl - 25 mg (Antihistamine)","[{""warning"":""Do not use \n\nTo make a child sleepy \nWith any other product containing diphenhydramine, even one used on skin \nAsk a doctor before use if you have \n\nA breathing problem such as emphysema or chronic bronchitis \nGlaucoma \nTrouble urinating due to an enlarged prostate gland \nAsk a doctor or pharmacist before use if you are taking sedatives or tranquilizers. \nWhen using this product \n\nMarked drowsiness may occur \nAvoid alcoholic drinks \nAlcohol, sedatives and tranquilizers may increase drowsiness \nUse caution when driving a motor vehicle or operating machinery \nExcitability may occur, especially in children \nIf pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away.""}]","600.0 ea","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:Allergy Relief CapsulesBrand:WalgreensFSA/HSA Eligible:NoSize/Count:600.0 eaUPC:31191713505Item Code:285447""}]"
"1751959327-10","https://www.walgreens.com/store/c/allergy-medicine/ID=361485-tier3","Allegra-D 24 Hour Allergy and Congestion Relief Tablets Non-Drowsy  - 10 ea","https://www.walgreens.com/store/c/allegra-d-24-hour-allergy-and-congestion-relief-tablets-non-drowsy/ID=prod6053003-product","//pics.walgreens.com/prodimg/419113/900.jpg","[{""breadcrumbs"":""Home""},{""breadcrumbs"":""Shop""},{""breadcrumbs"":""Medicines & Treatments""},{""breadcrumbs"":""Allergy & Sinus""},{""breadcrumbs"":""Allergy Medicine""}]","","04116743205","Fexofenadine HCl - 180 mg (Antihistamine),Pseudoephedrine HCl - 240 mg (Nasal Decongestant)","[{""warning"":""Do not use: \n\nIf you have ever had an allergic reaction to this product or any of its ingredients. \nIf you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric, or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. \nIf you have difficulty swallowing.\nAsk a doctor before use if you have: \n\nHeart disease \nThyroid disease \nGlaucoma \nHigh blood pressure \nDiabetes \nTrouble urinating due to an enlarged prostate gland \nKidney disease. \nYour doctor should determine if you need a different dose.\nWhen using this product: \n\nDo not take more than directed. \nDo not take at the same time as aluminum or magnesium antacids. \nDo not take with fruit juices (see Directions). \nThe tablet coating may be seen in the stool (this is normal). Continue to take as directed (see Directions).\nStop use and ask a doctor if: \n\nAn allergic reaction to this product occurs. Seek medical help right away. \nSymptoms do not improve within 7 days or are accompanied by a fever. \nYou get nervous, dizzy or sleepless.\nIf pregnant or breast-feeding, ask a health professional before use. \nKeep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Other information:\nEach tablet contains: Sodium 33 mg.\nSafety sealed: Do not use if carton is opened or if individual blister units are torn or opened.\nStore between 20 degrees and 25 degrees C (68 degrees and 77 degrees F).""}]","10.0 ea","[{""product_specification"":""Product Type:Allergy MedicineProduct Name:24 Hour Allergy and Congestion Relief Tablets Non-DrowsyBrand:Allegra-DFSA/HSA Eligible:YesSize/Count:10.0 eaUPC:04116743205Item Code:459345""}]"
