Product_name,Regular_price,Currency,Pdp_url,Ingredients,Allergens,Grammage_quantity,Grammage_unit,Nutritions,Storage_instructions,Preparation_instructions,Recycling_information,Color,Size,Material,Grape_variety,Country_of_origin,Manufacturer_address,Return_address,Rating,Review,Breadcrumbs,Image_url,Offer_valid_from,Offer_valid_upto
DYLON Renew Colour Laundry Detergent 30 Washes 1.5L,,pound,https://www.tesco.com/groceries/en-GB/products/317200857,,,1.5,L,{},Transport and store upright,,,[],[],,,,"UK: Henkel Ltd.,Wood Lane End,Hemel Hempstead,Hertfordshire,HP2 4RQ,United Kingdom.IRL: Henkel Ireland Distribution Ltd.,Tallaght Business Park,Whitestown,Dublin 24,D24 YH42,Ireland.","UK: Henkel Ltd.,Wood Lane End,Hemel Hempstead,Hertfordshire,HP2 4RQ,United Kingdom.Tel: +44 (0) 1442 278000IRL: Henkel Ireland Distribution Ltd.,Tallaght Business Park,Whitestown,Dublin 24,D24 YH42,Ireland.Tel: +353 (0) 14046514@ We are at your service:Website: www.dylon.co.ukUK Freephone: +44 (0) 800 051 4433",4.8,85,"['Household', 'Laundry', 'Washing Liquid & Gel', 'DYLON Renew Colour Laundry Detergent 30 Washes 1.5L']","['https://digitalcontent.api.tesco.com/v2/media/ghs/b7890c7a-f10a-4c20-adf0-ef85747b7fb4/dc2ec577-8ad5-46a0-9fff-65747f54f057_773293371.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/29c6ffcf-ff2f-40d5-b563-b75198cb1ef8/cc394aab-91a4-4ab2-a04b-9738e575565c_1919193429.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/bc961afb-e3f8-49f1-9fc2-a56f102725f4/f571d2ee-2fbf-4fa4-bae0-61a2eb098e93_228791311.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/13292f35-1a9b-427f-b148-9a8560b26849/d456dcf1-9ac0-4e6a-8db9-bef507314d33_1229554162.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/b1a5cde1-f14d-4e6c-af47-f43de38a9a67/6e043335-a97d-4bd1-a240-41432c44c9a9_991635710.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/b7890c7a-f10a-4c20-adf0-ef85747b7fb4/dc2ec577-8ad5-46a0-9fff-65747f54f057_773293371.jpeg?h=225&w=225']",,
Tesco Health Joint Care Tablets with Glucosamine Sulphate 500Mg - 60s,,pound,https://www.tesco.com/groceries/en-GB/products/312107207,"INGREDIENTS: Glucosamine Sulphate Dipotassium Chloride (Crustacean), Bulking Agents (Microcrystalline Cellulose), Vitamin C, Glazing Agents (Hydroxypropyl Methyl Cellulose, Talc), Anti-caking Agents (Magnesium Salts of Fatty Acids, Fatty Acids), Glucose.","For allergens, see ingredients in bold.",500,Mg,{},Store in a cool dry place. ,,,[],[],,,,,Tesco Stores Ltd.Welwyn Garden City AL7 1GAU.K. Freephone 0800 50 55 55 www.tesco.comTesco Ireland Ltd.Gresham HouseMarine RoadDun LaoghaireCo. Dublin. Freephone 1800 248 123 www.tesco.ie,No ratings yet,,"['Health & Beauty', 'Vitamins, Minerals & Supplements', 'Joint & Bone Care', 'Tesco Health Joint Care Tablets with Glucosamine Sulphate 500Mg - 60s']","['https://digitalcontent.api.tesco.com/v2/media/ghs/d64ae70b-f09f-475a-8f99-3264b8bef609/3bdbd807-6bec-433d-ad8f-824288580f6d_7458534.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/d64ae70b-f09f-475a-8f99-3264b8bef609/3bdbd807-6bec-433d-ad8f-824288580f6d_7458534.jpeg?h=225&w=225']",,
Tesco Cauliflower Cheese 350G,,pound,https://www.tesco.com/groceries/en-GB/products/258302991,"INGREDIENTS: Cauliflower (41%), Semi Skimmed Milk, Extra Mature Cheddar Cheese (Milk) (5%), Mature Cheddar Cheese (Milk) (4.5%), Whole (Milk), Cornflour, Onion, Wheat Flour (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Butter (Milk), Salt, Mustard Powder, Ground White Pepper.","For allergens, including cereals containing gluten, see ingredients in bold.",350,G,"{'Energy': {'per_100g': '364kJ / 87kcal', 'per_pack': '561kJ / 134kcal'}, 'Fat': {'per_100g': '4.3g', 'per_pack': '6.7g'}, 'Saturates': {'per_100g': '2.8g', 'per_pack': '4.2g'}, 'Carbohydrate': {'per_100g': '7.1g', 'per_pack': '10.9g'}, 'Sugars': {'per_100g': '2.9g', 'per_pack': '4.5g'}, 'Fibre': {'per_100g': '0.8g', 'per_pack': '1.2g'}, 'Protein': {'per_100g': '4.6g', 'per_pack': '7.1g'}, 'Salt': {'per_100g': '0.47g', 'per_pack': '0.73g'}, '* Reference intake of an average adult (8400 kJ / 2000 kcal)': {'per_100g': '-', 'per_pack': '-'}, '** When oven heated according to instructions 350g typically weighs 307g.': {'per_100g': '-', 'per_pack': '-'}, 'When oven heated according to instructions.': {'per_100g': '-', 'per_pack': '-'}}","Suitable for freezing. Ideally freeze as soon as possible after purchase but always by 'use by' date shown. 
Defrost thoroughly for a minimum of 12 hours in the fridge.
","Instructions: For best results oven heat. Important All appliances vary, these are guidelines only. Check food is piping hot throughout before serving. Instructions: Remove sleeve and film lid. Place on a baking tray in the centre of a pre-heated oven. 190Â°C/Fan 170Â°C/Gas 5, 25-30 mins Leave to stand for 1 minutes after heating.",,[],[],,,,"Tesco Stores Ltd.,Welwyn Garden City,AL7 1GA,U.K.",Tesco Stores Ltd.Welwyn Garden CityAL7 1GAU.K.,2.5,210,"['Fresh Food', 'Ready Meals', 'Starters & Sides', 'Tesco Cauliflower Cheese 350G']","['https://digitalcontent.api.tesco.com/v2/media/ghs/84b11739-0bb9-4e74-b76b-9fea3b08240d/9a0fb43b-dc00-45da-b4bb-f7d67c0a5cfc.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/84b11739-0bb9-4e74-b76b-9fea3b08240d/9a0fb43b-dc00-45da-b4bb-f7d67c0a5cfc.jpeg?h=225&w=225']",,
Tesco British Roast Beef Slices 90g,,pound,https://www.tesco.com/groceries/en-GB/products/311807538,"INGREDIENTS: Beef, Mineral Sea Salt, Stabilisers (Potassium Triphosphate, Pentasodium Triphosphate).",,90,g,"{'Energy': {'per_100g': '517kJ / 122kcal', 'per_pack': '119kJ / 28kcal'}, 'Fat': {'per_100g': '2.5g', 'per_pack': '0.6g'}, 'Saturates': {'per_100g': '0.9g', 'per_pack': '0.2g'}, 'Carbohydrate': {'per_100g': '0.2g', 'per_pack': '<0.1g'}, 'Sugars': {'per_100g': '0.2g', 'per_pack': '<0.1g'}, 'Fibre': {'per_100g': '0.3g', 'per_pack': '<0.1g'}, 'Protein': {'per_100g': '24.7g', 'per_pack': '5.7g'}, 'Salt': {'per_100g': '0.63g', 'per_pack': '0.15g'}, '* Reference intake of an average adult (8400 kJ / 2000 kcal)': {'per_100g': '-', 'per_pack': '-'}, 'As sold': {'per_100g': '-', 'per_pack': '-'}}","Not suitable for freezing. Keep refrigerated. Once opened, consume within 2 days and by 'use by' date shown.
",,,[],[],,,,,Tesco Stores Ltd.Welwyn Garden City AL7 1GAU.K. Freephone 0800 50 55 55 www.tesco.com,4.4,1777,"['Fresh Food', 'Cooked Meats, Antipasti & Dips', 'Beef Slices', 'Tesco British Roast Beef Slices 90g']","['https://digitalcontent.api.tesco.com/v2/media/ghs/89b2bcc9-a184-433d-bf23-6c837d7b2813/51d50b08-857e-4f25-a0be-336c0d5f3c05.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/89b2bcc9-a184-433d-bf23-6c837d7b2813/51d50b08-857e-4f25-a0be-336c0d5f3c05.jpeg?h=225&w=225']",,
Tesco Cashew Nuts 25G,,pound,https://www.tesco.com/groceries/en-GB/products/299497633,,May contain  peanuts and other nuts.,25,G,"{'Energy': {'per_100g': '2430kJ / 586kcal', 'per_pack': '608kJ / 146kcal'}, 'Fat': {'per_100g': '45.3g', 'per_pack': '11.3g'}, 'Saturates': {'per_100g': '7.4g', 'per_pack': '1.9g'}, 'Carbohydrate': {'per_100g': '21.9g', 'per_pack': '5.5g'}, 'Sugars': {'per_100g': '5.7g', 'per_pack': '1.4g'}, 'Fibre': {'per_100g': '5.2g', 'per_pack': '1.3g'}, 'Protein': {'per_100g': '20.0g', 'per_pack': '5.0g'}, 'Salt': {'per_100g': '0.03g', 'per_pack': '<0.01g'}, 'Magnesium': {'per_100g': '270.0mg', 'per_pack': '67.5mg'}, '* Reference intake of an average adult (8400 kJ / 2000 kcal)': {'per_100g': '-', 'per_pack': '-'}}",Store in a cool dry place. ,,,[],[],,,,"Packed for:Tesco Stores Ltd.,Welwyn Garden City,AL7 1GA,U.K.",,4.4,74,"['Fresh Food', 'Fresh Fruit', 'Dried Fruit, Nuts & Seeds', 'Tesco Cashew Nuts 25G']","['https://digitalcontent.api.tesco.com/v2/media/ghs/eb7f1f61-d207-450e-8e79-9d2a6ccd875e/e96eb193-9eb8-4e04-904b-3eca50119a66.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/eb7f1f61-d207-450e-8e79-9d2a6ccd875e/e96eb193-9eb8-4e04-904b-3eca50119a66.jpeg?h=225&w=225']",,
Tesco Health Omega-3 Cod Liver Oil Capsules - 500Mg 90s,,pound,https://www.tesco.com/groceries/en-GB/products/302441494,"INGREDIENTS: Cod Liver Oil (Fish), Capsule Shell [Beef Gelatine, Humectant (Glycerol)], Sunflower Oil, Vitamin A, Antioxidants (Tocopherol-Rich Extract, Alpha-Tocopherol), Vitamin D.","For allergens, see ingredients in bold.",500,Mg,"{'Vitamin A': {'per_100g': '50', 'per_pack': '400Âµg RE'}, 'Vitamin D': {'per_100g': '100', 'per_pack': '5.00Âµg'}, 'Cod Liver Oil': {'per_100g': '-', 'per_pack': '500mg'}}",Store in a cool dry place. ,,,[],[],,,,,Tesco Stores Ltd.Welwyn Garden City AL7 1GAU.K. Freephone 0800 50 55 55 www.tesco.comTesco Ireland Ltd.Gresham HouseMarine RoadDun LaoghaireCo. Dublin. Freephone 1800 248 123 www.tesco.ie,4.8,18,"['Health & Beauty', 'Vitamins, Minerals & Supplements', 'Cod Liver Oil & Omega 3', 'Tesco Health Omega-3 Cod Liver Oil Capsules - 500Mg 90s']","['https://digitalcontent.api.tesco.com/v2/media/ghs/3bb1373b-1a31-454c-990c-99fcd25f1ea1/349b22d6-9cee-42c9-a8f9-6e2aabe6a40e_1808888445.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/3bb1373b-1a31-454c-990c-99fcd25f1ea1/349b22d6-9cee-42c9-a8f9-6e2aabe6a40e_1808888445.jpeg?h=225&w=225']",,
Tesco Fruit Splash No Added Sugar Apple & Blackcurrant Juice Drink 250Ml,,pound,https://www.tesco.com/groceries/en-GB/products/312569656,"INGREDIENTS: Water, Apple Juice From Concentrate (8%), Blackcurrant Juice from Concentrate (2%), Acid (Citric Acid), Flavourings, Vitamin C, Colour (Anthocyanins), Sweeteners (Sucralose, Acesulfame K), Preservatives (Potassium Sorbate, Dimethyl Dicarbonate).",,250,Ml,"{'Energy': {'per_100g': '21kJ / 5kcal', 'per_pack': '52kJ / 12kcal'}, 'Fat': {'per_100g': '<0.1g', 'per_pack': '<0.1g'}, 'Saturates': {'per_100g': '<0.1g', 'per_pack': '<0.1g'}, 'Carbohydrate': {'per_100g': '1.0g', 'per_pack': '2.4g'}, 'Sugars': {'per_100g': '1.0g', 'per_pack': '2.4g'}, 'Fibre': {'per_100g': '<0.1g', 'per_pack': '<0.1g'}, 'Protein': {'per_100g': '<0.1g', 'per_pack': '<0.1g'}, 'Salt': {'per_100g': '<0.01g', 'per_pack': '0.02g'}, 'Vitamin C': {'per_100g': '6mg', 'per_pack': '15mg'}, '* Reference intake of an average adult (8400 kJ / 2000 kcal)': {'per_100g': '-', 'per_pack': '-'}, 'As sold': {'per_100g': '-', 'per_pack': '-'}}","Store in a cool dry place. Once opened, keep refrigerated and consume within 1 days.
",,,[],[],,,,"Tesco Stores Ltd.,Welwyn Garden City,AL7 1GA,U.K.&Tesco Ireland Ltd.,Gresham House,Marine Road,Dun Laoghaire,Co. Dublin.","Tesco Stores Ltd.Welwyn Garden CityAL7 1GAU.K.
&
Tesco Ireland Ltd.Gresham HouseMarine RoadDun LaoghaireCo. Dublin.",4.4,5,"['Drinks', 'Kids Drinks', 'Lunchbox Juice Drinks', 'Tesco Fruit Splash No Added Sugar Apple & Blackcurrant Juice Drink 250Ml']","['https://digitalcontent.api.tesco.com/v2/media/ghs/662e19e6-ef00-4d28-824e-f9d531fc6d31/c04c677c-6a70-4733-a87d-d5cd6ff7fc41_1194063051.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/662e19e6-ef00-4d28-824e-f9d531fc6d31/c04c677c-6a70-4733-a87d-d5cd6ff7fc41_1194063051.jpeg?h=225&w=225']",,
Tesco Snack Pack Mango 35G,,pound,https://www.tesco.com/groceries/en-GB/products/302685683,"INGREDIENTS: Dried Mango [Mango, Preservative (Sulphur Dioxide)].","May contain sesame seeds, soya,  peanuts and  nuts. For allergens, see ingredients in bold.",35,G,"{'Energy': {'per_100g': '1354kJ / 320kcal', 'per_pack': '474kJ / 112kcal'}, 'Fat': {'per_100g': '1.1g', 'per_pack': '0.4g'}, 'Saturates': {'per_100g': '0.4g', 'per_pack': '0.1g'}, 'Carbohydrate': {'per_100g': '72.4g', 'per_pack': '25.3g'}, 'Sugars': {'per_100g': '60.4g', 'per_pack': '21.1g'}, 'Fibre': {'per_100g': '6.5g', 'per_pack': '2.3g'}, 'Protein': {'per_100g': '1.8g', 'per_pack': '0.6g'}, 'Salt': {'per_100g': '<0.01g', 'per_pack': '<0.01g'}, '* Reference intake of an average adult (8400 kJ / 2000 kcal)': {'per_100g': '-', 'per_pack': '-'}, 'As sold': {'per_100g': '-', 'per_pack': '-'}}","Store in a cool, dry place and once opened in an airtight container.    ",,,[],[],,,,,Tesco Stores Ltd.Welwyn Garden City AL7 1GAU.K. Freephone 0800 50 55 55 www.tesco.comTesco Ireland Ltd.Gresham HouseMarine RoadDun LaoghaireCo. Dublin. Freephone 1800 248 123 www.tesco.ie,4.1,29,"['Fresh Food', 'Fresh Fruit', 'Dried Fruit, Nuts & Seeds', 'Tesco Snack Pack Mango 35G']","['https://digitalcontent.api.tesco.com/v2/media/ghs/c27d03d2-aaeb-43d2-891e-a5f8e21860df/ce2e8b0a-596b-4c6c-8319-1bfd0ccf19e1.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/ghs/c27d03d2-aaeb-43d2-891e-a5f8e21860df/ce2e8b0a-596b-4c6c-8319-1bfd0ccf19e1.jpeg?h=225&w=225']",,
Oral-B Genius X Rose Gold Electric Toothbrush,,pound,https://www.tesco.com/groceries/en-GB/products/325653456,,,,,{},,,,[],[],,,,,,No ratings yet,,"['Marketplace', 'Health & Beauty', 'Dental Hygiene', 'Oral-B Genius X Rose Gold Electric Toothbrush']","['https://digitalcontent.api.tesco.com/v2/media/marketplace/4479bba7-088a-41b3-9329-1e6db80e3a57/HgLj_QZfbbpqJkSTCv9XD6bkY_1971714515.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/f99ed61b-a533-446e-8166-fe4633c4bee0/iLlsFW4x8wIZ0Gk1WTybJQprw_1830498762.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/f05587ff-fe2a-4e84-bd15-cb23425fadc3/m_iN6AoDWaOCBo1jpgp9F30bU_2113057083.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/6301680f-bd74-49b3-8235-5a32c644cd87/fKoffkhJ5hwMjtYNYF2VgYPSw_1445498697.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/2bcf16d5-9dd0-4d4c-864a-dbfa101cd185/0Uo2LI79A574c6tj4ThY5Fz2s_786416752.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/8b7984c5-7939-44c6-9889-b1f3c63ad656/TuMe556i7_fZFGUUPPAQLfoFc_1665975852.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/d770fea5-ae03-4519-a9a3-50eb1a73af49/KainTDtjzO6xQFegTUrRhyZFg_1559752893.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/7f9d51f1-1135-4b8b-8a8a-02746dfb1d9f/in4x5BjmBXVfhqq0UiCigxTe0_657780822.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/4479bba7-088a-41b3-9329-1e6db80e3a57/HgLj_QZfbbpqJkSTCv9XD6bkY_1971714515.jpeg?h=225&w=225']",,
Living and Home 14-in-1 Kitchen Multifunctional Vegetable Food Slicer Chopper Cutter,,pound,https://www.tesco.com/groceries/en-GB/products/325286890,,,,,{},,,,[],[],,,,,,No ratings yet,,"['Marketplace', 'Cook & Dine', 'Cookware', 'Living and Home 14-in-1 Kitchen Multifunctional Vegetable Food Slicer Chopper Cutter']","['https://digitalcontent.api.tesco.com/v2/media/marketplace/5ec1b762-68f0-443c-b8a8-ef68d47626a8/AtnJo3sA4zSa7S2wu-2iWezqo_272592964.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/31019274-296f-4c44-8c41-0302bdf1ff69/YHFq5i3maGJ2GSJwDBhOKD5Gk_1855569452.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/aec14436-e4f5-4d87-958f-21f0025feebf/tW4LFarNN-GCGCV_Tg5QdgFq4_688370114.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/37a8fed8-d6e1-491c-aa72-1f3f0ca7b12c/gHVgkxdljdtiH8yY4gjEg1E-0_748998341.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/6c60f3bf-79c0-48ab-8b9c-21ee65478e20/XybRtSs31o8-uq8yfAQCOD4QM_2082940911.jpeg?h=960&w=960', 'https://digitalcontent.api.tesco.com/v2/media/marketplace/5ec1b762-68f0-443c-b8a8-ef68d47626a8/AtnJo3sA4zSa7S2wu-2iWezqo_272592964.jpeg?h=225&w=225']",,
