Product_id,Product_name,Brand,Regular_price,Selling_price,Promotion_description,Currency,Pdp_url,Breadcrumb,Product_description,Color,Size,Rating,Review,Features,Material_Care_instruction,Availability,Image_url
20648868,Big Boys Featherweight Twill Shorts,Polo Ralph Lauren," 4,417.00"," 3,301.00", 25% off,INR,https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-featherweight-twill-shorts?ID=20648868,Kids>Shorts,These shorts are made with our most lightweight cotton twill and finished with our signature embroidered Pony.,[],"['8', '10', '12', '14', '16', '18', '20']",,,"Imported,Signature embroidered Pony above the back right pocket.,Elastic waistband with an interior drawstring. Zip fly with a buttoned closure.,Two front angled pockets. Back right patch pocket.,Coloring may rub off onto fabrics and upholstery.","100% cotton,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/0/optimized/31829080_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31829078_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31829079_fpx.tif']"
21189544,"Little & Big Girls Ditsy Floral-Print Smocked Dress, Exclusively at Macy's",Epic Threads," 3,212.00"," 1,606.00", 50% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-ditsy-floral-print-smocked-dress-exclusively-at-macys?ID=21189544,Kids>Dresses,Pretty printed ditsy florals pair perfectly with a comfy smocked design with this adorable puff-sleeve dress from Epic Threads.,[],"['XS (5/6)', 'S(7-8)', 'M (10/12)', 'L (14/16)', 'XL (18/20)']",5,6,"Square neckline,Short puff sleeves,Pulls on,Smocked bodice,Allover floral print,Macy's Exclusive,100% rayon,Machine wash,Imported","100% rayon,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/4/optimized/32428304_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32428305_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32428306_fpx.tif']"
20919317,Little Boys Play-Off Logo T-Shirt & Shorts Set,Jordan," 4,283.00"," 2,570.00", 40% off,INR,https://www.macys.com/shop/product/jordan-little-boys-play-off-logo-t-shirt-shorts-set?ID=20919317,Kids>Activewear,"Gear up for game day with this set from Jordan, a signature jersey T-shirt and breathable mesh shorts that keep him cool and ready to play.",[],"['4', '6', '7']",4.8,18,"Shirt: ribbed crewneck; pulls on; Jordan graphic at front; short sleeves; jersey fabric,Shorts: pulls on; elastic waistband; Jordan graphic at thigh; mesh fabric,Shirt: 60% cotton, 40% polyester; shorts: 100% polyester,Machine wash,Imported","Machine wash,Shirt: 60% cotton, 40% polyester; shorts: 100% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31888198_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32144582_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32144585_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32144583_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32144677_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/32144584_fpx.tif']"
21342784,"Little & Big Girls Ohana Stitch Graphic T-Shirt, Exclusively at Macy's",Epic Threads," 1,785.00", 892.00, 50% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-ohana-stitch-graphic-t-shirt-exclusively-at-macys?ID=21342784,Kids>Shirts & Tops,Give your little Stitch fan an adorable look for her play-days with this comfy crewneck graphic T-shirt from Epic Threads.,[],"['XS (5/6)', 'M (10/12)', 'XL (18/20)']",3.7,3,"Crewneck,Short sleeves,""Ohana"" graphic print at front,Pullover style,Macy's Exclusive,60% cotton, 40% polyester,Machine wash,Imported","Machine wash,60% cotton, 40% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32413076_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32413082_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32413083_fpx.tif']"
20507597,Big Boys Jumpman Woven Play Shorts,Jordan," 3,123.00"," 2,342.00", 25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-jumpman-woven-play-shorts?ID=20507597,Kids>Activewear,"Made of woven polyester poplin with added stretch for freedom of movement, these shorts from Jordan are a playtime must. The stretch waistband has a drawcord to help you get a comfy fit that feels just right, and pockets provide spots to stash small items.","['Racer blue', 'Gym Red', 'White', 'Black']","['S', 'M', 'L', 'XL']",4.6,31,"Encased elastic waistband with a drawcord,Side-seam pockets,Venting at sides of hem,Jumpman logo on left hem,86% polyester, 14% elastane,Machine washable,Imported","86% polyester, 14% elastane,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32038303_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32038302_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32038301_fpx.tif']"
20648891,Big Boys Logo Double Knit Joggers,Polo Ralph Lauren," 6,202.00"," 3,721.00", 40% off,INR,https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-logo-double-knit-joggers?ID=20648891,Kids>Pants & Leggings,"Part of the season's baseball-inspired concept, these cotton-blend pants are defined by sporty details like striped trim and signature appliqués that nod to Ralph Lauren's founding year.",[],"['S (8/10)', 'M (10/12)', 'L (14/16)', 'XL (18/20)']",,,"Imported,Side on-seam pockets. Pieced stripe along the outer side of each leg.,Interior drawstring waistband. Faux fly.,Ribbed cuffs","75% cotton, 25% polyester,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31729258_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31689096_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31689098_fpx.tif']"
20593765,Big Boys Short-Sleeved MJ Graphic T-Shirt,Jordan," 2,498.00"," 1,874.00", 25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-short-sleeved-mj-graphic-t-shirt?ID=20593765,Kids>Activewear,"The perfect comfy T-shirt to let your future champ dominate the playground in cool Jordan style, this soft jersey T-shirt features a bold Jumpman graphic, ribbed collar, and short sleeves.",[],"['S', 'M', 'L', 'XL']",4.6,25,"Ribbed crewneck,Short sleeves,Jordan Jumpman graphic on the chest; logo graphic at left sleeve,Jersey fabric ,60% cotton, 40% polyester,Machine wash,Imported","Machine wash,60% cotton, 40% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32282162_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32282177_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32282178_fpx.tif']"
21264438,Toddler and Little Girls 2-Piece Rosette Logo Flutter Sleeve Top Metallic Micropleat Skort Set,Calvin Klein," 4,863.00"," 2,432.00", 50% off,INR,https://www.macys.com/shop/product/calvin-klein-toddler-little-girls-2-piece-rosette-logo-flutter-sleeve-top-metallic-micropleat-skort-set?ID=21264438,Kids>Sets & Outfits,"Matching t-shirt and skort offer a stylish choice in this set from Calvin Klein, featuring rosette appliqued foil logo t-shirt with a metallic pleated skort.",[],"['2T', '3T', '4', '4T', '5', '6', '6X']",,,"Imported,Set includes: 1 Top and 1 skort","T-shirt: cotton/polyester;  skirt: polyester/spandex,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/31920447_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31920446_fpx.tif']"
22343430,"Little Boys Dri-FIT Jumpman Woven Play Jersey T-Shirt & Mesh Shorts, 2 Piece Set",Jordan," 3,926.00"," 2,356.00", 40% off,INR,https://www.macys.com/shop/product/jordan-little-boys-dri-fit-jumpman-woven-play-jersey-t-shirt-mesh-shorts-2-piece-set?ID=22343430,Kids>Activewear,"Sporty, comfy, and full of Jordan edge, this two-piece set featuring a short-sleeve T-shirt and coordinating mesh shorts brings together breathable fabrics and signature flair for standout playwear.","['023Black', 'J6fblack (', 'J34desert', 'G4ymedium', 'U90midnigh']","['4', '5', '6', '7']",,,"Set includes: 1 T-shirt and 1 pair of shorts,Imported,Shorts: pulls on with elastic waistband; Jordan Jumpman detail at left front; mesh fabric","Machine wash,T-shirt: 64% cotton, 36% polyester; shorts: 100% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32553560_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32553565_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32553566_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32553567_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32553617_fpx.tif']"
22476713,Big Boys Ghost Man Graphic T-Shirt,Jordan," 2,498.00"," 1,874.00", 25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-ghost-man-graphic-t-shirt?ID=22476713,Kids>Activewear,"This soft jersey T-shirt keeps your kid comfy while showing off bold Jordan style. Featuring a fun Jordan graphic and tagless neckline, it's perfect for everyday wear and nonstop play.","['Black', 'White']","['S', 'M', 'L', 'XL']",4.8,18,"Ribbed crewneck ,Short sleeves with logo detail at left sleeve,Jordan Ghost Man graphic on the front	 ,Tagless interior,Soft jersey knit fabric ,60% cotton, 40% polyester,Machine wash,Imported","Machine wash,60% cotton, 40% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/2/optimized/33011352_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/33011354_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/33011355_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/33011356_fpx.tif']"
