Unique_id,Competitor_name,Product_name,Brand,Selling_price,Regular_price,Percentage_discount,Pdp_url,Features,Color,Product_description,Availability,Image
77053,lego,Stargazing with Celeste,lego,,8.99,,https://www.lego.com/en-gb/product/stargazing-with-celeste-77053,"{'age': '6+', 'pieces': 78, 'points': 72, 'items': '77053'}",,"Looking for a treat for a kid who loves the latest LEGO® Animal Crossing™ toys? The Stargazing with Celeste (77053) building kit is a fun anytime gift for girls and boys aged 6 plus who love astronomy toys and creative role play. Kids build an outdoor scene inspired by the video game series. They can set up the telescope toy and role-play with a minifigure of Celeste the owl as she consults her astronomy book. Fans of the game will recognize the scene as they wish upon a shooting star then collect the fallen star fragments to decorate the crescent-moon chair. With its modular baseplates, this set lets girls and boys change up the look of this camping toy for kids. Young builders can also enjoy digital building fun with the LEGO Builder app, where they can zoom in and rotate models in 3D. LEGO Animal Crossing creative toys let kids continue making imaginative stories with familiar characters and settings from the video games series, even when on a screen break. Astronomy playset for kids who love creative role play – Stargazing with Celeste is a creative anytime treat for girls and boys aged 6 plus as well as fans of the Animal Crossing™ video game series Nature playset inspires imaginative play – Comes with a minifigure of Celeste the owl from Animal Crossing™, a telescope toy, astronomy book, campfire, teapot, cup, cupcake and precious star fragments Cosmic fun – Kids role-play learning how to use the telescope with Celeste and making a wish on a shooting star, before gathering the star fragments and decorating the crescent-moon chair Customizable play – Continuing the creativity of the Animal Crossing™ video game series, this building playset includes 4 baseplates that can be reassembled so kids can give the scene a fresh look Gift ideas for kids – This LEGO® building toy set makes a fun special occasion or holiday gift for fans of the video game series, and boys and girls who love creative storytelling Creative building toys – Check out other LEGO® Animal Crossing™ sets (sold separately) inspired by the video games, which encourage kids to use storytelling skills even when on a screen break Measurements – This 78-piece toy camping set measures over 2.5 in (6 cm) high, 5 in(12 cm) wide and 3.5 inches (9 cm) deep",Available now,https://www.lego.com/cdn/cs/set/assets/blt33848390c8122840/77053_Prod.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77054,lego,Leif's Caravan & Garden Shop,lego,,24.99,,https://www.lego.com/en-gb/product/leif-s-caravan-garden-shop-77054,"{'age': '7+', 'pieces': 263, 'points': 200, 'items': '77054'}",,"Here’s a pretend play building kit for girls, boys and fans of the Animal Crossing™ video game series who love creative storytelling. LEGO® Animal Crossing Leif’s Caravan & Garden Shop (77054) gift for 7-plus-year-olds comes with 2 minifigures, a car and caravan toy and a garden shop for hours of imaginative play. It will also appeal to kids who love vehicle playsets as they drive the movable car toy and caravan into town and set up the plant store. The set comes with 2 minifigures – Leif the sloth and Poppy the squirrel – and lots of creative accessories. Kids can pretend to plant the seeds and water them using the can and pump, or they can role-play Poppy buying plants in exchange for Bells. Young builders will enjoy an intuitive digital building with the LEGO Builder app, where they can zoom in and rotate models in 3D and track their progress. Discover a world of creative customization and storytelling with the rest of the range of LEGO Animal Crossing building sets (sold separately). Car and caravan toy – Leif’s Caravan & Garden Shop building kit toy for girls, boys and Animal Crossing™ fans sparks hours of creative storytelling and imaginative play 2 LEGO® minifigures from Animal Crossing™ – This garden shop playset includes Leif, a sloth minifigure, and Poppy, a squirrel minifigure, from the video game series Many ways to play – Kids imagine driving the attachable car and caravan toy, setting up the plant store, planting seeds and watering them with the can and pump and buying plants and seeds with Bells Playset with a versatile vehicle – The travel trailer toy’s sides open out allowing the play to continue inside, so kids can settle Leif in after cooking a meal of fresh veggies on the camp stove LEGO® Animal Crossing™ toy gift for kids aged 7 plus – Special occasion treat for any Animal Crossing fan or creative girl or boy who loves pretend play toys Creative building toys – Check out other LEGO® Animal Crossing™ sets (sold separately) inspired by the video games, which encourage kids to use their storytelling skills even when on a screen break Dimensions – This 263-piece vehicle playset includes car and travel trailer toys that measure over 3 in. (8 cm) high, 7.5 in. (19 cm) long and 2.5 in. (6 cm) wide when attached to each other",Available now,https://www.lego.com/cdn/cs/set/assets/blt522d8c10d1bd4bb8/77054_Prod.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77055,lego,Able Sisters Clothing Shop,lego,,34.99,,https://www.lego.com/en-gb/product/able-sisters-clothing-shop-77055,"{'age': '6+', 'pieces': 322, 'points': 280, 'items': '77055'}",,"Looking for a fun LEGO® set for little makers? The Able Sisters’ Clothing Shop (77055) building kit comes with toy accessories galore to inspire hours of creative fashion role play for girls and boys aged 6 plus, as well as fans of the Animal Crossing™ video game series. This pretend shop playset comes with Animal Crossing minifigures Mabel, a hedgehog, and Sasha, a rabbit. Kids can help Sasha pick some new clothes and pretend to alter the outfit with the scissors and sewing machine to make itfit perfectly or head to the stall outside to finish their outfit off with the perfect accessory, paying for it with Bells, just like in the video game. Kids can reassemble the baseplates to alter the garden around the clothing shop and even swap the door and roof with other LEGO Animal Crossing sets (sold separately). Kids can also enjoy an easy and intuitive building adventure with the LEGO Builder app, where they can zoom in and rotate their creative toy in 3D and track their progress. Pretend shop playset for fun fashion role play – Girls, boys and fans of Animal Crossing™ can recreate scenes from the video game series with the Able Sisters Clothing Shop building kit Feature-filled creative toy – This brick-built store includes a workshop area, rack of clothing, Mabel the hedgehog minifigure, Sasha the rabbit minifigure, plus a garden with a peach tree and pond Packed with shop toy accessories for kids – This playset is packed with accessories, including a cap, sunglasses, 1 pair of trousers, 2 sweaters, a bag, scissors and a sewing machine mini build Customizable toy – This set comes with modular baseplates so kids can change up the layout of their set and even swap the door and roof with other LEGO® Animal Crossing™ sets, sold separately LEGO® Animal Crossing™ gift – Delight fans of the video game and creative girls and boys with this detailed building kit, which makes a great holiday or special occasion toy gift for 6-plus-year-olds Creative building toys– Check out other LEGO® Animal Crossing™ sets (sold separately) inspired by the video games, which encourage kids to use their storytelling skills even when on a screen break Dimensions – This 322-piece shop playset measures over 5.5 in. (14 cm) high, 10.5 in. (27 cm) wide and 5.5 in. (14 cm) deep",Available now,https://www.lego.com/cdn/cs/set/assets/blt4b014e2230dd4686/77055_Prod.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77052,lego,K.K.'s Concert at the Plaza,lego,,69.99,,https://www.lego.com/en-gb/product/k-k-s-concert-at-the-plaza-77052,"{'age': '7+', 'pieces': 550, 'points': 560, 'items': '77052'}",,"Girls and boys aged 7 plus create their own stories inspired by the Animal Crossing™ video game series with the K.K.'s Concert in the Plaza (77052) building toy. First, they build scenes from their screens, then with the LEGO® Animal Crossing 3 minifigures and many recognizable toy accessories from the video games series, they take the pretend play wherever their imaginations want to go! Kids set up for K.K.’s concert by fetching his toy microphone from the roof of the camper vehicle, pretend to play the toy guitar or join Isabelle for group stretching. They catch up on all the news at the café with Audie, before going about her business inside the town hall, where they can get a DIY recipe card, redeem rewards at the ATM and check the recycle box for new items. Just like in the video game, the tree conceals a surprise and Resident Service’s flag is customizable. Kids can also rearrange baseplates to change the look of their LEGO Animal Crossing set. Building toy for girls and boys aged 7 plus – K.K.'s Concert in the Plaza toy gives kids who love pretend play and the Animal Crossing™ video game series hours of hands-on construction fun With 3 recognizable Animal Crossing™ characters – This brick-built playset includes K.K., Isabelle and Audie minifigures, a model of Resident Services with a café and a drivable camper vehicle toy Lots to explore – Kids imagine performing a concert, go about their business inside Resident Services, hang out at the café or open up the camper to help K.K. settle in for the night Customizable toy – With lots of accessories, spare tiles for the flag and modular baseplates, kids have the creative freedom to experiment and endlessly change up the look of their playset LEGO® Animal Crossing™ toy gifts for girls and boys aged 7 plus years old – Special occasion treat for any Animal Crossing fan or creative kid who loves pretend play toys Digital building instructions – The LEGO® Builder app features a digital version of the instructions included with this set as well as lots of cool features to boost the building fun Hands-on play for video game fans – These LEGO® sets allow kids to keep using their creativity and storytelling skills to explore the world of Animal Crossing™, even when on a screen break Measurements – This 550-piece set includes a Resident Services building measuring over 6 in. (16 cm) high, 9 in. (24 cm) wide and 6 in. (16 cm) deep when arranged in standard configuration",Available now,https://www.lego.com/cdn/cs/set/assets/bltd38ec900f23bc7be/77052.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77051,lego,Fly with Dodo Airlines,lego,,31.99,,https://www.lego.com/en-gb/product/fly-with-dodo-airlines-77051,"{'age': '7+', 'pieces': 292, 'points': 256, 'items': '77051'}",,"Let kids’ imaginations take flight with the LEGO® Animal Crossing™ Fly with Dodo Airlines Airport Playset (77051). Girls and boys aged 7 plus head off aboard the LEGO seaplane to explore a new island, just as they would in the Animal Crossing video game. This feature-packed building toy set lets kids play out stories of their own within this familiar Animal Crossing setting. Just like in the video game, the airport toy has a jetty leading to a beach, a control tower and an opening orange gate.
Once girls and boys have built the airplane toy, the ticket allows travelers on board. Kids spin the seaplane’s toy propeller and imagine sending Wilbur the pilot and Tangy minifigures off to a new island destination. This set features on the LEGO Builder app, where kids can zoom in and rotate models in 3D and discover how to customize the airport toy’s flag. LEGO Animal Crossing playsets put the fun of the video game series directly into the hands of creative girls and boys. Airport building toy set – The Fly with Dodo Airlines airport playset, which comes with a control tower and jetty model, lets kids aged 7 plus recreate scenes from the Animal Crossing™ video game Includes 2 familiar Animal Crossing™ characters – Kids invent creative stories in which Wilbur the pilot and Tangy the passenger minifigures embark on new adventures in the airplane toy Kids discover familiar features from the video game – Girls and boys pass through the recognizable opening gate with their ticket and board the seaplane with its spinnable propeller Girls and boys express their creativity – Inspired by the creative fun of the video game, kids can customize the airport’s flag to their own design with the included extra tiles Animal Crossing™ gift idea for kids – This LEGO® building toy set makes a fun special occasion or holiday gift for fans of the video game series, and boys and girls who love creative play Digital building instructions – The LEGO® Builder app features a digital version of the building instructions included with this set Creative building toys – These LEGO® sets allow kids to keep using their creativity and storytelling skills to explore the world of Animal Crossing™, even when on a screen break Measurements – This 292-piece airplane playset includes an airport toy measuring over 5 in. (13 cm) high, 10.5 in. (27 cm) wide and 3.5 in. (10 cm) deep",Available now,https://www.lego.com/cdn/cs/set/assets/blt3abb8c87c88aa3c2/77051.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77049,lego,Isabelle's House Visit,lego,,34.99,,https://www.lego.com/en-gb/product/isabelle-s-house-visit-77049,"{'age': '6+', 'pieces': 389, 'points': 280, 'items': '77049'}",,"Girls and boys aged 6+ create their own stories inspired by the Animal Crossing™ video game series with the Isabelle’s House Visit (77049) kids’ toy. They can build recognisable scenes from their screens, then take the storytelling wherever their imaginations want to go! Kids take a tour of Fauna’s house with Isabelle. The interior, styled in Fauna’s colours, is filled with recognisable details, as well as a host of new ones to inspire kids to create fresh stories for the characters. They can fire the pretend slingshot to pop the present-carrying balloon, check the mobile phone tile for messages, pop a letter in the letterbox or help the minifigures water the garden and grab an apple from the tree. The workbench holds a DIY recipe card, and there’s a surprise hidden in the tree. Kids rearrange the furniture, swap the window frames and even reassemble the baseplates to choose how the house looks. Creative building toy inspired by the video game series – LEGO® Animal Crossing™ Isabelle’s House Visit gives girls and boys aged 6+ hours of hands-on role play Feature-packed sets for storytellers – LEGO® Animal Crossing™ toys give kids the creative freedom to customize scenes to create new stories with the characters Packed with play starters – This LEGO® Animal Crossing™ set includes 2 minifigures, Isabelle and Fauna, plus recognizable features such as the workbench and the flying present-carrying balloon Customizable kids’ toy – This set comes with lots of accessories and modular baseplates so kids can experiment and change up the look of the house whenever they choose Animal Crossing™ gift – This is a special-occasion or birthday gift for group or solo play that gives fans of the video game series hours of customization and role-play fun Digital building instructions – The LEGO® Builder app features a digital version of the building instructions included with this set Hands-on play for video game fans – These LEGO® sets allow kids to keep using their creativity and storytelling skills to explore the world of Animal Crossing™, even when on a screen break Dimensions – This 389-piece set measures over 6.5 in. (17 cm)high, 10 in. (25 cm) wide and 6 in. (16 cm) deep when arranged in standard configuration",Available now,https://www.lego.com/cdn/cs/set/assets/blt625ceebf5677d1b0/77049.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77050,lego,Nook's Cranny & Rosie's House,lego,,64.99,,https://www.lego.com/en-gb/product/nook-s-cranny-rosie-s-house-77050,"{'age': '7+', 'pieces': 535, 'points': 520, 'items': '77050'}",,"Bring the world of Animal Crossing™ to kids’ rooms with the Nook’s Cranny & Rosie's House (77050) buildable toy. Girls and boys aged 7+ create scenes based on the Animal Crossing video game series, then take the role play in any direction they like as they invent creative new stories for the Tom Nook and Rosie toy minifigures. A great birthday gift idea for Animal Crossing fans, this set features recognisable details from the game series as they explore the shop where Tom Nook, a raccoon, sells items such as a DIY recipe card, flower seeds, fish bait and tools in exchange for iconic Bells. Girls and boys then join Tom Nook for tea at Rosie the cat’s house, which is also full of familiar elements. Little builders rearrange the modular baseplates and move around the accessories to make the buildings look however they choose. With so many role-play and rebuild options, this customisable building toy lets kids spend time relaxing and being creative on their own or with parents and friends. Detailed Nook’s Cranny & Rosie’s House set – Buildable toy sets from Animal Crossing™ that girls and boys aged 7+ who are fans of the video game series will instantly recognize and endlessly customize Customizable kids’ toy – Buildable toy comes with Rosie and Tom Nook minifigures, 2 iconic Animal Crossing™ buildings, lots of accessories and interchangeable baseplates Buildable Animal Crossing™ toy – Visit Nook’s Cranny to shop for tools or borrow Bells, then drop by at Rosie’s for cupcakes, post a letter in the mailbox and help her rearrange her furniture Packed with story starters – This set includes lots of iconic elements, such as a DIY recipe card, bulletin board, cupcake, fish bait, plus a tree with a surprise inside, just like in the game Animal Crossing™ gift – This building toy makes a special-occasion or birthday gift idea for fans of the video game series and creative, open-ended play Animal Crossing™ sets include digital building instructions – The LEGO® Builder app features a digital version of the building instructions included with this set Put creative control into the hands of kids – Thanks to their modular baseplates and many accessories, versatile LEGO® Animal Crossing™ sets let kids decide the design of their display piece Big fun for little builders – This 535-piece set measures over 6 in. (15 cm) high, 15 in. (39 cm) wide and 5.5 in. (14 cm) deep when arranged in standard configuration",Available now,https://www.lego.com/cdn/cs/set/assets/bltfb778c239f3e23d4/77050.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77048,lego,Kapp'n's Island Boat Tour,lego,,24.99,,https://www.lego.com/en-gb/product/kapp-n-s-island-boat-tour-77048,"{'age': '6+', 'pieces': 233, 'points': 200, 'items': '77048'}",,"Inspire girls and boys aged 6+ with the customisable LEGO® Animal Crossing™ Kapp’n’s Island Boat Tour (77048). Kids build a deserted island they’ll recognise from their favourite video game series, then enjoy hours of fun rebuilding it to keep the role play fresh. Kids’ imaginations set sail as they head off with Kapp’n the turtle on his boat to the Animal Crossing-inspired deserted island to meet Marshal the squirrel. As they explore the activity-packed island, they collect the video game’s iconic bamboo, go digging for Bells and use the fishing rod to catch some fish to sell. After the fun role play, kids get creative rearranging the baseplates to change this building toy’s layout. Every element is movable, which leads to limitless customisable fun! Put all the crafting fun of the Animal Crossing video game series into kids’ hands. A top birthday gift idea, add this buildable toy to other LEGO Animal Crossing sets to create unlimited play possibilities.  Video game-inspired toy – LEGO® Animal Crossing™ Kapp’n’s Island Boat Tour toy transports girls and boys aged 6+ to a scene from the video game series to role-play exploring an island with Marshal
  Familiar settings and toy characters – Includes a customisable buildable scene, lots of recognisable features and 2 beloved characters: a Marshal squirrel minifigure and Kapp’n turtle minifigure
  Activity-packed deserted island toy – Just like in the video game series, kids can dig for Bells, pick coconuts, collect bamboo, ride in Kapp’n’s boat, fish with a fishing rod or catch a hermit crab
  Buildable scenes, limitless customisation – Kids use their best creative skills to arrange the modular baseplates and toy accessories to create all-new stories for their Animal Crossing™ characters
  Animal Crossing™ birthday gift idea – This LEGO® building set makes a fun birthday or Christmas gift for creative kids who love the video game series as well as imaginative play
  Creative building toys – LEGO® Animal Crossing™ sets put creative freedom into the hands of kids as they build iconic scenes then develop the story in any direction they want
  Build the fun – Add to other LEGO® Animal Crossing™ sets (sold separately) to expand a child’s brick-built island community
  Dimensions – This 233-piece Animal Crossing™ deserted island set measures over 9 cm (3.5 in.) high, 28 cm (11 in.) wide and 17 cm (6.5 in.) deep when arranged in standard configuration",Available now,https://www.lego.com/cdn/cs/set/assets/blt97424d320030eb65/77048.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77046,lego,Julian's Birthday Party,lego,,12.99,,https://www.lego.com/en-gb/product/julian-s-birthday-party-77046,"{'age': '6+', 'pieces': 170, 'points': 104, 'items': '77046'}",,"Creative kids aged 6+ enjoy hours of open-ended role-play scenes from their favourite video game series with the LEGO® Animal Crossing™ Julian’s Birthday Party (77046) toy. This customisable toy is packed with cute accessories kids will recognise from the video game series to spark limitless fun storytelling. Kids throw a party for Julian, a horse that girls and boys will recognise from the video game series. They give him a gift that includes a microphone and Bell coin element, and share cupcakes while Julian blows out the candle on his birthday cake. Once the festivities are over, kids remake the buildable scene, moving around the baseplates and rearranging the toy balloons, decorations and accessories. Put all the customisable fun of the Animal Crossing video game series into kids’ hands. A top birthday gift idea for fans of Julian, this modular set can be added to other LEGO Animal Crossing creative building sets to create unlimited play possibilities.  Creative building toy for kids – Girls and boys aged 6+ role-play scenes from the video game series with LEGO® Animal Crossing™ Julian’s Birthday Party, then customise the set to create new stories
  Customisable kids’ toy – Comes with a Julian horse minifigure and lots of accessories kids will recognise from the Animal Crossing™ video game series
  Creative toy – Kids invent limitless role-play stories as they celebrate with Julian by playing music on the stereo, hanging balloons and decorations, and helping him blow out the candle on his cake
  Flexible configuration – Kids use their best creative skills to arrange the modular baseplates and accessories to construct a buildable Animal Crossing™ scene that’s unique to them
  LEGO® Animal Crossing™ birthday gift idea – If you’re looking for a gift for any kid who loves the video game series, check out this buildable toy that’s full of customisable, creative fun
  Build the fun – Add to any other LEGO® Animal Crossing™ sets (sold separately) to expand the brick-built community
  Creative building toys – LEGO® Animal Crossing™ sets allow kids to use their storytelling skills to develop the play in any direction they choose
  Dimensions – This 170-piece set measures over 9 cm (3.5 in.) high, 17 cm (6.5 in.) wide and 10 cm (4 in.) deep when arranged in standard configuration",Available now,https://www.lego.com/cdn/cs/set/assets/blt9420c843491ab992/77046.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
77047,lego,Bunnie's Outdoor Activities,lego,,17.99,,https://www.lego.com/en-gb/product/bunnie-s-outdoor-activities-77047,"{'age': '6+', 'pieces': 164, 'points': 144, 'items': '77047'}",,"Girls and boys build this fun Animal Crossing™ campsite with the Bunnie’s Outdoor Activities (77047) creative toy for kids aged 6+. With this playset they’ll have loads of fun helping the Bunnie rabbit minifigure set up her buildable toy tent, before heading out to explore the area. This set is a great gift for creative kids who love the Animal Crossing video game series. They use the many accessories to make the set their own. They can role-play outdoor life using the bug net, shovel and axe – all recognisable tools from the video games. Fun functions include a mechanism that lets Bunnie leap the river using a vaulting pole. There is also a tent that opens, making it easy to tuck Bunnie in for the night. Kids can further express their creativity by reassembling the baseplates and decorating them with the many accessories. LEGO® Animal Crossing playsets put the fun creativity of the video game series directly into the hands of kids who love to express their artistic talents.  Tent playset toy for kids aged 6+ – Girls and boys enjoy hands-on Animal Crossing™ fun with Bunnie’s Outdoor Activities as they build a setting inspired by the video game series
  Customisable toy for girls and boys – Kids get creative inventing all-new stories for the Bunnie minifigure, rearranging the modular baseplates to take the storytelling in any direction they choose
  Creative role-play toy – Kids help Bunnie pitch the tent, use tools recognisable from the video game series and explore the buildable scene, before rearranging it any way they choose
  Creative features make for imaginative play – A hinge function above the river lets Bunnie vault the river, while hinged walls give easy access to the Animal Crossing™ tent
  Animal Crossing™ birthday gift idea – This LEGO® building set makes a fun special-occasion or Christmas gift for kids who love the video game series and creative play
  Build the fun – Add to any other LEGO® Animal Crossing™ sets (sold separately) to expand a child’s brick-built community
  Creative building toys – These LEGO® sets allow kids to keep using their creativity and storytelling skills to explore the world of Animal Crossing™, even when on a screen break
  A colourful display piece – This 164-piece set measures over 9 cm (3.5 in.) high, 20 cm (8 in.) wide and 17 cm (6.5 in.) deep when arranged in standard configuration",Available now,https://www.lego.com/cdn/cs/set/assets/blt01ca182b970e3670/77047.png?format=webply&fit=bounds&quality=70&width=528&height=528&dpr=1.5
