Unique_id,Product_name,Brand,Grammage_quantity,Grammage_unit,Pdp_url,Selling_price,Currency,Country_of_origin,Product_description,Breadcrumb,Ingredients,Nutritions,Storage_instructions,Image_url
8186850,Mini Babybel Original Käse-Snack 9 Stück 180g,Babybel,180,g,https://shop.rewe.de/p/mini-babybel-original-kaese-snack-9-stueck-180g/8186850,4.19,Euro,Slowakei,"Artikelnummer 8186850,Snack nicht irgendwas. Snack Babybel! Ohne Gentechnik
Laktosefrei",Monats-Highlights>Baby & Kind>Leckeres für kleine Genießer>Frühstück für Kinder,"pasteurisierte MILCH, Speisesalz, MILCHsäurebakterien, mikrobielles Lab.","{'Energie': '295 kcal', 'Fett': '23 g', 'Fett, davon gesättigte Fettsäuren': '15,5 g', 'Kohlenhydrate': '0,01 g', 'Kohlenhydrate, davon Zucker': '0,01 g', 'Eiweiß': '22 g', 'Salz': '1,7 g', 'Calcium': '680 mg'}",Nach dem Kauf gekühlt aufbewahren.,https://img.rewe-static.de/8186850/51250863_digital-image.png
2864483,Vivess Collegeblock A5 kariert,Vivess,,,https://shop.rewe.de/p/vivess-collegeblock-a5-kariert/2864483,1.49,Euro,,Artikelnummer 2864483,Haus & Freizeit>Bürobedarf>Schulbedarf,,{},,https://img.rewe-static.de/2864483/31072627_digital-image.png
6888615,Pelikan Fasermaler Colorella Duo 10 Stück,Pelikan,,,https://shop.rewe.de/p/pelikan-fasermaler-colorella-duo-10-stueck/6888615,4.99,Euro,Italien,Artikelnummer 6888615,Haus & Freizeit>Bürobedarf>Schulbedarf,,{},,https://img.rewe-static.de/6888615/22520992_digital-image.png
8386112,Faber-Castell Jumbo Dreikant Buntstifte 6 Stück,Faber-Castell,,,https://shop.rewe.de/p/faber-castell-jumbo-dreikant-buntstifte-6-stueck/8386112,3.99,Euro,Indonesien,Artikelnummer 8386112,Monats-Highlights>Baby & Kind>Startklar für die Schule,,{},,https://img.rewe-static.de/8386112/42068522_digital-image.png
2140470,Faber-Castell Bleistift Grip 2001 2 Stück,Faber-Castell,,,https://shop.rewe.de/p/faber-castell-bleistift-grip-2001-2-stueck/2140470,2.49,Euro,Deutschland,"Artikelnummer 2140470,Bleistift in Härtegrad HB, mit patentierter Grip-Zone für sicheren und rutschfesten Griff,Höchste Bruchsicherheit der Mine durch Spezialverleimung,Made in Germany,Holz aus vorbildlich bewirtschafteten Wäldern,Lackierung aus umweltfreundlichem Wasserlack,Für Rechts- und Linkshänder geeignet,Härtegrad: HB",Haus & Freizeit>Bürobedarf>Stifte,,{},,https://img.rewe-static.de/2140470/2502420_digital-image.png
8906041,Tipp-Ex Mini Pocket Mouse 5m,Tipp-Ex,,,https://shop.rewe.de/p/tipp-ex-mini-pocket-mouse-5m/8906041,2.99,Euro,Mexiko,"Artikelnummer 8906041,Die Tipp-Ex Mini Pocket Mouse in der 1er Pack rollt für Sie einen „weißen Teppich"" aus, der Ihnen 6 m Korrekturband bietet,Reißfestes Kunststoffband, das nicht bröckelt oder bricht,Dieser hochwertige Korrekturroller trocknet innerhalb kürzester Zeit und ist deshalb besonders praktisch,Entwickelt, um mühelos sanft über das Papier zu gleiten - sowohl mit der linken als auch mit der rechten Hand,Das Miniformat macht die Pocket Mouse zur perfekten Ergänzung eines jeden Etuis,Die Tipp-Ex Mini Pocket Mouse im 1er Pack verfügt über ein beeindruckendes 6 Meter langes Band mit einer Breite von 5 mm. Sie lässt sich bequem sowohl in der linken als auch rechten Hand halten und gleitet sanft über das Papier, ohne dass ihr ein Fehler entgeht. Keine Sorge, falls Sie einmal zu weit gehen oder das Band sich dehnt, können Sie es wieder zurückführen. Dieses extrem robuste weiße Kunststoffband schafft bei Missgeschicken sofortige Abhilfe. Da es nicht trocknen muss, können Sie es unmittelbar überschreiben. Durch das durchsichtige Gehäuse können Sie leicht überprüfen, wie viel Band Ihnen verbleibt. Und nicht zu vergessen: Es handelt sich um eine Mini-Korrekturmaus. Sie passt also problemlos in jedes Etui. Tipp-Ex war eine historische deutsche Marke, die sich auf Korrekturmittel spezialisiert hatte.",Haus & Freizeit>Bürobedarf>Schulbedarf,,{},,https://img.rewe-static.de/8906041/22478234_digital-image.png
128429,Pelikan Wachsmalstifte wasserfest 8 Stück,Pelikan,,,https://shop.rewe.de/p/pelikan-wachsmalstifte-wasserfest-8-stueck/128429,6.99,Euro,Deutschland,"Artikelnummer 128429,Ideal für Kinderhände und die ersten Malversuche: mit den Pelikan Wachsmalstiften entstehen farbenfrohe Bilder.
Diese Wachsmalstifte sind sowohl wasserfest als auch bruchstabil. Im praktischen Kunststoff-Etui können die wasserfesten Wachsmaler überall mit hin transportiert werden.
Trotz leichtem Farbauftrag färben die Wachsmalstifte nicht an den Händen ab.
Die ergonomische Dreikant-Form der Wachsmaler unterstützt die Kinder bereits bei der richtigen Handhaltung und bereitet sie so schon früh auf das Schreiben vor.
Achtung! Nicht geeignet für Kinder unter 3 Jahren, durch verschluckbare Kleinteile. Erstickungsgefahr!",Monats-Highlights>Baby & Kind>Startklar für die Schule,,{},,https://img.rewe-static.de/0128429/24046931_digital-image.png
7033238,Cheestrings Original Käsestangen 4x20g,Cheestrings,20,g,https://shop.rewe.de/p/cheestrings-original-kaesestangen-4x20g/7033238,2.29,Euro,Irland,"Artikelnummer 7033238,- Einzeln verpackt perfekt geeignet für die Pausenbrotbox
- Der Käse zum Abziehen
- Milder Käse zum Abziehen
- Extraportion Spaß für zu Hause und Zwischendurch
- Das Original: 4 Käsestangen aus Mozzarella","Käse, Eier & Molkerei>Käse & Käseersatz>Käsewürfel & -Snacks","MILCH (96%), Salz, Säureregulatoren (Citronensäure, Milchsäure), Mikrobieller Labersatzstoff, Starterkulturen (MILCH), Vitamin B6, Vitamin B12.","{'Energie': '304 kcal', 'Fett': '22,5 g', 'Fett, davon gesättigte Fettsäuren': '14,2 g', 'Kohlenhydrate': '2,5 g', 'Kohlenhydrate, davon Zucker': '1 g', 'Eiweiß': '23 g', 'Salz': '1,8 g'}",Bei 4-8°C mindestens haltbar bis: siehe Verpackungsaufdruck,https://img.rewe-static.de/7033238/26586529_digital-image.png
7971810,ja! Schnellhefter A4 in 10 Farben 10 Stück,ja!,,,https://shop.rewe.de/p/ja-schnellhefter-a4-in-10-farben-10-stueck/7971810,2.09,Euro,,Artikelnummer 7971810,Haus & Freizeit>Bürobedarf>Schulbedarf,,{},,https://img.rewe-static.de/7971810/31742349_digital-image.png
2854680,Vivess Heft 26 Kariert mit Rand A4 16 Blatt,Vivess,,,https://shop.rewe.de/p/vivess-heft-26-kariert-mit-rand-a4-16-blatt/2854680,0.79,Euro,,Artikelnummer 2854680,Haus & Freizeit>Bürobedarf>Schulbedarf,,{},,https://img.rewe-static.de/2854680/31100058_digital-image.png
