unique_id,competitor_name,extraction_date,product_name,grammage_quantity,grammage_unit,regular_price,selling_price,price_valid_from,price_per_unit,percentage_discount,promotion_price,promotion_valid_from,promotion_valid_upto,promotion_description,currency,breadcrumb,pdp_url,region,pack_size,site_shown_uom
00-100696,billa,2025-08-06,Frosch WC Essigreiniger 750 ml Flasche,750,ml,3.39,3.39,,1 Liter 4.52 €,,,,,,EUR,Alle Kategorien > Haushalt > Reinigen & Pflegen > WC- & Badreiniger,https://shop.billa.at/produkte/frosch-wc-essigreiniger-00100696,,,750 ml Flasche
00-10042,billa,2025-08-06,Iglo Pazifischer Polar-Dorsch paniert 400 g Packung,400,g,9.99,9.99,,1 kg 24.98 €,,,,,,EUR,Alle Kategorien > Tiefkühl > Fisch & Meeresfrüchte > Fisch paniert & gewürzt,https://shop.billa.at/produkte/iglo-pazifischer-polardorsch-paniert-0010042,,,400 g Packung
00-100709,billa,2025-08-06,Tofix WC Beckensteine Ocean Nachfüllung 3 stk,3,stück,3.19,3.19,,1 Stk 106 €,,,,,,EUR,Alle Kategorien > Haushalt > Reinigen & Pflegen > WC- & Badreiniger,https://shop.billa.at/produkte/tofix-wc-beckensteine-ocean-nachfuellung-00100709,,,3 stk
00-101068,billa,2025-08-06,Rügenwalder Mühle Teewurst Fein 125 g Becher,125,g,2.79,2.79,,1 kg 22.32 €,,,,,,EUR,"Alle Kategorien > Kühlwaren > Wurst, Schinken & Speck > Streichwurst & Pasteten",https://shop.billa.at/produkte/ruegenwalder-muehle-teewurst-fein-00101068,,,125 g Becher
00-100840,billa,2025-08-06,Glem Vital Shampoo Multivitamin 350 ml Flasche,350,ml,2.99,2.99,,100 ml 0.85 €,,,,,,EUR,Alle Kategorien > Pflege > Haarpflege & Haarfarben > Shampoo & Balsam,https://shop.billa.at/produkte/glem-vital-shampoo-multivitamin-00100840,,,350 ml Flasche
00-101069,billa,2025-08-06,Rügenwalder Mühle Teewurst Grob 125 g Becher,125,g,2.79,2.79,,1 kg 22.32 €,,,,,,EUR,"Alle Kategorien > Kühlwaren > Wurst, Schinken & Speck > Streichwurst & Pasteten",https://shop.billa.at/produkte/ruegenwalder-muehle-teewurst-grob-00101069,,,125 g Becher
00-101100,billa,2025-08-06,Kletzl Puszta Wurst 400 g Packung,400,g,4.39,4.39,,1 kg 10.98 €,,,,,,EUR,"Alle Kategorien > Kühlwaren > Wurst, Schinken & Speck > Wurst & Stangenwurst",https://shop.billa.at/produkte/kletzl-puszta-wurst-00101100,,,400 g Packung
00-101104,billa,2025-08-05,Berger Krenschinken geschnitten 100 g Packung,100,g,2.59,2.59,,1 kg 25.90 €,,,,,,EUR,"Alle Kategorien > Kühlwaren > Wurst, Schinken & Speck > Schinken",https://shop.billa.at/produkte/berger-krenschinken-geschnitten-00101104,,,100 g Packung
00-101122,billa,2025-08-06,Wiesbauer Polnische Spezial 80 g Packung,80,g,2.99,2.99,,1 kg 37.38 €,,,,,,EUR,"Alle Kategorien > Kühlwaren > Wurst, Schinken & Speck > Wurst & Stangenwurst",https://shop.billa.at/produkte/wiesbauer-polnische-spezial-00101122,,,80 g Packung
00-10123,billa,2025-08-06,Taft starker Halt Haarspray 250 ml Dose,250,ml,3.99,3.99,,100 ml 1.60 €,,,,,,EUR,Alle Kategorien > Pflege > Haarpflege & Haarfarben > Haarspray & Gel,https://shop.billa.at/produkte/taft-starker-halt-haarspray-0010123,,,250 ml Dose
00-10124,billa,2025-08-06,Rauch Happy Day Tomatensaft 1 liter Packung Einweg,1,m,2.59,2.59,,1 Liter 2.59 €,,,,,,EUR,Alle Kategorien > Getränke > Alkoholfreie Getränke > Frucht- & Gemüsesäfte,https://shop.billa.at/produkte/rauch-happy-day-tomatensaft-0010124,,,1 liter Packung Einweg
00-10139,billa,2025-08-06,Bahlsen Ohne Gleichen Edelherb 125 g Packung,125,g,3.99,3.99,,100 g 3.19 €,,,,,,EUR,Alle Kategorien > Süßes & Salziges > Süßes > Feingebäck & Kekse,https://shop.billa.at/produkte/bahlsen-ohne-gleichen-edelherb-0010139,,,125 g Packung
00-10143,billa,2025-08-06,Bahlsen Ohne Gleichen Vollmilch 125 g Packung,125,g,3.99,3.99,,100 g 3.19 €,,,,,,EUR,Alle Kategorien > Süßes & Salziges > Süßes > Feingebäck & Kekse,https://shop.billa.at/produkte/bahlsen-ohne-gleichen-vollmilch-0010143,,,125 g Packung
00-101511,billa,2025-08-06,Toppits Gefrierbeutel 1L 40 Beutel Packung,1,stück,2.79,2.79,,,,,,,,EUR,"Alle Kategorien > Haushalt > Müllsäcke, Gefrierbeutel & Co.",https://shop.billa.at/produkte/toppits-gefrierbeutel-1l-00101511,,,40 Beutel Packung
00-101849,billa,2025-08-06,Cesar Landküche Pute & Rind 150 g Schale,150,g,1.29,1.29,,1 kg 8.60 €,,,,,,EUR,Alle Kategorien > Haustier > Hunde > Hunde Nassfutter,https://shop.billa.at/produkte/cesar-landkueche-pute-und-rind-00101849,,,150 g Schale
