prices,product_id,product_description,color,department,sub_department,product_type
429.00,471072155,ZARA WOMAN COLLECTION Long top made of spun viscose. Crossover V-neck and long puff sleeves finished with elastic. Matching adjustable fabric belt with metal buckle. Asymmetric hem.,Leopard,WOMAN,,
429.00,471254804,ZARA WOMAN COLLECTION Mid-waist trousers made of viscose yarn. In-seam side pockets. Darts on the front. Short inner lining. Elasticated gathered hem. Concealed zip fastening in the seam.,Leopard,WOMAN,,
499.00,452715790,"Sweater in cashmere and wool. Featuring a round neck, long sleeve and ribbed trims.",Bluish,WOMAN,,
429.00,471497253,ZARA WOMAN COLLECTION  Dress made from a viscose blend knit. Round neck and v-neck with sleeves below the elbow. Matching fabric belt adjustable with tie fastening. Front fastening with hidden buttons behind a placket.,Leopard,WOMAN,,
219.00,466799595,ZARA WOMAN COLLECTION Flowing halter neck top with sleeveless design. Asymmetric hem. Keyhole and button fastening at the neck.,Ecru / Black,WOMAN,,
299.00,472247211,Dress with a flowing neckline and asymmetric sleeves. Featuring pleats and gathered detailing on the sides. Short inner lining. Hem with side slit. Side zip fastening concealed in the seam.,Multicoloured,WOMAN,,
349.00,459545002,Lapel collar dress with a V-neck and sleeveless design. Belt detail. In-seam side pockets. Flared hem. Side zip fastening concealed in the seam.,Brown,WOMAN,,
269.00,455980130,Faux fur sandals. Front strap. Kitten heel. Round toe. Heel height: 6 cm,Ice,WOMAN,,
189.00,455922392,"Round neck, long sleeve cardigan finished with fringing. Distressed fabric detail. Button-up front.",Dark burgundy,WOMAN,,
149.00,453880704,Scarf made in viscose and 14% wool yarn. Frayed edges. Measurements: 100 x 195 cm.,Brown / Taupe,WOMAN,,
399.00,473007632,Blazer made of 100% linen. Featuring a lapel collar and long sleeves. Front patch pockets with flaps. Front button fastening.,Aubergine,WOMAN,,
269.00,473007153,Trousers made from 100% linen. High waist with an elasticated drawstring waistband. Front pockets. Balloon leg and hem adjustable with drawstrings.,Aubergine,WOMAN,,
189.00,470173577,High neck blouse with puff sleeves and cuff detail. Front fastening with matching buttons.,Brown,WOMAN,,
369.00,461073124,"Trench coat with a lapel collar and long sleeves. Featuring trim detail with tabs, front welt pockets, a double-breasted button fastening and a matching fabric belt.",camel,WOMAN,,
299.00,464911849,Sweater made with wool. Featuring a V-neck with lace and long sleeves.,Ecru,WOMAN,,
169.00,479545523,Flowing halter neck top with a low-cut back and thin straps. Polka dot fabric detail with shimmer.,Ecru,WOMAN,,
219.00,477908604,High-waist trousers with front pockets. Balloon leg finished with tied cuffs. Side zip fastening concealed in the seam.,Light khaki,WOMAN,,
169.00,477864167,Halter neck top with gold-tone hardware and a bare back. Side ruching. Back fastening with a knot and button.,Light khaki,WOMAN,,
269.00,479523865,Dress with a flowing neckline and thin straps. Features a polka dot fabric detail with shimmer and ruffles with combined fabric.,Ecru,WOMAN,,
299.00,452716256,Jacket made of 100% wool. Featuring a round neck and long sleeves. Front button fastening.,Sand / Marl,WOMAN,,
299.00,452716300,Sweater made of 100% wool. Featuring a round neck and long sleeves.,Light yellow,WOMAN,,
199.00,476783588,"Long sleeve, v-neck shirt with a lapel collar. Front placket. Adjustable drawstring waist. Hem with side vents. Front tie closure.",Brown,WOMAN,,
269.00,452694412,Heeled sandals. Strap across the front. Faux fur sole. Ankle strap with buckle fastening. Mid stiletto heel.  Heel height: 6 cm. / 2.3″,Burgundy Red,WOMAN,,
369.00,452693170,Flat sheepskin sandals. Double front strap with buckle detail. Round toe.  Sole height: 2.5 cm / 0.9″,Taupe Grey,WOMAN,,
269.00,454280191,Collared overshirt with long sleeves and buttoned cuffs. Front patch pockets with flaps. Ripped and marked seam detail. Metal button-up front.,Light blue,WOMAN,,
269.00,454388618,MID-WAIST - RIPPED Mid-waist jeans with belt loops and a folded waistband. Five pockets. Ripped detail. Front zip and metal button fastening.,Navy blue,WOMAN,,
369.00,457412842,Short trench coat with a high collar. Long sleeves with tabs on the shoulders and sleeves. Lapel detail on the chest and pockets with flaps on the front. Tie belt in the same fabric. Inner lining. Front fastening with hidden buttons concealed by a placket.,Mid-camel,WOMAN,,
429.00,452702266,Jacket with a stand-up collar and long sleeves with tab detail on the shoulders. Side pockets. Contrasting lining. Zip-up fastening with a snap-button placket on the front.,Black,WOMAN,,
49.00,452728429,MID-WEIGHT - REGULAR FIT - ROUND NECK - NORMAL LENGTH - SHORT SLEEVE Cotton T-shirt. Round neck and short sleeves.,White,WOMAN,,
299.00,452738341,"High neck, long sleeve jacket with dropped shoulders. Side pockets. Elasticated hem. Front zip fastening with a button placket.",Blue,WOMAN,,
269.00,455163169,MID-WAIST - STRAIGHT CROP Mid-waist jeans with belt loops and five pockets. Front zip and metal button fastening.,Navy blue,WOMAN,,
189.00,457410747,Top with a straight neckline and off-the-shoulder design. Side zip fastening with metal zip.,Navy blue,WOMAN,,
349.00,460398372,Long jumpsuit with a straight neckline and adjustable straps. Side pockets. Side fastening with metal buttons.,Navy blue,WOMAN,,
4299.00,452737320,ZARA WOMAN COLLECTION Coat made from 100% leather. Lapel collar and long sleeves. Side pockets concealed in the seam. Straight hem. Front fastening with lined metal hook.,Beige,WOMAN,,
269.00,465161041,LOW-RISE - WIDE LEG - FULL LENGTH ZARA WOMAN COLLECTION Low-rise jeans with belt loops at the waist. Five pockets. Wide leg. Front zip and metal button fastening.,Indigo,WOMAN,,
899.00,457808365,Asymmetric leather bucket bag. Adjustable crossbody strap. Magnetic closure. Purse with removable pocket. Height x Length x Width: 28 x 27.5 x 16.5 cm. / 11.0 x 10.8 x 6.4″,Brown,WOMAN,,
119.00,452737608,SLIM FIT - V-NECK - STANDARD LENGTH - LONG SLEEVE T-shirt made from cotton yarn. V-neck and long sleeve.,Navy blue,WOMAN,,
129.00,464427844,SLIM FIT - ROUND NECK - REGULAR LENGTH - EXTRA LONG SLEEVE T-shirt made in 100% Supima cotton yarn. Featuring a round neck and extra long sleeves. Straight hem.,Black,WOMAN,,
2199.00,452738838,ZARA WOMAN COLLECTION  Bomber jacket made from 100% leather. High collar and long sleeves finished with elastic cuffs. Front pockets concealed in the seams. Elasticated hem. Inner lining. Front fastening with contrasting buttons.,Mid-camel,WOMAN,,
399.00,484160509,ZARA WOMAN COLLECTION Midi dress made from a cotton and 21% linen blend. Round neck and long sleeve. Pleated detail at the waist. Back fastening with opening and button.,Multicoloured,WOMAN,,
269.00,457196953,Ballet flats with a faux sheepskin top. Elasticated front strap detail. Rounded toe.  Sole height: 1 cm / 0.3″,Chocolate Brown,WOMAN,,
4299.00,452737316,ZARA WOMAN COLLECTION Coat made from 100% leather. Lapel collar and long sleeves. Side pockets concealed in the seam. Straight hem. Front fastening with lined metal hook.,White,WOMAN,,
269.00,458083063,Semi-sheer bodysuit crafted from 100% viscose yarn. Boat neck and long sleeves. Snap-button fastening at the bottom.,Brown,WOMAN,,
299.00,467644949,Metal cord waterfall necklace with multiple contrasting combined metal pieces. Adjustable closure with tubular piece.,Gold / Silver,WOMAN,,
119.00,467134628,Mismatched drop earrings with multiple metal mesh-style links. Finished with contrasting beads. Push-back fastening.,Silver,WOMAN,,
299.00,452715903,Sweater made of 100% wool. Featuring a V-neck and long sleeves. Ribbed trims.,Navy blue,WOMAN,,
269.00,470160658,ZARA WOMAN COLLECTION Shirt made from cotton yarn. Polo collar and long sleeve finished with a wide cuff. Asymmetric hem with side vents. Button-up front.,White,WOMAN,,
219.00,472979810,"High-waist trousers with front pockets and false welt back pockets. Straight leg. Front fastening with zip fly, inside button and hook.",Multicoloured,WOMAN,,
219.00,471869479,Boat neck shirt with long sleeves that can be rolled up and fastened with a tab and button.,Multicoloured,WOMAN,,
299.00,468853463,Dress with a flowing neckline at the front and back. Sleeveless with gold-tone hardware on the front. Crinkle effect fabric detail.,Ink blue,WOMAN,,
369.00,464378943,Jacket with a lapel collar and long sleeves. Front patch pockets. Front button fastening and belt.,Brown,WOMAN,,
349.00,473282889,"Halter neck jumpsuit with v-neck with knot detail and open back. Featuring cut-out detail at the waist, front pockets and straight legs. Front zip, inner button and hook fastening.",Brown / Taupe,WOMAN,,
299.00,452740839,Loose-fitting blazer with a lapel collar and long sleeves with shoulder pads. Featuring front flap pockets and a double-breasted button fastening.,Black,WOMAN,,
269.00,462395594,"High-waist trousers with chain belt. Front pockets. Straight leg. Front fastening with zip, inside button and hook.",Black,WOMAN,,
399.00,470160492,"Blazer with a lapel collar and long sleeves with shoulder pads. Featuring front flap pockets, a back vent at the hem and front fastening with two embossed buttons.",Black,WOMAN,,
369.00,462153886,Jacket with a round neck and long sleeves. Front pockets. Elasticated hem. Zip-up front.,Chocolate,WOMAN,,
