prices,product id,product description,color,department,sub department,product type
219.00,470762970,Fitted denim jacket. Round neck and long sleeves with slits. Chest patch pockets with buttoned flaps. Metal button fastening at the front.,RINSE BLUE DENIM,,,
75.00,470763447,,Gold,,,
299.00,470763402,Cowboy-style heeled ankle boots. Sewn details. Side straps on the top of the leg. Heel height 4.5 cm.,BLACK ,,,
169.00,470763444,Mid-waist denim mini skort with belt loops. Front pockets and back patch pockets. Front zip fly and metal button fastening. Available in several colours.,Khaki,,,
189.00,470763462,Collared denim shirt with long sleeves and buttoned cuffs. Belt loops and removable contrast belt with metal buckle. Front metal button fastening.,OVERDYED BLUE DENIM,,,
149.00,470763443,"Loose-fitting mid-rise jeans featuring an elasticated waistband with adjustable contrast drawstrings, side pockets and a straight and wide-leg design. Available in assorted colours.",RINSE BLUE DENIM,,,
169.00,470763464,"Sweatshirt featuring a high neck with metal zip fastening, long sleeves and ribbed trims. Available in assorted colours.",0-526,,,
75.00,470763465,,Gold,,,
219.00,470762973,Denim midi dress with a square-cut neckline and wide straps. Zip fastening at the back.,OVERDYED BLUE DENIM,,,
219.00,470762980,Denim midi dress with a square-cut neckline and wide straps. Zip fastening at the back.,OVERDYED BLUE DENIM,,,
189.00,470762960,Sleeveless denim top with a round neck. False welt pockets on the front. Front button fastening and a vent at the hem.,OVERDYED BLUE DENIM,,,
219.00,470762958,"High-waist jeans with front patch pockets and gold button details. Back patch pockets, flared hems and zip fly and top button fastening. Available in several colours.",OVERDYED BLUE DENIM,,,
75.00,470763448,,Gold,,,
149.00,470762972,Sleeveless fitted denim top with a round neck. Fitted waist and loose-fitting ruffled hem. Buttoned opening at the back.,OVERDYED BLUE DENIM,,,
189.00,470762962,"Mid-rise straight-fit jeans with a five-pocket design. Zip fly and metal top button fastening. Available in a range of colours. Rise: Regular waist to the navel Fabric: Comfortable, vintage look",MEDIUM DENIM WASH,,,
219.00,470762906,Flat stretch ankle boots with suede effect. Contrasting stitching and clean design without embellishments. Rounded toe and ankle-hugging shaft. Sole height: 4.5 cm,BEIGE,,,
189.00,470763466,"Mid-rise straight-fit jeans with a five-pocket design. Zip fly and metal top button fastening. Available in a range of colours. Rise: Regular waist to the navel Fabric: Comfortable, vintage look",MEDIUM DENIM WASH,,,
169.00,470762961,"Cropped flared high-waist jeans with belt loops. Featuring front pockets, back patch pockets, a cropped-leg design, frayed hems and front zip and metal button fastening. Available in assorted colours.",MEDIUM DENIM WASH,,,
189.00,470762974,Short sleeveless denim dress with a round neck. Draped detail on the sides. Metal zip fastening at the back.,OVERDYED BLUE DENIM,,,
189.00,470763469,Short sleeveless denim dress with a round neck. Draped detail on the sides. Metal zip fastening at the back.,OVERDYED BLUE DENIM,,,
59.00,470763449,,Gold,,,
199.00,470762965,Low-rise jeans with belt loops. Featuring front pockets and back patch pockets. Super wide-leg design. Front zip and metal button fastening. Available in several colours.,OVERDYED BLUE DENIM,,,
75.00,470763454,,Burgundy,,,
149.00,470762971,Loose-fitting collared shirt with long sleeves and buttoned cuffs. Featuring an asymmetric hem and a button-up front.,White,,,
199.00,470763456,"Low rise flared jeans with belt loops on the waistb AND. Featuring front AND back patch pockets adorned with buttoned flaps. Flared bottoms, front zip fly AND metal button fastening. Available in several colours.",MEDIUM DENIM WASH,,,
199.00,470762977,"Low rise flared jeans with belt loops on the waistb AND. Featuring front AND back patch pockets adorned with buttoned flaps. Flared bottoms, front zip fly AND metal button fastening. Available in several colours.",MEDIUM DENIM WASH,,,
219.00,470763405,Women’s thin sole loafers in black and in red. Chain detail on the front and welt sole. Heel height: 2 cm.,RED ,,,
129.00,470763451,Available in several colours.,Red,,,
169.00,470763463,Denim shirt with a high neck and bow detail. Long sleeves with buttoned cuffs and a button-up front.,OVERDYED BLUE DENIM,,,
269.00,470762969,Collared denim jacket with contrast fabric detail. Long sleeves with buttoned tabs. Patch pockets with buttoned flaps and side vents for the hands. Metal zip-up front.,RINSE BLUE DENIM,,,
299.00,470762905,Brown split leather lace-up loafers.,BROWN,,,
199.00,470762966,"Mid-rise jeans with a relaxed waistband and belt loops. Featuring side pockets and back patch pockets Loose, straight-leg design. Turn-up hems in frayed fabric. Front zip fly and metal top button fastening.",RINSE BLUE DENIM,,,
189.00,470762979,Collared denim shirt with long sleeves and buttoned cuffs. Belt loops and removable contrast belt with metal buckle. Front metal button fastening.,OVERDYED BLUE DENIM,,,
299.00,470763452,Mid-rise jeans with front pockets. Back patch pockets. Rhinestone detail on front. Straight fit. Front zip fly and metal button fastening.,BLACK DENIM WASHED EFFECT ,,,
