prices,product id,product description,color,pdp_url,department,sub department,product type
219.00,470762970,Fitted denim jacket. Round neck and long sleeves with slits. Chest patch pockets with buttoned flaps. Metal button fastening at the front.,RINSE BLUE DENIM,https://www.stradivarius.com/ae/fitted-denim-jacket-l05729861,,,
75.00,470763447,,Gold,https://www.stradivarius.com/ae/set-of-3-croissant-pins-l03254908,,,
299.00,470763402,Cowboy-style heeled ankle boots. Sewn details. Side straps on the top of the leg. Heel height 4.5 cm.,"BLACK ",https://www.stradivarius.com/ae/heeled-cowboy-ankle-boots-l19900670,,,
169.00,470763444,Mid-waist denim mini skort with belt loops. Front pockets and back patch pockets. Front zip fly and metal button fastening. Available in several colours.,"LIGHT BLEACH,MEDIUM DENIM WASH,White,RINSE BLUE DENIM,OVERDYED BLUE DENIM,Khaki",https://www.stradivarius.com/ae/d62-denim-skort-l01283422,,,
189.00,470763462,Collared denim shirt with long sleeves and buttoned cuffs. Belt loops and removable contrast belt with metal buckle. Front metal button fastening.,OVERDYED BLUE DENIM,https://www.stradivarius.com/ae/denim-shirt-with-belt-l06015712,,,
149.00,470763443,"Loose-fitting mid-rise jeans featuring an elasticated waistband with adjustable contrast drawstrings, side pockets and a straight and wide-leg design. Available in assorted colours.","MEDIUM BLUE DENIM,MEDIUM LIGHT BLUE DENIM,RINSE BLUE DENIM",https://www.stradivarius.com/ae/d35-loosefitting-drawstring-jeans-l01235310,,,
169.00,470763464,"Sweatshirt featuring a high neck with metal zip fastening, long sleeves and ribbed trims. Available in assorted colours.","Ecru,Dark blue,Purple,0-526",https://www.stradivarius.com/ae/highneck-zipup-sweatshirt-l06540350,,,
219.00,470762973,Denim midi dress with a square-cut neckline and wide straps. Zip fastening at the back.,OVERDYED BLUE DENIM,https://www.stradivarius.com/ae/denim-midi-dress-l06263369,,,
189.00,470762960,Sleeveless denim top with a round neck. False welt pockets on the front. Front button fastening and a vent at the hem.,OVERDYED BLUE DENIM,https://www.stradivarius.com/ae/denim-top-with-buttons-l02213557,,,
219.00,470762958,"High-waist jeans with front patch pockets and gold button details. Back patch pockets, flared hems and zip fly and top button fastening. Available in several colours.","MEDIUM DENIM WASH,RINSE BLUE DENIM,MEDIUM LIGHT BLUE DENIM,DARK GREY DENIM WASH,BLACK DENIM WASH,LIGHT GREY DENIM WASH,OVERDYED BLUE DENIM",https://www.stradivarius.com/ae/d77-minimalist-jeans-with-pockets-l01477779,,,
75.00,470763448,,Gold,https://www.stradivarius.com/ae/set-of-3-contrast-love-badges-l03353908,,,
149.00,470762972,Sleeveless fitted denim top with a round neck. Fitted waist and loose-fitting ruffled hem. Buttoned opening at the back.,OVERDYED BLUE DENIM,https://www.stradivarius.com/ae/sleeveless-denim-peplum-top-l06216369,,,
189.00,470762962,"Mid-rise straight-fit jeans with a five-pocket design. Zip fly and metal top button fastening. Available in a range of colours. Rise: Regular waist to the navel Fabric: Comfortable, vintage look","DARK GREY DENIM WASH,BLACK DENIM WASHED EFFECT ,MEDIUM LIGHT BLUE DENIM,LIGHT GREY DENIM WASH,MEDIUM LIGHT BLUE DENIM,MEDIUM BLUE DENIM,MEDIUM DENIM WASH",https://www.stradivarius.com/ae/d98-straightleg-vintage-effect-jeans-l01499499,,,
219.00,470762906,Flat stretch ankle boots with suede effect. Contrasting stitching and clean design without embellishments. Rounded toe and ankle-hugging shaft. Sole height: 4.5 cm,BEIGE,https://www.stradivarius.com/ae/faux-suede-flat-ankle-boots-l19953671,,,
169.00,470762961,"Cropped flared high-waist jeans with belt loops. Featuring front pockets, back patch pockets, a cropped-leg design, frayed hems and front zip and metal button fastening. Available in assorted colours.","OVERDYED BLUE DENIM,MEDIUM DENIM WASH",https://www.stradivarius.com/ae/d78-cropped-flared-jeans-l01480410,,,
189.00,470762974,Short sleeveless denim dress with a round neck. Draped detail on the sides. Metal zip fastening at the back.,OVERDYED BLUE DENIM,https://www.stradivarius.com/ae/short-denim-dress-l06270894,,,
59.00,470763449,,Gold,https://www.stradivarius.com/ae/set-of-2-cowboy-and-kitten-badges-l03374911,,,
199.00,470762965,Low-rise jeans with belt loops. Featuring front pockets and back patch pockets. Super wide-leg design. Front zip and metal button fastening. Available in several colours.,"MEDIUM DENIM WASH,BLACK DENIM WASHED EFFECT ,OVERDYED BLUE DENIM",https://www.stradivarius.com/ae/d66-lowwaist-super-wideleg-jeans-l04866845,,,
75.00,470763454,,"Black,Burgundy",https://www.stradivarius.com/ae/plain-tie-l03963903,,,
149.00,470762971,Loose-fitting collared shirt with long sleeves and buttoned cuffs. Featuring an asymmetric hem and a button-up front.,White,https://www.stradivarius.com/ae/long-poplin-shirt-l06003544,,,
199.00,470763456,"Low rise flared jeans with belt loops on the waistb AND. Featuring front AND back patch pockets adorned with buttoned flaps. Flared bottoms, front zip fly AND metal button fastening. Available in several colours.","LIGHT BLEACH,MEDIUM BLUE DENIM,MEDIUM DENIM WASH",https://www.stradivarius.com/ae/d04-low-rise-flared-jeans-l04874808,,,
219.00,470763405,Women’s thin sole loafers in black and in red. Chain detail on the front and welt sole. Heel height: 2 cm.,"BLACK ,RED ",https://www.stradivarius.com/ae/loafers-with-decorative-detailing-l19605670,,,
129.00,470763451,Available in several colours.,"Brown,Red",https://www.stradivarius.com/ae/faux-suede-bag-with-asymmetric-metal-clasp-l03599901,,,
169.00,470763463,Denim shirt with a high neck and bow detail. Long sleeves with buttoned cuffs and a button-up front.,OVERDYED BLUE DENIM,https://www.stradivarius.com/ae/denim-shirt-with-bow-l06196824,,,
269.00,470762969,Collared denim jacket with contrast fabric detail. Long sleeves with buttoned tabs. Patch pockets with buttoned flaps and side vents for the hands. Metal zip-up front.,RINSE BLUE DENIM,https://www.stradivarius.com/ae/contrast-denim-jacket-l05730397,,,
299.00,470762905,Brown split leather lace-up loafers.,BROWN,https://www.stradivarius.com/ae/split-leather-laceup-loafers-l19601670,,,
199.00,470762966,"Mid-rise jeans with a relaxed waistband and belt loops. Featuring side pockets and back patch pockets Loose, straight-leg design. Turn-up hems in frayed fabric. Front zip fly and metal top button fastening.",RINSE BLUE DENIM,https://www.stradivarius.com/ae/d65-straight-turnup-jeans-l04865307,,,
299.00,470763452,Mid-rise jeans with front pockets. Back patch pockets. Rhinestone detail on front. Straight fit. Front zip fly and metal button fastening.,"BLACK DENIM WASHED EFFECT ",https://www.stradivarius.com/ae/straightfit-jeans-with-rhinestones-l04813856,,,
269.00,470763461,"Collared denim jacket with long puff sleeves with elasticated cuffs, featuring side welt pockets, a puffed hem with elastic trim and front metal zip fastening.",RINSE BLUE DENIM,https://www.stradivarius.com/ae/denim-puffer-jacket-l05733566,,,
369.00,470762908,High kitten heel boot with wide shaft. Pointed toe. Available in black and burgundy. Heel height: 4 cm.,"BLACK ",https://www.stradivarius.com/ae/kitten-heel-boot-l19854670,,,
189.00,470762957,"Mid-rise jeans featuring belt loops, front pockets, back patch pockets and front zip fly and metal button fastening. Cropped straight-leg design with frayed hems.","BLACK DENIM WASHED EFFECT ",https://www.stradivarius.com/ae/d96-cropped-straightfit-jeans-l01466538,,,
75.00,470763424,75 x 75 cm,Ecru,https://www.stradivarius.com/ae/printed-scarf-l03534903,,,
369.00,470762945,Bomber jacket made of faded-effect fabric. High neck and long sleeves with elasticated cuffs. Front welt pockets and contrast ribbed knit trims. Front metal zip fastening hidden by a snap-button placket. Available in several colours.,"Olive green,Grey",https://www.stradivarius.com/ae/fadedeffect-bomber-jacket-l08497781,,,
169.00,470762939,Fitted collared T-shirt with long sleeves and buttoned cuffs. Front two-way zip fastening.,Black,https://www.stradivarius.com/ae/fitted-shirt-with-zip-l08162300,,,
269.00,470762947,CANVAS Short jacket with a contrast fabric lapel collar and long sleeves. Side pockets and patch pockets with flaps on the chest. Visible topstitching detail. Front zip fastening hidden by a snap-button placket.,Pale camel,https://www.stradivarius.com/ae/cropped-contrast-jacket-with-pockets-l08856758,,,
199.00,470762942,Mid-rise barrel jeans with an adjustable waistband and tab at the back. Front pockets and back patch pockets. Loose-fitting leg with fitted hems. Zip fly and metal top button fastening.,RINSE BLUE DENIM,https://www.stradivarius.com/ae/adjustable-barrel-fit-jeans-l08350559,,,
219.00,470762936,Mid-rise baggy jeans with belt loops. Featuring front pockets and back patch pockets. Loose-fitting straight-leg design. Front zip fly and metal top button fastening.,RINSE BLUE DENIM,https://www.stradivarius.com/ae/loose-baggy-jeans-l07263595,,,
75.00,470763425,Short fitted T-shirt with a round neck and wide straps. Available in several colours.,"Ecru,Navy blue,Black,Burgundy,Brown",https://www.stradivarius.com/ae/polyamide-tshirt-l07076116,,,
269.00,470763432,Denim jacket with a contrast fabric lapel collar and long sleeves. Side pockets and patch pockets with flaps on the chest. Visible topstitching detail. Front zip fastening hidden by a snap-button placket.,RINSE BLUE DENIM,https://www.stradivarius.com/ae/contrast-denim-jacket-l08855760,,,
299.00,470762948,Collared jacket with contrast fabric detail and long cuffed sleeves. Side pockets and patch pockets with flaps on the chest. Zip-up front and hook-and-loop straps hidden by a placket. Available in several colours.,Olive green,https://www.stradivarius.com/ae/contrast-jacket-with-pockets-l08633615,,,
269.00,470763427,Mid-waist cargo trousers with belt loops. Front pockets and back patch pockets. Buttoned flap pockets on the sides and a straight-leg design. Front zip and metal button fastening. Available in several colours.,"Olive green,Black",https://www.stradivarius.com/ae/straightleg-cargo-trousers-l08274351,,,
269.00,470762941,Mid-rise baggy jeans with belt loops. Featuring front pockets and back patch pockets. Loose-fitting straight-leg design. Front zip fly and metal top button fastening.,Grey,https://www.stradivarius.com/ae/leopard-print-baggy-trousers-l08302120,,,
59.00,470763429,Fitted top with a round neckline and thin straps. Available in a range of colours.,"Black,Ecru,Pastel yellow,Brown",https://www.stradivarius.com/ae/strappy-polyamide-top-l08146116,,,
149.00,470763428,Mid-rise trousers made of a stretch cotton blend for greater comfort. Featuring a folded waistband and a straight-leg design. Available in several colours.,"Black,Grey melange",https://www.stradivarius.com/ae/straight-fit-trousers-with-foldover-waist-l08271422,,,
149.00,470763426,"V-neck knit cardigan with long sleeves, ribbed trims and matching front button fastening. Available in several colours.","Ecru,Black,Brown,Grey melange",https://www.stradivarius.com/ae/buttonup-knit-cardigan-l07549210,,,
129.00,470763431,"Fitted knit vest with a round neck, featuring ribbed trims and a button-up front. Available in several colours.","Grey melange,Brown",https://www.stradivarius.com/ae/buttoned-knit-vest-l08534650,,,
99.00,470762937,Basic boat neck T-shirt with sleeves falling below the elbow.,"Ecru,Grey melange",https://www.stradivarius.com/ae/basic-boatneck-tshirt-l08080680,,,
119.00,470762938,Fitted sleeveless top with an asymmetric neckline and gathered fabric detail on the sides.,"GREY DENIM WASH,Black,Ecru",https://www.stradivarius.com/ae/asymmetric-polka-dot-top-l08060580,,,
429.00,470762944,Faux suede biker jacket. High neck and long sleeves with buttoned cuffs. Side pockets with buttoned flaps. Elastic hem with tab detail. Front metal zip fastening hidden by a snap-button placket.,Black,https://www.stradivarius.com/ae/faux-suede-biker-jacket-l08489703,,,
149.00,470762768,"Straight fit collared shirt with long sleeves and buttoned cuffs. Featuring a chest patch pocket, an asymmetric hem and a button-up front.","Navy blue,Bottle green,Denim blue,Purple",https://www.stradivarius.com/ae/basic-striped-poplin-shirt-with-pocket-l06010635,,,
219.00,470763249,Leather ballet flat-style trainers. Stitched details. Back pull tab. Hook-and-loop strap fastening. Sole height: 1.5 cm. The insole uses Ortholite® technology. This system offers significant benefits for the footwear that incorporates it. Made of polyurethane and rubber for excellent resistance and breathability.,"NATURAL ",https://www.stradivarius.com/ae/leather-ballet-flatstyle-trainers-l19500670,,,
75.00,470762757,,Khaki,https://www.stradivarius.com/ae/retro-tortoiseshell-sunglasses-l03874903,,,
