Pdp Url,Country,Retail Chain,Brand,Product Name,Pack Size,Price per Pack,Price per Kg or L,Promotion (Yes/No),Promotion Description,Product Description,Ingredients,Legal Name,Category Path,Product Image URL,Product Code (EAN/GTIN),Unit Count or Quantity,Private Label (Yes/No),Promotion Start Date,Promotion End Date,Promotion Type,Store or Region,Allergen & Dietary Claims,Nutritional Values,Manufacturer or Distributor,Additional Claims or Labels
https://www.carrefour.fr/p/bonbons-chocolats-lait-cacahuete-m-ms-5000159492966?t=2237,france,,M&MS,Bonbons Chocolats Lait Cacahuète M&MS,le paquet de 550 g,5.19,9.44,Yes,Le 2ème à -40%,D'irrésistibles billes de chocolat pleines de couleurs aussi fun à manger qu'à partager. L'alliance unique entre une cacahuète croquante et un délicieux chocolat au lait.,"Ingrédients: sucre, CACAHUÈTES, pâte de cacao, LAIT entier en poudre, beurre de cacao, amidon, matière grasse de palme, sirop de glucose, LAIT écrémé en poudre, émulsifiant (lécithine de SOJA), stabilisant (gomme arabique), matière grasse de karité, perméat de lactosérum (LAIT), matière grasse du LAIT, dextrine, agent d'enrobage (cire de carnauba), colorants (E100, E120, E133, E160a, E160e, E170),…",Cacahuètes (24%) enrobées de chocolat au lait (48%) et dragéifiées.,"Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/5bed8f73d19d46ddb3fbf2bb2727fcb9/p_540x540/05000159492966_H1N1_s04.png,5000159492966,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 45 g': '985 kJ / 45 g', ""valeur énergétique (kJ)_Taux d'apports journaliers pour 45 g"": '12 %', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 45 g': '236 kcal / 45 g', ""valeur énergétique (kcal)_Taux d'apports journaliers pour 45 g"": '12 %', 'matières grasses_Valeurs nutritionnelles pour 45 g': '12 g / 45 g', ""matières grasses_Taux d'apports journaliers pour 45 g"": '17 %', 'acides gras saturés_Valeurs nutritionnelles pour 45 g': '4.8 g / 45 g', ""acides gras saturés_Taux d'apports journaliers pour 45 g"": '24 %', 'glucides_Valeurs nutritionnelles pour 45 g': '27 g / 45 g', ""glucides_Taux d'apports journaliers pour 45 g"": '10 %', 'sucres_Valeurs nutritionnelles pour 45 g': '24 g / 45 g', ""sucres_Taux d'apports journaliers pour 45 g"": '27 %', 'protéines_Valeurs nutritionnelles pour 45 g': '4.4 g / 45 g', ""protéines_Taux d'apports journaliers pour 45 g"": '9 %', 'sel_Valeurs nutritionnelles pour 45 g': '0.05 g / 45 g', ""sel_Taux d'apports journaliers pour 45 g"": '1 %'}",M&MS,
https://www.carrefour.fr/p/tablette-de-chocolat-lait-noisettes-entieres-milka-7622210439970?t=2237,france,,MILKA,Tablette de Chocolat Lait Noisettes Entières MILKA,Les 2 tablettes de 100 g,3.69,18.45,Yes,Prenez en 3 = Payez en 2,"La tablette Milka noisettes : une délicieuse tablette au chocolat au Lait du Pays Alpin et aux noisettes entières. Les tablettes de chocolat Milka sont disponibles dans de délicieuses saveurs et différents formats, de la tablette standard à la tablette Mmmmax XL, de quoi satisfaire toutes vos envies !","Sucre, NOISETTES (20%), beurre de cacao, pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), pâte de NOISETTE, arôme. PEUT CONTENIR AUTRES FRUITS À COQUE ET BLÉ.",Chocolat au lait du pays alpin avec noisettes entières.,"Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/93169553b93843cea474d6a69613dd74/p_540x540/07622210439970_H1N1_s88.png,7622210439970,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '2346 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '563 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '37 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '16 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '47 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '45 g / 100 g', 'fibres alimentaires_Valeurs nutritionnelles pour 100 g': '3.7 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '8.2 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0.22 g / 100 g'}",MILKA," Marque partenaire Jeu Monopoly "
https://www.carrefour.fr/p/tablette-de-chocolat-lait-riz-croustillant-milka-7622210439994?t=2237,france,,MILKA,Tablette de Chocolat Lait Riz Croustillant MILKA,Les 2 tablettes de 100 g,3.17,15.85,Yes,Prenez en 3 = Payez en 2,"Craquez pour Milka riz : Une tablette au chocolat au Lait du Pays Alpin et aux grains de riz soufflés croustillants Les tablettes de chocolat Milka sont disponibles dans de délicieuses saveurs et différents formats, de la tablette standard à la tablette Mmmmax XL, de quoi satisfaire toutes vos envies !","Sucre, beurre de cacao, riz (13 %), pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), sel, pâte de NOISETTE, extrait de malt d'ORGE, arôme. PEUT CONTENIR AUTRES FRUITS A COQUE ET BLÉ.",Chocolat au lait du pays alpin avec riz croustillant (15 %).,"Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/b6f54b6060004c0382a8f805dfc5a758/p_540x540/07622210439994_H1C1_s02.png,7622210439994,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '2153 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '515 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '27 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '16 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '61 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '48 g / 100 g', 'fibres alimentaires_Valeurs nutritionnelles pour 100 g': '2.1 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '6.5 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0.61 g / 100 g'}",MILKA," Ma communauté recommande "
https://www.carrefour.fr/p/barres-chocolatees-lait-noisette-kinder-bueno-8000500290392?t=2237,france,,KINDER BUENO,Barres Chocolatées Lait Noisette KINDER BUENO,6 barres - 258g,4.35,16.86,Yes,Le 2ème à -60%,"KINDER BUENO c'est une barre délicieusement chocolatée au bon cœur au lait et aux noisettes. Croustillant, fondant, irrésistible... Faites-vous vraiment plaisir.","chocolat au LAIT 31,5% (sucre, beurre de cacao, pâte de cacao, LAIT écrémé en poudre, BEURRE concentré, émulsifiants : lécithines SOJA; vanilline), sucre, huile de palme, farine de FROMENT, NOISETTES broyées 10,8%, LAIT écrémé en poudre 8,5%, LAIT en poudre 5,5%, chocolat noir (sucre, pâte de cacao, beurre de cacao, émulsifiants : lécithines SOJA ; vanilline), cacao maigre, émulsifiants : lécithin…","Fines gaufrettes enrobées de chocolat au lait, fourrées lait et noisettes broyées.","Accueil, Rayons , Epicerie sucrée , Biscuits , Gaufrettes ",https://media.carrefour.fr/medias/f44c3367ff064e26b3230e40a62a02e1/p_540x540/08000500290392_H1R1_s15.png,8000500290392,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '2384 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '572 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '37.3 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '17.3 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '49.5 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '41.2 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '8.6 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0.272 g / 100 g'}",KINDER BUENO,
https://www.carrefour.fr/p/tablette-de-chocolat-cookies-et-creme-feastables-1230000168847?t=2237,france,,FEASTABLES,Tablette de Chocolat Cookies et Crème FEASTABLES,la tablette de 60g,2.99,49.83,Yes,Vu en catalogue,,Chocolat blanc avec fourrage aromatisé à la crème de cacao (10%) et morceaux de biscuit (8%),Feastables – Cookies & Crème - 60g,"Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/e25914e14b4b4dbbb615ca66a1909833/p_540x540/01230000168847_A1N1_s02.jpeg,1230000168847,,,,,,,,{},FEASTABLES,
https://www.carrefour.fr/p/tablette-de-chocolat-noir-excellence-crepe-dentelle-lindt-3046920013789?t=2237,france,,LINDT,Tablette de Chocolat Noir Excellence Crêpe Dentelle LINDT,La tablette de 100g,2.69,26.90,Yes,Prenez en 3 = Payez en 2,Découvrez Lindt EXCELLENCE Pailleté Dentelle : une explosion de sensations dans un délicieux chocolat noir. La fusion parfaite d'un fin chocolat noir et de brisures exquises de la crêpe dentelle pour une texture croustillante. EXCELLENCE. Toute la finesse d'un chocolat noir d'exception.,"Sucre, pâte de cacao, crêpe dentelle 8% (farine de BLE, sucre, beurre LAITIER concentré, poudre de LAIT écrémé, malt d'ORGE, sel), beurre de cacao, beurre LAITIER concentré, émulsifiant (lécithine de SOJA)","Chocolat noir extra-fin, aux brisures de crêpe dentelle croustillante","Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/90bb2c70cd0e4c79a9780c9206f697f7/p_540x540/03046920013789_C1N1_s05.jpeg,3046920013789,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '2186 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '525 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '30 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '18 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '54 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '47 g / 100 g', 'fibres alimentaires_Valeurs nutritionnelles pour 100 g': '7 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '6 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0.17 g / 100 g'}",LINDT," Marque partenaire Jeu Monopoly "
https://www.carrefour.fr/p/tablette-de-chocolat-noir-75-perou-bio-alter-eco-3700214614259?t=2237,france,,ALTER ECO,Tablette de Chocolat Noir 75% Pérou Bio ALTER ECO,La tabLette de 100g,2.89,28.90,Yes,Le 2ème à -50%,"Découvrez le chocolat noir Pérou à 75% de cacao Alter Eco et laissez-vous emporter par ses notes de fruits secs et de caramel. Bio et issue du commerce équitable, c'est la tablette de chocolat idéale pour consommer plus responsable du petit déjeuner au goûter.","Pâte de cacao (Pérou), sucre de canne, beurre de cacao, gousse de vanille. Cacao : 75% minimum. 100% des ingrédients sont issus de l'agriculture biologique et du commerce équitable contrôlé selon le référentiel Fair for Life. Plus d'informations sur www.fairforlife.org",Chocolat Noir,"Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/0af9b5f2ddad4048b3f1f73ee10550de/p_540x540/03700214614259_H1N1_s29.png,3700214614259,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '2516 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '607 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '48 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '29 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '32 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '24 g / 100 g', 'fibres alimentaires_Valeurs nutritionnelles pour 100 g': '10 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '6.8 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0 g / 100 g'}",ALTER ECO," Marque partenaire Jeu Monopoly "
https://www.carrefour.fr/p/tablette-de-chocolat-lait-noisettes-et-amandes-pilees-krokola-3770024649062?t=2237,france,,KROKOLA,Tablette de Chocolat Lait Noisettes et Amandes Pilées KROKOLA,la tablette de 100g,2.95,29.50,Yes,Prenez en 3 = Payez en 2,"Un goût unique, une expérience inoubliable ! L'association d'un délicieux chocolat au lait fondant à des noisettes et amandes pilées. Une bouchée qui vous replongera dans vos souvenirs les plus gourmands.","Sucre, LAIT entier en poudre, Beurre de cacao, pâte de cacao, AMANDES hachées","Chocolat lait, noisettes et amandes pilées","Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/d79219802cba4bf7a7e9a4ccdb495f8a/p_540x540/03770024649062_C1N1_s01.jpeg,3770024649062,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '2362 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '565 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '37 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '18 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '47 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '46 g / 100 g', 'fibres alimentaires_Valeurs nutritionnelles pour 100 g': '3 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '8.5 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0.16 g / 100 g'}",KROKOLA,
https://www.carrefour.fr/p/bonbons-chocolats-lait-smarties-7613287403216?t=2237,france,,SMARTIES,Bonbons Chocolats Lait SMARTIES,le sachet de 375g,4.85,12.93,Yes,Le 2ème à -50%,"SMARTIES® vous accompagne depuis 1937 avec de délicieuses billes au chocolat. Retrouvez ces bonbons multicolores au bon goût de chocolat pour faire plaisir à vos enfants comme à toute la famille ! Composés de chocolat au pur beurre de cacao, ces petites billes craquantes contiennent jusqu'à 65% de chocolat au lait et se présentent sous huit couleurs différentes. Les couleurs de SMARTIES® sont d'or…","Ingrédients: Sucre, LAIT écrémé en poudre, pâte de cacao*, beurre de cacao*, sirop de glucose, farine de BLE, PETIT-LAIT en poudre, matière grasse de LAIT anhydre, matières grasses végétales (palme, karité), amidon, émulsifiant (lécithines), colorants (rouge de betterave, caroténoïdes, curcumine), concentré de spiruline, agents d'enrobage (cire de carnauba, cire blanche d'abeilles), concentrés de …",Bonbons de chocolat au lait (65%) dragéifiés,"Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/deaad44c46af4f4281bdea99ebd4a89d/p_540x540/07613287403216_A1N1_s03.png,7613287403216,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '1975 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '470 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '18.7 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '11.3 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '68.8 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '59.8 g / 100 g', 'fibres alimentaires_Valeurs nutritionnelles pour 100 g': '1.9 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '5.4 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0.13 g / 100 g'}",SMARTIES,
https://www.carrefour.fr/p/barres-chocolatees-lait-kitkat-3800020472125?t=2237,france,,KITKAT,Barres Chocolatées Lait KITKAT,"le sachet de 240,9g",4.75,19.72,Yes,25% d'économies,"KITKAT® Mini MIX, c'est un assortiment de 5 recettes gourmandes KITKAT® Mini : chocolat au lait, chocolat blanc, noisettes, caramel salé, beurre de cacahuètes, et toujours une gaufrette croustillante à la texture légère, dorée au four. Déballez votre KITKAT® Mini, détachez les deux barres, cassez l'une en deux et dégustez votre break* ! La portion repère est de 2 KITKAT® Mini. Cacao approvisionné …","Ingrédients : sucre, farine de BLÉ, LAIT écrémé en poudre, matières grasses végétales (palme, karité), beurre de cacao¹, pâte de cacao¹, sirop de glucose, PETIT-LAIT filtré en poudre, matière grasse de LAIT anhydre, CACAHUÈTES grillées en poudre, éclats de NOISETTE, cacao maigre¹, émulsifiant (lécithines), sel, BEURRE, poudre à lever (carbonates de sodium), CRÈME, arômes naturels (ARACHIDES). ¹Bil…","Classique : gaufrette croustillante enrobée de chocolat au lait (68,9%)./Blanc: gaufrette croustillante avec un enrobage blanc (68,4%)./Noisettes (avec arôme naturel) :gaufrette croustillante enrobée de chocolat au lait (77,6%) et éclats de noisettes (3%)./Beurre de Cacahuètes (avec arôme naturel) : gaufrette croustillante fourrée à la pâte de cacahuètes (7,9%) et enrobée de chocolat au lait (68,9%)./Caramel salé :gaufrette croustillante enrobée de chocolat au lait (75,8%) et caramel salé (5%).","Accueil, Rayons , Epicerie sucrée , Confiseries et Chocolats ",https://media.carrefour.fr/medias/1d7a0f85d6524ae0ad7cb9e831bc8ba7/p_540x540/03800020472125_A1L1_s03.png,3800020472125,,,,,,,,"{'valeur énergétique (kJ)_Valeurs nutritionnelles pour 100 g': '2161 kJ / 100 g', 'valeur énergétique (kcal)_Valeurs nutritionnelles pour 100 g': '517 kcal / 100 g', 'matières grasses_Valeurs nutritionnelles pour 100 g': '27.2 g / 100 g', 'acides gras saturés_Valeurs nutritionnelles pour 100 g': '15.1 g / 100 g', 'glucides_Valeurs nutritionnelles pour 100 g': '59.6 g / 100 g', 'sucres_Valeurs nutritionnelles pour 100 g': '45.6 g / 100 g', 'fibres alimentaires_Valeurs nutritionnelles pour 100 g': '2.2 g / 100 g', 'protéines_Valeurs nutritionnelles pour 100 g': '7 g / 100 g', 'sel_Valeurs nutritionnelles pour 100 g': '0.31 g / 100 g'}",KITKAT," Bonus fidélité doublé dès 100€ d'achat "
