product_name,stock_number,upc,product_number,part_number,images,brand,product_description,pdp_url,specifications,regulatory_data_sheet,other,catalogs,brochures
"3M™ Stikit™ Gold Abrasive Disc Roll 09311, 80D, 6 in (150 mm), No Hole, 100 Discs/Roll 6 Rolls/Case",7100363394,00068060061966,288U,09311,https://multimedia.3m.com/mws/media/2576865J/3m-stikit-gold-abrasive-disc-roll-09311-80d-6-in-150-mm-no-hole.jpg,3M,"3M™ Stikit™ Gold Abrasive Disc 288U is a paper-backed abrasive disc roll designed for use in collision repair. It is available in a range of sizes, grades, and hole patterns. A durable high-quality construction and anti-loading coating reduce loading for longer disc life and provide a smooth consistent finish. Use the 3M™ Stikit™ Gold Abrasive Disc Roll 288U for sanding on collision repair substrates like paint, primer, metal and composites. It is a paper-backed disc in a convenient roll format with high-quality minerals for a long lasting cut and has a load-resistance coating to help reduce clogging and extend the abrasive life. The Stikit™ system features a pressure-sensitive adhesive coating for easy attachment. With 3M™ Stikit™ Gold Abrasive Disc Roll 288U, you can achieve a uniform consistent finish, making it a valuable addition to any repair toolkit.",https://www.3m.com/3M/en_US/p/d/v101793106/,"{'Abrasive Material': 'Aluminum Oxide Blend', 'Application': 'Paint Stripping,Random Orbital Sanding,Strip Paint to Metal,Surface Preparation,Bodywork Solution,Coating Removal,Deburring,Orbital Sanding,Paint Removal,Dent Prepare,Filler Shaping,General Purpose Sanding,Machine Sanding', 'Attachment Type': 'PSA', 'Backing Material': 'Paper', 'Backing Weight': 'D Weight', 'Bond Type': 'Resin', 'Brands': '3M', 'Case Quantity': '6.0 Roll per Case', 'Coat Type': 'Open Coat', 'Equipment - Machines': 'Double Action Sanders,Machine Sanding,Disc Sanders,Random Orbital Sanders,Sander', 'Grit': '80', 'Industries': 'Aerospace,Automotive,Marine,Specialty Vehicle,Transportation', 'Material': 'Paper', 'Maximum Speed': '12000 rpm', 'Number of Vacuum Holes': '0 ', 'Overall Diameter (Imperial)': '6 in', 'Overall Diameter (Metric)': '150 mm', 'Performance Level': 'Good', 'Product Color': 'Gold', 'Product Form': 'Disc Roll', 'Sanding Method': 'Machine', 'Sub Applications': 'Coarse Sanding,Coating Removal,Deburring Edges,General Purpose Sanding,Machine Sanding,Paint Removal,Paint Stripping,Sanding', 'Sub Industries': 'Automotive', 'Vacuum Support': 'No', 'Wet or Dry': 'Dry'}",,https://multimedia.3m.com/mws/media/2595837O/3m-gold-abrasives-288u-brochure-global-master-english-compliant.pdf?&fn=3m-aad-gold-abrasives-288u-brochure-lr-en.pdf,https://multimedia.3m.com/mws/media/2555933O/3m-gold-abrasive-product-change-flyer.pdf?&fn=3m-gold-abrasive-product-change-flyer.pdf,
"3M™ Trizact™ Hookit™ Foam Disc 30362, P5000, 3 in, 15 Discs/Carton, 4 Cartons/Case",7000120106,00051131303621,443SA,30362,https://multimedia.3m.com/mws/media/1067104J/3m-trizact-hookit-foam-disc-30562-5000-5-in.jpg,3M,"Spend less time compounding and enjoy less risk of defects by using 5000-grade 3M™ Trizact™ Hookit™ Foam Abrasives. Use these discs as the next step to refine 3000-grade scratches, to reduce compounding. 3M™ Trizact™ abrasives are engineered for consistent cut and long life. Technicians can spend less time managing a heavy polisher while delivering a fine, consistent finish by using 5000-grade 3M™ Trizact™ Hookit™ Foam Abrasive Discs for paint finishing. Use 3M™ Trizact™ 5000 foam discs for refining 3000-grade sand scratches on painted surfaces and clearcoats. Used damp, they deliver the anti-loading benefits of wet sanding without the productivity-reducing hydroplaning, which can happen when power sanding on overly wet surfaces. The foam backing provides plenty of control and consistent contact with the surface – great for preserving orange peel. Can be used with a soft interface pad for added conformability over curved surfaces. Their patented three-dimensional abrasive structures wear to reveal fresh, sharp mineral - continuously refreshing the abrasive so it delivers a fast cut and long life. When used with other 3M™ Trizact™ abrasives and a 3M™ Perfect-It™ Paint Finishing system, they can reduce overall polishing time.",https://www.3m.com/3M/en_US/p/d/v000146425/,"{'Abrasive Material': 'Silicon Carbide', 'Application': 'Sand Scratch Removal,Surface Finishing,Fine Finishing,Hand Sanding,Machine Sanding,Paint Finishing,Paint Finishing & Detailing,Refining Scratches', 'Attachment Type': 'Hook & Loop', 'Brands': '3M', 'Case Quantity': '4.0 Cartons per Case', 'Grit': '5000', 'Overall Diameter (Imperial)': '3 in', 'Overall Diameter (Metric)': '76.2 mm', 'Product Color': 'Blue', 'Product Form': 'Disc'}",,,,https://multimedia.3m.com/mws/media/2569502O/3m-clean-sanding-system-pneumatic-and-electric-tools-brochure-lr-english.pdf?&fn=3m-aad-orbital-sanders-brochure-english-master-lr.pdf.pdf
"3M™ Trizact™ Hookit™ Foam Abrasive Disc 30562, 5000, 5 in (127 mm), 15 Discs/Carton, 4 Cartons/Case",7000120107,00051131305625,443SA,30562,https://multimedia.3m.com/mws/media/1067104J/3m-trizact-hookit-foam-disc-30562-5000-5-in.jpg,3M,"Spend less time compounding and enjoy less risk of defects by using 5000-grade 3M™ Trizact™ Hookit™ Foam Abrasives. Use these discs as the next step to refine 3000-grade scratches, to reduce compounding. 3M™ Trizact™ abrasives are engineered for consistent cut and long life. Technicians can spend less time managing a heavy polisher while delivering a fine, consistent finish by using 5000-grade 3M™ Trizact™ Hookit™ Foam Abrasive Discs for paint finishing. Use 3M™ Trizact™ 5000 foam discs for refining 3000-grade sand scratches on painted surfaces and clearcoats. Used damp, they deliver the anti-loading benefits of wet sanding without the productivity-reducing hydroplaning, which can happen when power sanding on overly wet surfaces. The foam backing provides plenty of control and consistent contact with the surface – great for preserving orange peel. Can be used with a soft interface pad for added conformability over curved surfaces. Their patented three-dimensional abrasive structures wear to reveal fresh, sharp mineral - continuously refreshing the abrasive so it delivers a fast cut and long life. When used with other 3M™ Trizact™ abrasives and a 3M™ Perfect-It™ Paint Finishing system, they can reduce overall polishing time.",https://www.3m.com/3M/en_US/p/d/v000146426/,"{'Abrasive Material': 'Silicon Carbide', 'Application': 'Sand Scratch Removal,Surface Finishing,Fine Finishing,Hand Sanding,Machine Sanding,Paint Finishing,Paint Finishing & Detailing,Refining Scratches', 'Attachment Type': 'Hook & Loop', 'Brands': '3M', 'Case Quantity': '4.0 Cartons per Case', 'Grit': '5000', 'Overall Diameter (Imperial)': '5 in', 'Overall Diameter (Metric)': '127 mm', 'Product Color': 'Blue', 'Product Form': 'Disc'}",,,,https://multimedia.3m.com/mws/media/2569502O/3m-clean-sanding-system-pneumatic-and-electric-tools-brochure-lr-english.pdf?&fn=3m-aad-orbital-sanders-brochure-english-master-lr.pdf.pdf
"3M™ Trizact™ Hookit™ Foam Disc 30662, P5000, 6 in, 15 Discs/Carton, 4 Cartons/Case",7100003887,00051131306622,443SA,30662,https://multimedia.3m.com/mws/media/1067104J/3m-trizact-hookit-foam-disc-30562-5000-5-in.jpg,3M,"Spend less time compounding and enjoy less risk of defects by using 5000-grade 3M™ Trizact™ Hookit™ Foam Abrasives. Use these discs as the next step to refine 3000-grade scratches, to reduce compounding. 3M™ Trizact™ abrasives are engineered for consistent cut and long life. Technicians can spend less time managing a heavy polisher while delivering a fine, consistent finish by using 5000-grade 3M™ Trizact™ Hookit™ Foam Abrasive Discs for paint finishing. Use 3M™ Trizact™ 5000 foam discs for refining 3000-grade sand scratches on painted surfaces and clearcoats. Used damp, they deliver the anti-loading benefits of wet sanding without the productivity-reducing hydroplaning, which can happen when power sanding on overly wet surfaces. The foam backing provides plenty of control and consistent contact with the surface – great for preserving orange peel. Can be used with a soft interface pad for added conformability over curved surfaces. Their patented three-dimensional abrasive structures wear to reveal fresh, sharp mineral - continuously refreshing the abrasive so it delivers a fast cut and long life. When used with other 3M™ Trizact™ abrasives and a 3M™ Perfect-It™ Paint Finishing system, they can reduce overall polishing time.",https://www.3m.com/3M/en_US/p/d/v000179064/,"{'Abrasive Material': 'Silicon Carbide', 'Application': 'Sand Scratch Removal,Surface Finishing,Fine Finishing,Hand Sanding,Machine Sanding,Paint Finishing,Paint Finishing & Detailing,Refining Scratches', 'Attachment Type': 'Hook & Loop', 'Brands': '3M', 'Case Quantity': '4.0 Cartons per Case', 'Grit': '5000', 'Overall Diameter (Imperial)': '6 in', 'Overall Diameter (Metric)': '152.4 mm', 'Product Color': 'Blue', 'Product Form': 'Disc'}",,,,https://multimedia.3m.com/mws/media/2569502O/3m-clean-sanding-system-pneumatic-and-electric-tools-brochure-lr-english.pdf?&fn=3m-aad-orbital-sanders-brochure-english-master-lr.pdf.pdf
"Scotch-Brite™ Deburr & Finish PRO Flap Brush, DP-FB, 6C Medium+, 8 in x 1-1/2 in x 3 in, 1 ea/Case",7100216230,00638060766767,DP-FB,,https://multimedia.3m.com/mws/media/1641401J/scotch-brite-deburr-finish-pro-flap-brush-4-1-2-in-x-4-in-x-5-8-11-60-backside-view.jpg,Scotch-Brite,"The Scotch-Brite™ Deburr and Finish PRO Flap Brush features 3M Precision Shaped Grain, making it the highest performing flap brush for finishing/weld discoloration removal and extending product life for more parts per brush. Non-woven material finishes and provides consistency and conformability. Contoured part finishing The Benefits of 3M Precision Shaped Grain and Scotch Brite™ Web When top product performance is the bottom line, we recommend our Scotch-Brite™ Deburr and Finish PRO Flap Brush for cleaning and finishing. We designed this flap brush with all the benefits operators have come to expect from our Scotch-Brite™ abrasives, including load resistance and responsive open web that produces an even, consistent finish. What sets this brush apart from other Scotch Brite™ abrasives is 3M Precision Shaped Grain (PSG). This proprietary mineral — coated throughout the abrasive — is engineered for hardness and strength for an exceptionally fast and consistent cut. The sharp-cutting mineral is counteracted by soft, buoyant nylon fibers that respond to surface irregularities and contours. Gaps between fibers allow debris to escape and help minimize loading. Together, the web and mineral combine to aggressively tackle the substrate without sacrificing predictable results. It produces fine finishes on stainless steel and can clean brass and aluminum to provide a bright finish. The Outstanding Performance of 3M Precision Shaped Grain 3M Precision Shaped Grain is produced using 3M technology to create triangular shaped ceramic mineral grains. The razor-sharp corners of each triangle act like individual cutting tools that slice through metal, and continuously shelf-sharpen as the points break off, ensuring extended high performance in heavy-duty production applications. The grains wear evenly and provide extra-long life and consistency with less grinding pressure. The result is that our PSG products outcut and outlast conventional ceramic industrial abrasive products, maximizing productivity and minimizing operator fatigue. Blending finishes back into fabricated metal The Anatomy of Flap Brushes We engineer the Scotch-Brite™ Deburr & Finish PRO Flap Brush by adhering individual sheets of nonwoven abrasive material to a fiber core at a 90 degree angle. Under normal use (abiding by recommended RPMs), the brush minimizes chatter risk. As it spins, flaps rotate centrifugally and make continuous contact with the workpiece. By lapping the surface, the flaps eliminate the residual traces or marks that tend to be left by singular discs or discs ganged on a shaft. A flap brush may be used with a variety of tools, including backstands, 3M™ Match and Finish Sander, and Inline Sanders. The Many Advantages of Scotch-Brite™ Abrasives Nonwoven technology makes our Scotch-Brite™ industrial abrasives unique. A combination of fiber strands, resin, and abrasive mineral forms a thick, open web. The spring-like nature of the fibers responds to contours and effectively removes unwanted burrs, soils, and contaminants while maintaining the geometry of the workpiece, which in turn reduces rework and boosts productivity. Gaps in the web allow swarf to escape, so debris does not clog the mineral. Fibers in the web continually break down with use to reveal fresh mineral for exceptional consistency and long service life. Scotch-Brite™ products may enhance productivity while reducing the need for cleaning chemicals and wire brushes. Scotch-Brite™ abrasives work fast and deliver consistent results, part after part.",https://www.3m.com/3M/en_US/p/d/v101009022/,"{'Abrasive Material': 'Precision Shaped Ceramic', 'Brands': 'Scotch-Brite', 'Core Size (Imperial)': '3 in', 'Core Size (Metric)': '76.2 mm', 'Grade': 'Medium', 'Maximum Speed': '3200 rpm', 'Overall Diameter (Imperial)': '8 in', 'Overall Diameter (Metric)': '203.2 mm', 'Overall Width (Imperial)': '1.5 in', 'Overall Width (Metric)': '38.1 mm', 'Product Form': 'Flap Brush'}",https://cdmsweb.3m.com/ingredientcommunication/file/Media/iykCeaW2Zlk=,,https://multimedia.3m.com/mws/media/2010476O/scotch-brite-nonwoven-abrasives-product-guide-high-resolution.pdf?&fn=Scotch-Brite-Nonwoven-Abrasives-Product-Guide-HR-61-5005-0007-1.pdf,
"3M™ Gold Abrasive Sheet 12549, 80, 9 in x 11 in (229 mm x 280 mm), 50 Sheets/Pack, 5 Packs/Case",7100375934,00068060064752,288U,12549,https://multimedia.3m.com/mws/media/2586899J/3m-gold-abrasive-sheet-coarse-9-in-x-11-in-229-mm-x-280-mm.jpg,3M,"3M™ Gold Abrasive Sheet 288U is a durable abrasive sheet with long lasting, consistent sanding performance. The sheet is suitable for a wide variety of applications in the body repair process. Its durable construction and anti-loading coating help reduce loading for longer sheet life and provide a smooth consistent finish. Use 3M™ Gold Abrasive Sheet 288U for collision repair sanding applications. Its fast long lasting cut makes it an ideal choice for professionals seeking reliable results. The paper features a load-resistant coating that helps prevent clogging , extending the life of the abrasive. 3M™ Gold Abrasives are precision coated and use high quality minerals and resins to deliver longer-lasting abrasives that cut through a variety of surfaces - including paint, primer, metal and composites. With 3M™ Gold Abrasive Sheet 288U, you can achieve a uniform consistent finish, making it a valuable addition to any repair toolkit.",https://www.3m.com/3M/en_US/p/d/v101820266/,"{'Abrasive Material': 'Aluminum Oxide Blend', 'Application': 'Surface Preparation,Coating Removal,Dent Prepare,Filler Shaping,General Purpose Sanding,Hand Sanding,Paint Removal,Paint Sanding,Primer Sanding,Shape and Sand Filler or Putty', 'Backing Material': 'Paper', 'Backing Weight': 'D Weight', 'Bond Type': 'Resin', 'Brands': '3M', 'Case Quantity': '5.0 Packs per Case', 'Coat Type': 'Closed Coat', 'Equipment - Machines': 'Hand Sanding,Orbital Sanders,Sanding Blocks', 'Grit': '80', 'Indoor/Outdoor': 'Indoor', 'Industries': 'Automotive,Marine,Paint Preparation,Transportation', 'Overall Length (Imperial)': '11 in', 'Overall Length (Metric)': '280 mm', 'Overall Width (Imperial)': '9 in', 'Overall Width (Metric)': '229 mm', 'Perforated': 'No', 'Performance Level': 'Good', 'Product Color': 'Gold', 'Product Form': 'Sheet', 'Sanding Method': 'Block,Hand,Machine', 'Sanding Type': 'Dry', 'Sub Applications': 'Paint/Lacquer Sanding,Primer Sanding,Sanding,Clear Coat,Coating Removal,Defect Repair/Leveling,Filler Shaping,General Purpose Sanding,Machine Sanding,Paint Removal,Paint Sanding,Paint Stripping,Sanding Filler', 'Vacuum Support': 'No'}",,https://multimedia.3m.com/mws/media/2595837O/3m-gold-abrasives-288u-brochure-global-master-english-compliant.pdf?&fn=3m-aad-gold-abrasives-288u-brochure-lr-en.pdf,https://multimedia.3m.com/mws/media/2555933O/3m-gold-abrasive-product-change-flyer.pdf?&fn=3m-gold-abrasive-product-change-flyer.pdf,
"3M™ Gold Abrasive Sheet 12545, 180, 9 in x 11 in (229 mm x 280 mm), 50 Sheets/Pack, 5 Packs/Case",7100375611,00068060064790,288U,12545,https://multimedia.3m.com/mws/media/2586891J/3m-gold-abrasive-sheet-12545-180-9-in-x-11-in-229-mm-x-280-mm.jpg,3M,"3M™ Gold Abrasive Sheet 288U is a durable abrasive sheet with long lasting, consistent sanding performance. The sheet is suitable for a wide variety of applications in the body repair process. Its durable construction and anti-loading coating help reduce loading for longer sheet life and provide a smooth consistent finish. Use 3M™ Gold Abrasive Sheet 288U for collision repair sanding applications. Its fast long lasting cut makes it an ideal choice for professionals seeking reliable results. The paper features a load-resistant coating that helps prevent clogging , extending the life of the abrasive. 3M™ Gold Abrasives are precision coated and use high quality minerals and resins to deliver longer-lasting abrasives that cut through a variety of surfaces - including paint, primer, metal and composites. With 3M™ Gold Abrasive Sheet 288U, you can achieve a uniform consistent finish, making it a valuable addition to any repair toolkit.",https://www.3m.com/3M/en_US/p/d/v101820259/,"{'Abrasive Material': 'Aluminum Oxide Blend', 'Application': 'Surface Preparation,Coating Removal,Dent Prepare,Filler Shaping,General Purpose Sanding,Hand Sanding,Paint Removal,Paint Sanding,Primer Sanding,Shape and Sand Filler or Putty', 'Backing Material': 'Paper', 'Backing Weight': 'C Weight', 'Bond Type': 'Resin', 'Brands': '3M', 'Case Quantity': '5.0 Packs per Case', 'Coat Type': 'Closed Coat', 'Equipment - Machines': 'Hand Sanding,Orbital Sanders,Sanding Blocks', 'Grit': '180', 'Indoor/Outdoor': 'Indoor', 'Industries': 'Automotive,Marine,Paint Preparation,Transportation', 'Overall Length (Imperial)': '11 in', 'Overall Length (Metric)': '280 mm', 'Overall Width (Imperial)': '9 in', 'Overall Width (Metric)': '229 mm', 'Perforated': 'No', 'Performance Level': 'Good', 'Product Color': 'Gold', 'Product Form': 'Sheet', 'Sanding Method': 'Block,Hand,Machine', 'Sanding Type': 'Dry', 'Sub Applications': 'Paint/Lacquer Sanding,Primer Sanding,Sanding,Clear Coat,Coating Removal,Defect Repair/Leveling,Filler Shaping,General Purpose Sanding,Machine Sanding,Paint Removal,Paint Sanding,Paint Stripping,Sanding Filler', 'Vacuum Support': 'No'}",,https://multimedia.3m.com/mws/media/2595837O/3m-gold-abrasives-288u-brochure-global-master-english-compliant.pdf?&fn=3m-aad-gold-abrasives-288u-brochure-lr-en.pdf,https://multimedia.3m.com/mws/media/2555933O/3m-gold-abrasive-product-change-flyer.pdf?&fn=3m-gold-abrasive-product-change-flyer.pdf,
"3M™ Gold Abrasive Sheet 12536, 800, 9 in x 11 in (229 mm x 280 mm), 50 Sheets/Pack, 5 Packs/Case",7100375696,00068060064936,288U,12536,https://multimedia.3m.com/mws/media/2586901J/3m-gold-abrasive-sheet-fine-9-in-x-11-in-229-mm-x-280-mm.jpg,3M,"3M™ Gold Abrasive Sheet 288U is a durable abrasive sheet with long lasting, consistent sanding performance. The sheet is suitable for a wide variety of applications in the body repair process. Its durable construction and anti-loading coating help reduce loading for longer sheet life and provide a smooth consistent finish. Use 3M™ Gold Abrasive Sheet 288U for collision repair sanding applications. Its fast long lasting cut makes it an ideal choice for professionals seeking reliable results. The paper features a load-resistant coating that helps prevent clogging , extending the life of the abrasive. 3M™ Gold Abrasives are precision coated and use high quality minerals and resins to deliver longer-lasting abrasives that cut through a variety of surfaces - including paint, primer, metal and composites. With 3M™ Gold Abrasive Sheet 288U, you can achieve a uniform consistent finish, making it a valuable addition to any repair toolkit.",https://www.3m.com/3M/en_US/p/d/v101820261/,"{'Abrasive Material': 'Aluminum Oxide Blend', 'Application': 'Surface Preparation,Coating Removal,Dent Prepare,Filler Shaping,General Purpose Sanding,Hand Sanding,Paint Removal,Paint Sanding,Primer Sanding,Shape and Sand Filler or Putty', 'Backing Material': 'Paper', 'Backing Weight': 'C Weight', 'Bond Type': 'Resin', 'Brands': '3M', 'Case Quantity': '5.0 Packs per Case', 'Coat Type': 'Closed Coat', 'Equipment - Machines': 'Hand Sanding,Orbital Sanders,Sanding Blocks', 'Grit': '800', 'Indoor/Outdoor': 'Indoor', 'Industries': 'Automotive,Marine,Paint Preparation,Transportation', 'Overall Length (Imperial)': '11 in', 'Overall Length (Metric)': '280 mm', 'Overall Width (Imperial)': '9 in', 'Overall Width (Metric)': '229 mm', 'Perforated': 'No', 'Performance Level': 'Good', 'Product Color': 'Gold', 'Product Form': 'Sheet', 'Sanding Method': 'Block,Hand,Machine', 'Sanding Type': 'Dry', 'Sub Applications': 'Paint/Lacquer Sanding,Primer Sanding,Sanding,Clear Coat,Coating Removal,Defect Repair/Leveling,Filler Shaping,General Purpose Sanding,Machine Sanding,Paint Removal,Paint Sanding,Paint Stripping,Sanding Filler', 'Vacuum Support': 'No'}",,https://multimedia.3m.com/mws/media/2595837O/3m-gold-abrasives-288u-brochure-global-master-english-compliant.pdf?&fn=3m-aad-gold-abrasives-288u-brochure-lr-en.pdf,https://multimedia.3m.com/mws/media/2555933O/3m-gold-abrasive-product-change-flyer.pdf?&fn=3m-gold-abrasive-product-change-flyer.pdf,
"3M™ Gold Abrasive Sheet 12552, 40, 9 in x 11 in (229 mm x 280 mm), 50 Sheets/Pack, 5 Packs/Case",7100375825,00068060064691,288U,12552,https://multimedia.3m.com/mws/media/2586887J/3m-gold-abrasive-sheet-12552-40-9-in-x-11-in-229-mm-x-280-mm.jpg,3M,"3M™ Gold Abrasive Sheet 288U is a durable abrasive sheet with long lasting, consistent sanding performance. The sheet is suitable for a wide variety of applications in the body repair process. Its durable construction and anti-loading coating help reduce loading for longer sheet life and provide a smooth consistent finish. Use 3M™ Gold Abrasive Sheet 288U for collision repair sanding applications. Its fast long lasting cut makes it an ideal choice for professionals seeking reliable results. The paper features a load-resistant coating that helps prevent clogging , extending the life of the abrasive. 3M™ Gold Abrasives are precision coated and use high quality minerals and resins to deliver longer-lasting abrasives that cut through a variety of surfaces - including paint, primer, metal and composites. With 3M™ Gold Abrasive Sheet 288U, you can achieve a uniform consistent finish, making it a valuable addition to any repair toolkit.",https://www.3m.com/3M/en_US/p/d/v101820264/,"{'Abrasive Material': 'Aluminum Oxide Blend', 'Application': 'Surface Preparation,Coating Removal,Dent Prepare,Filler Shaping,General Purpose Sanding,Hand Sanding,Paint Removal,Paint Sanding,Primer Sanding,Shape and Sand Filler or Putty', 'Backing Material': 'Paper', 'Backing Weight': 'D Weight', 'Bond Type': 'Resin', 'Brands': '3M', 'Case Quantity': '5.0 Packs per Case', 'Coat Type': 'Closed Coat', 'Equipment - Machines': 'Hand Sanding,Orbital Sanders,Sanding Blocks', 'Grit': '40', 'Indoor/Outdoor': 'Indoor', 'Industries': 'Automotive,Marine,Paint Preparation,Transportation', 'Overall Length (Imperial)': '11 in', 'Overall Length (Metric)': '280 mm', 'Overall Width (Imperial)': '9 in', 'Overall Width (Metric)': '229 mm', 'Perforated': 'No', 'Performance Level': 'Good', 'Product Color': 'Gold', 'Product Form': 'Sheet', 'Sanding Method': 'Block,Hand,Machine', 'Sanding Type': 'Dry', 'Sub Applications': 'Paint/Lacquer Sanding,Primer Sanding,Sanding,Clear Coat,Coating Removal,Defect Repair/Leveling,Filler Shaping,General Purpose Sanding,Machine Sanding,Paint Removal,Paint Sanding,Paint Stripping,Sanding Filler', 'Vacuum Support': 'No'}",,https://multimedia.3m.com/mws/media/2595837O/3m-gold-abrasives-288u-brochure-global-master-english-compliant.pdf?&fn=3m-aad-gold-abrasives-288u-brochure-lr-en.pdf,https://multimedia.3m.com/mws/media/2555933O/3m-gold-abrasive-product-change-flyer.pdf?&fn=3m-gold-abrasive-product-change-flyer.pdf,
"3M™ Gold Abrasive Sheet 12538, 500, 9 in x 11 in (229 mm x 280 mm), 50 Sheets/Pack, 5 Packs/Case",7100375612,00068060064899,288U,12538,https://multimedia.3m.com/mws/media/2586883J/3m-gold-abrasive-sheet-12538-500-9-in-x-11-in-229-mm-x-280-mm.jpg,3M,"3M™ Gold Abrasive Sheet 288U is a durable abrasive sheet with long lasting, consistent sanding performance. The sheet is suitable for a wide variety of applications in the body repair process. Its durable construction and anti-loading coating help reduce loading for longer sheet life and provide a smooth consistent finish. Use 3M™ Gold Abrasive Sheet 288U for collision repair sanding applications. Its fast long lasting cut makes it an ideal choice for professionals seeking reliable results. The paper features a load-resistant coating that helps prevent clogging , extending the life of the abrasive. 3M™ Gold Abrasives are precision coated and use high quality minerals and resins to deliver longer-lasting abrasives that cut through a variety of surfaces - including paint, primer, metal and composites. With 3M™ Gold Abrasive Sheet 288U, you can achieve a uniform consistent finish, making it a valuable addition to any repair toolkit.",https://www.3m.com/3M/en_US/p/d/v101820262/,"{'Abrasive Material': 'Aluminum Oxide Blend', 'Application': 'Surface Preparation,Coating Removal,Dent Prepare,Filler Shaping,General Purpose Sanding,Hand Sanding,Paint Removal,Paint Sanding,Primer Sanding,Shape and Sand Filler or Putty', 'Backing Material': 'Paper', 'Backing Weight': 'C Weight', 'Bond Type': 'Resin', 'Brands': '3M', 'Case Quantity': '5.0 Packs per Case', 'Coat Type': 'Closed Coat', 'Equipment - Machines': 'Hand Sanding,Orbital Sanders,Sanding Blocks', 'Grit': '500', 'Indoor/Outdoor': 'Indoor', 'Industries': 'Automotive,Marine,Paint Preparation,Transportation', 'Overall Length (Imperial)': '11 in', 'Overall Length (Metric)': '280 mm', 'Overall Width (Imperial)': '9 in', 'Overall Width (Metric)': '229 mm', 'Perforated': 'No', 'Performance Level': 'Good', 'Product Color': 'Gold', 'Product Form': 'Sheet', 'Sanding Method': 'Block,Hand,Machine', 'Sanding Type': 'Dry', 'Sub Applications': 'Paint/Lacquer Sanding,Primer Sanding,Sanding,Clear Coat,Coating Removal,Defect Repair/Leveling,Filler Shaping,General Purpose Sanding,Machine Sanding,Paint Removal,Paint Sanding,Paint Stripping,Sanding Filler', 'Vacuum Support': 'No'}",,https://multimedia.3m.com/mws/media/2595837O/3m-gold-abrasives-288u-brochure-global-master-english-compliant.pdf?&fn=3m-aad-gold-abrasives-288u-brochure-lr-en.pdf,https://multimedia.3m.com/mws/media/2555933O/3m-gold-abrasive-product-change-flyer.pdf?&fn=3m-gold-abrasive-product-change-flyer.pdf,
