product_id,product_name,brand,grammage_quantity,grammage_unit,pdp_url,selling_price,regular_price,currency,country_of_origin,breadcrumb,product_description,image_url
0000000000000411,"Cranberry Walnut Salad Bowl, 4.5 oz",Little Salad Bar,4.5,oz,https://www.aldi.us/product/little-salad-bar-cranberry-walnut-salad-bowl-0000000000000411,,,USD,,Home > Fresh Produce > Salad Kits,"Little Salad Bar Cranberry Walnut Salad Bowl is your go-to for a quick, nutritious meal. Packed with spinach, kale, beet greens, pak choi, dried cranberries, feta cheese, flatbread strips, walnuts, and raspberry walnut vinaigrette, this salad bowl is perfect for lunch at work or a light dinner. It's convenient, fresh, and full of flavor.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/73ff2ffc-a25a-413e-a4e3-529e1353ace2/Cranberry%20Walnut%20Salad%20Bowl%204.5%20oz']
0000000000000430,"Flat Leaf Spinach, 8 oz",Little Salad Bar,8,oz,https://www.aldi.us/product/little-salad-bar-flat-leaf-spinach-0000000000000430,1.65,1.65,USD,USA,Home > Fresh Produce > Salad Kits,"Elevate your meals with Little Salad Bar Flat Leaf Spinach. Perfect for salads or cooking, this fresh spinach is a nutritious addition to any dish. Add it to smoothies, sauté it as a side, or mix it into your favorite recipes. Packed with essential vitamins and minerals, it's a healthy choice for your family. Keep it refrigerated and ready to use for quick, easy meals.","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/7cb24026-5294-4954-874e-62031fa97e04/Flat%20Leaf%20Spinach%208%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/263282de-25c8-46fe-95e8-9b016d3748b9/Flat%20Leaf%20Spinach%208%20oz']"
0000000000000532,"Classic Coleslaw, 14 oz",Little Salad Bar,14,oz,https://www.aldi.us/product/little-salad-bar-classic-colesalw-0000000000000532,1.65,1.65,USD,USA,Home > Fresh Produce > Salad Kits,"Add a crunch to your meals with Little Salad Bar Classic Coleslaw. This fresh blend of green cabbage and carrots is pre-washed and ready to eat. Perfect for barbeques, picnics or as a side dish to your favorite sandwich. It's an excellent source of Vitamin C. Keep it simple, keep it fresh, keep it classic with this 14 oz bag of coleslaw.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/b8d253ae-0f54-4721-aba8-4f93d0157de3/Classic%20Coleslaw%2014%20oz']
0000000000000550,"Chef Salad Bowl, 7.75 oz",Little Salad Bar,7.75,oz,https://www.aldi.us/product/little-salad-bar-chef-salad-bowl-0000000000000550,,,USD,USA,Home > Fresh Produce > Salad Kits,"Little Salad Bar Chef Salad Bowl is your go-to for a quick, satisfying meal. Packed with iceberg lettuce, smoked turkey breast, smoked ham, Swiss cheese and ranch dressing, it's a complete meal in one convenient package. Perfect for lunch at work or a light dinner, just grab a fork and dig in. Fresh, wholesome and ready when you are.","['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/3228584f-ec3a-44be-8b53-b0effdc52ae4/Chef%20Salad%20Bowl%207.75%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/b84d5400-c7d3-442b-a808-9dda8ecd977d/Chef%20Salad%20Bowl%207.75%20oz', 'https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/b47b45a7-c404-42df-a622-a2ffc097b5ba/Chef%20Salad%20Bowl%207.75%20oz']"
0000000000000575,"Spinach & Artichoke Stuffed Mushrooms, 8.5 oz",ALDI,8.5,oz,https://www.aldi.us/product/spinach-artichoke-stuffed-mushrooms-8-5-oz-0000000000000575,4.29,4.29,USD,USA,Home > Game Day > Game Day Meals & Beverages,"Spinach & Artichoke Stuffed Mushrooms, 8.5 oz Elevate your appetizer game with Spinach & Artichoke Stuffed Mushrooms. These heat-and-serve baby bella mushrooms are filled with a savory blend of spinach, artichoke, and cheese. Perfect for parties or a quick snack, they offer a gourmet touch to any meal. Serve them straight from the oven for a hassle-free, elegant treat that’s sure to impress. Keep refrigerated for freshness.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/d5305db1-2e24-4d88-9b56-bd0678ab70cb/Spinach%20%20Artichoke%20Stuffed%20Mushrooms%208.5%20oz']
0000000000000601,"Organic Chopped Kale, 12 oz",Simply Nature,12,oz,https://www.aldi.us/product/simply-nature-organic-chopped-kale-12-oz-0000000000000601,3.29,3.29,USD,USA,Home > Fresh Produce > Salad Kits,"Elevate your meals with Simply Nature Organic Chopped Kale. Perfect for smoothies and juicing, this power green is thoroughly washed and ready to use. Add it to salads, soups or sautés for a nutritious boost. Keep refrigerated for freshness. Enjoy the simplicity of organic, non-GMO greens, free from preservatives.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/22c314c5-8212-459d-8450-20fa0e917d62/Organic%20Chopped%20Kale%2012%20oz']
0000000000000796,"Pineapple Spears, 16 oz",Little Salad Bar,16,oz,https://www.aldi.us/product/little-salad-bar-pineapple-spears-16-oz-0000000000000796,,,USD,USA,Home > Fresh Produce > Fresh Fruit,"Enjoy the convenience of Little Salad Bar Pineapple Spears. Fresh and ready to eat, these juicy spears are perfect for snacking, adding to smoothies or topping your favorite desserts. Packed with natural sweetness, they bring a tropical twist to any meal. Keep them refrigerated for a refreshing treat anytime.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/05360104-9134-48fb-950d-146aa3dc3fc4/Pineapple%20%20Spears%2016%20oz']
0000000000000799,"Southwest Chopped Salad Kit, 12 oz",Little Salad Bar,12,oz,https://www.aldi.us/product/little-salad-bar-southwest-chopped-salad-kit-0000000000000799,3.29,3.29,USD,USA,Home > Fresh Produce > Salad Kits,"Elevate your meals with the Little Salad Bar Southwest Chopped Salad Kit. This 12 oz kit includes green cabbage, red cabbage, green leaf lettuce, carrots and green onion, complemented by tortilla strips, a 4 cheese Mexican blend and Greek yogurt jalapeño dressing. Perfect for a quick lunch or a side dish at dinner, it brings bold flavors to your table. Just mix and enjoy for a hassle-free, flavorful experience.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/657982b3-50f0-4e10-a0ad-acff0c1ecc53/Southwest%20Chopped%20Salad%20Kit%2012%20oz']
0000000000000801,"Sunflower Chopped Salad Kit, 11.1 oz",Little Salad Bar,11.1,oz,https://www.aldi.us/product/little-salad-bar-sunflower-chopped-salad-kit-0000000000000801,3.29,3.29,USD,USA,Home > Fresh Produce > Salad Kits,"Meet your new go-to salad. Little Salad Bar Sunflower Chopped Salad Kit features a mix of green cabbage, kale, red cabbage, green leaf lettuce, and carrots. Topped with Italian cheese, edamame, sunflower seeds, and quinoa mix, it's all brought together with a sweet onion vinaigrette. Perfect for a quick lunch or a side dish at dinner. Fresh, ready to eat, and packed with flavor.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/81bebbe0-8ad5-4a16-aff9-4602f191d254/Sunflower%20Chopped%20Salad%20Kit%2011.1%20oz']
0000000000001257,"Italian Salad, 9 oz",Little Salad Bar,9,oz,https://www.aldi.us/product/little-salad-bar-italian-salad-9-oz-0000000000001257,2.99,2.99,USD,USA,Home > Fresh Produce > Salad Kits,"Little Salad Bar Italian Salad is a fresh mix of crunchy romaine and zesty radicchio. Ready to serve straight from the bag, it's perfect for a quick lunch or an easy side dish. Add your favorite dressing and toppings or mix into a larger salad for added flavor and texture. Keep your meals simple and nutritious with this convenient, ready-to-eat salad.",['https://dm.cms.aldi.cx/is/image/prod1amer/product/jpg/scaleWidth/300/958cf551-79f6-40b0-aba9-5ecea5b51560/Italian%20Salad%209%20oz']
