Product_id,Product_name,Brand,Regular_price,Selling_price,Promotion_description,Currency,Pdp_url,Breadcrumb,Product_description,Color,Size,Rating,Review,Features,Material_Care_instruction,Availability,Image_url
20648868,Big Boys Featherweight Twill Shorts,Polo Ralph Lauren,"4,483.00","2,286.00",https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-featherweight-twill-shorts?ID=20648868,INR,https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-featherweight-twill-shorts?ID=20648868,Kids>Shorts,These shorts are made with our most lightweight cotton twill and finished with our signature embroidered Pony.,['Classic khaki'],"['8', '10', '12', '14', '16', '18', '20']",,,"Imported,Signature embroidered Pony above the back right pocket.,Elastic waistband with an interior drawstring. Zip fly with a buttoned closure.,Two front angled pockets. Back right patch pocket.,Coloring may rub off onto fabrics and upholstery.","100% cotton,Machine washable",,"['https://slimages.macysassets.com/is/image/MCY/products/0/optimized/31829080_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31829078_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31829079_fpx.tif']"
20366051,"Toddler & Little Girls Printed Flutter-Sleeve Pullover Sweatshirt & Elastic-Waistband Printed Jogger Pants, 2 Piece Set   	",adidas,"4,710.00","3,532.00",25% off,INR,https://www.macys.com/shop/product/adidas-toddler-little-girls-printed-flutter-sleeve-pullover-sweatshirt-elastic-waistband-printed-jogger-pants-2-piece-set?ID=20366051,Kids>Activewear,"An allover animal print levels up the look of this two-piece adidas set. Small details like ruffles on the sleeves and subtle 3-Stripes balance things out. So warm and cozy, she'll want to wear this outfit all season long.",['Chalky Brown'],"['2T', '3T', '4T', '5', '6', '6X']",5,2,"Set includes: 1 sweatshirt and 1 pair of pants,Sweatshirt: ribbed crewneck; long sleeves with elastic cuffs; flutter trim at shoulders; logo detail at front; allover animal print,Pants: pulls on with elastic waistband; logo detail at left front; allover animal print; 3-Stripes at sides; elastic cuffs,Cotton/polyester,Machine washable,Imported","Machine washable,Cotton/polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32969287_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32969289_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32969290_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32969291_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32969288_fpx.tif']"
20648891,Big Boys Logo Double Knit Joggers,Polo Ralph Lauren,"6,295.00","3,211.00",49% off,INR,https://www.macys.com/shop/product/polo-ralph-lauren-big-boys-logo-double-knit-joggers?ID=20648891,Kids>Pants & Leggings,"Part of the season's baseball-inspired concept, these cotton-blend pants are defined by sporty details like striped trim and signature appliqués that nod to Ralph Lauren's founding year.",['White'],"['S (8/10)', 'M (10/12)', 'L (14/16)', 'XL (18/20)']",,,"Side on-seam pockets. Pieced stripe along the outer side of each leg.,Imported,Interior drawstring waistband. Faux fly.,Ribbed cuffs","Machine washable,75% cotton, 25% polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31729258_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31689096_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31689098_fpx.tif']"
18383186,Big Boys Jumpman Air Embroidery T-Shirt,Jordan,"2,264.00","1,698.00",25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-jumpman-air-embroidery-t-shirt?ID=18383186,Kids>Activewear,The iconic Jumpman logo is embroidered on the chest of this soft jersey T-shirt.,"['Washed Teal', 'Washed Teal', 'Sport Blue', 'White', 'Black', 'Carbon Heather', 'Gym Red']","['S', 'XL']",4.7,38,"Ribbed crewneck,Short sleeves,Jumpman logo embroidery at chest,Pullover style,Cotton/polyester,Machine washable,Imported","Machine washable,Cotton/polyester",,"['https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32273873_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32273875_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32273878_fpx.tif']"
21249487,"Little & Big Girls Cropped Wide-Leg Jeans, Exclusively at Macy's",Epic Threads,"3,623.00","2,174.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-cropped-wide-leg-jeans-exclusively-at-macys?ID=21249487,Kids>Jeans & Denim,"Update her wardrobe with these cool jeans from Epic Threads, in a trend-right wide-leg silhouette.",['Moon Wash'],"['5', '6', '7', '8', '10', '12', '14', '16']",,,"Zip fly with button closure,Slant pockets at front; two back patch pockets,Whiskered at front,Macy's Exclusive,99% cotton, 1% elastane,Machine wash,Imported","Machine wash,99% cotton, 1% elastane",,"['https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32426980_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32426981_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32426982_fpx.tif']"
16520295,Big Kids Court Borough Low Recraft Casual Sneakers from Finish Line,Nike,"6,068.00","4,981.00",18% off,INR,https://www.macys.com/shop/product/nike-big-kids-court-borough-low-recraft-casual-sneakers-from-finish-line?ID=16520295,Shoes,Lace up in a redesigned classic with the Nike Big Kids Court Borough Low Recraft Casual Shoes. This reimagined take on the Court Borough has a redesigned toe box and midfoot area that provides plenty of extra room for growing feet.,['White'],"['4', '5', '6', '6.5', '7']",4.5,112,"Durable synthetic leather upper,Classic laces,Padded collar,Redesigned toe box and midfoot area for growing feet,Cushioned insole,Flex groove rubber outsole,Style number- DV5456,Kids athletic footwear from Finish Line,Synthetic Upper, Rubber Sole,Wipe Clean,Imported",,,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32982336_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32982343_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32982337_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32982338_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32982339_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32982340_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/28720263_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/28720264_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/28720265_fpx.tif']"
20507597,Big Boys Jumpman Woven Play Shorts,Jordan,"3,170.00","2,377.00",25% off,INR,https://www.macys.com/shop/product/jordan-big-boys-jumpman-woven-play-shorts?ID=20507597,Kids>Activewear,"Made of woven polyester poplin with added stretch for freedom of movement, these shorts from Jordan are a playtime must. The stretch waistband has a drawcord to help you get a comfy fit that feels just right, and pockets provide spots to stash small items.","['Gym Red', 'Gym Red', 'White', 'Black']","['S', 'M', 'L', 'XL']",4.7,33,"Encased elastic waistband with a drawcord,Side-seam pockets,Venting at sides of hem,Jumpman logo on left hem,86% polyester, 14% elastane,Machine washable,Imported","Machine washable,86% polyester, 14% elastane",,"['https://slimages.macysassets.com/is/image/MCY/products/7/optimized/31189997_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/31189998_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/31189999_fpx.tif']"
18186911,Big Boys Mesh Logo Shorts,Jordan,"2,536.00","1,775.00",30% off,INR,https://www.macys.com/shop/product/jordan-big-boys-mesh-logo-shorts?ID=18186911,Kids>Activewear,"The mesh body of these Jordan shorts provide a comfortable, breathable feel he can enjoy and that is matched in sporty fashion by their signature logo styling.","['Gym Red', 'Gym Red', 'Midnight Blue', 'Black']","['S', 'M', 'L', 'XL']",4.8,72,"Imported,Elastic waistband with drawcord,Two hand pockets,Jordan logo print at left leg","Polyester mesh,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/6/optimized/32143856_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/7/optimized/32143847_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/8/optimized/32143848_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/9/optimized/32143849_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/0/optimized/32143850_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32143851_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32143852_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32143853_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/32143854_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/32143855_fpx.tif']"
21249467,Little & Big Girls Indigo Cotton Denim Ruffle Skirt,Epic Threads,"3,623.00","2,174.00",40% off,INR,https://www.macys.com/shop/product/epic-threads-little-big-girls-indigo-cotton-denim-ruffle-skirt-exclusively-at-macys?ID=21249467,Kids>Skirts,"A fun twist on classic denim, this stylish cotton skirt from Epic Threads features a cute ruffled hem.",['Millie Was'],"['XS (5/6)', 'S(7-8)', 'M (10/12)', 'L (14/16)']",4.3,3,"Zip fly with button closure; belt loops,Two front pockets,Ruffled hem,Denim,Macy's Exclusive,100% cotton,Machine wash,Imported","100% cotton,Machine wash",,"['https://slimages.macysassets.com/is/image/MCY/products/1/optimized/32428441_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/32428442_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/32428443_fpx.tif']"
18790360,Big Kids P-6000 Casual Sneakers from Finish Line,Nike,"3,623.00","8,151.00",40% off,INR,https://www.macys.com/shop/product/nike-big-kids-p-6000-casual-sneakers-from-finish-line?ID=18790360,,"A mash-up of Pegasus sneakers from the past, the Nike Big Kids P-6000 Casual Sneakers offer plenty of early 2000s running vibes and contemporary comfort for an absolute banger to cap off your everyday outfits. Featuring lightweight and breathable mesh on the upper with mixed-material overlays for stability and a textured look, these runners blend details from the fan-favorite Pegasus franchise and maintain unbelievable comfort to pay homage to an integral line in the Nike archives in an all-new style.","['Silver, Red']","['4', '4.5', '5', '5.5', '6.5']",4.6,43,"Mesh upper with synthetic and real leather overlays,Lace-up closure lets you tighten up the fit ,Synthetic leather Swoosh on the upper ,Premium stitch lines bring together the textured look,Bowerman series branding at the tongue,Foam midsole is lightweight and cushioned,Full rubber outsole for traction and grip,Synthetic leather, Textile upper, Rubber sole,Wipe clean,Imported",,,"['https://slimages.macysassets.com/is/image/MCY/products/1/optimized/31841731_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/3/optimized/31841733_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/4/optimized/31841734_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/5/optimized/31841735_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/6/optimized/31841736_fpx.tif', 'https://slimages.macysassets.com/is/image/MCY/products/2/optimized/31841732_fpx.tif']"
