unique_id,product_name,brand,product_description,selling_price,currency,pdp_url,color
T282194M,Cotton Rich Fleece Lined Hoodie,M&S Collection,"Stay snug in style with this pure cotton hoodie. It's made in a regular fit so you can layer up easily. Fluffy fleece lining. The zip-through fastening and drawstrings ensure you can wrap up warm in the worst weather. Two external pockets keep your essentials handy and your hands out of the cold.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",55.00,£,https://www.marksandspencer.com/cotton-rich-fleece-lined-hoodie/p/clp60744215?color=BLACK#intid=pid_pg2pip48g4r2c2%7Cprodflag_New%7Cprodflag_plp_ts_CBS_7,Black
T285385M,Pure Cotton V Neck T-Shirt,M&S Collection,"Refresh your essentials with this pure cotton t-shirt. Made to a comfy regular fit. The v-neck adds a smart touch. 
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",8.00,£,https://www.marksandspencer.com/pure-cotton-v-neck-t-shirt/p/clp60746462?color=WHITE#intid=pid_pg2pip48g4r12c4%7Cprodflag_New%7Cprodflag_plp_ts_CBS_6,White
T303000A,Pure Extra Fine Merino Wool Jumper,Autograph,"This extra-fine merino wool jumper from our Autograph collection is a luxurious addition to your knitwear collection. It's made with Merino Perform technology to keep you feeling cool and dry all day. A crew neck gives it a laid-back look, while the ribbed trims add a neat finish. 
 
 Autograph: premium investment pieces featuring contemporary cuts and refined finishing touches.",40.00,£,https://www.marksandspencer.com/pure-extra-fine-merino-wool-jumper/p/clp60744504?color=GREYMARL#intid=pid_pg2pip48g4r12c3%7Cprodflag_New,Grey Marl
T111103S,The Ultimate Slim Fit Pure Cotton Non Iron Textured Shirt,M&S Collection,,40.00,£,https://www.marksandspencer.com/the-ultimate-non-iron-textured-shirt/p/clp60735968?color=DARKNAVY#intid=pid_pg2pip48g4r12c2%7Cprodflag_New,Dark Navy
T165086A,Textured Technical Twill Trucker Jacket,Autograph,"This classic trucker jacket from our Autograph collection is made from textured technical twill fabric for long-lasting wear. It's cut to an easy regular fit and lined for extra comfort. Two external flap pockets keep your essentials handy, The chunky button fastening complements the sharp collared neck to give it an effortlessly stylish casual look.
Autograph: premium investment pieces featuring contemporary cuts and refined finishing touches.",75.00,£,https://www.marksandspencer.com/textured-technical-twill-trucker-jacket/p/clp60743556#intid=pid_pg2pip48g4r12c1%7Cprodflag_New,Dark Navy
T307188M,Supersoft Ribbed Half zip Jumper with Wool,M&S Collection,"This understated jumper is crafted from supersoft yarn for a luxuriously smooth and cosy feel. A touch of wool makes it extra warm. There's added stretch for freedom of movement, too. Ribbing adds a touch of texture. On-trend half-zip fastening for easy changes. 
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",35.00,£,https://www.marksandspencer.com/supersoft-ribbed-half-zip-jumper-with-wool/p/clp60745621?color=BLACK#intid=pid_pg2pip48g4r11c4%7Cprodflag_New,Black
T303029M,Cotton Blend Funnel Neck Zip Up Jumper,M&S Collection,,45.00,£,https://www.marksandspencer.com/cotton-blend-funnel-neck-zip-up-jumper/p/clp60745624?color=BLACK#intid=pid_pg2pip48g4r11c3%7Cprodflag_New%7Cprodflag_plp_ts_CBS_6,Black
T307188M,Supersoft Ribbed Half zip Jumper with Wool,M&S Collection,"This understated jumper is crafted from supersoft yarn for a luxuriously smooth and cosy feel. A touch of wool makes it extra warm. There's added stretch for freedom of movement, too. Ribbing adds a touch of texture. On-trend half-zip fastening for easy changes. 
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",35.00,£,https://www.marksandspencer.com/supersoft-ribbed-half-zip-jumper-with-wool/p/clp60745621?color=ECRU#intid=pid_pg2pip48g4r11c2%7Cprodflag_New,Ecru
T281426M,Elasticated Waist Cotton Rich Joggers,M&S Collection,"Kick back in style in these soft and breathable cotton-rich joggers. Roomy relaxed fit. The comfy elasticated drawstring waist keeps them securely in place. Handy side pockets. Snug ribbed cuffs.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",30.00,£,https://www.marksandspencer.com/elasticated-waist-cotton-rich-joggers/p/clp60749175?color=NAVY#intid=pid_pg2pip48g4r11c1%7Cprodflag_New,Navy
T303000A,Pure Extra Fine Merino Wool Jumper,Autograph,"This extra-fine merino wool jumper from our Autograph collection is a luxurious addition to your knitwear collection. It's made with Merino Perform technology to keep you feeling cool and dry all day. A crew neck gives it a laid-back look, while the ribbed trims add a neat finish. 
 
 Autograph: premium investment pieces featuring contemporary cuts and refined finishing touches.",40.00,£,https://www.marksandspencer.com/pure-extra-fine-merino-wool-jumper/p/clp60744504?color=TEALGREEN#intid=pid_pg2pip48g4r10c4%7Cprodflag_New,Teal Green
T303023M,Pure Cotton V-Neck Jumper,M&S Collection,"Crafted from soft and breathable pure cotton, this smart jumper is the perfect lightweight layer for cooler weather. V-neck for versatile outfit styling. Snug ribbed cuffs and hem.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",25.00,£,https://www.marksandspencer.com/pure-cotton-v-neck-jumper/p/clp60749002?color=PEWTER#intid=pid_pg2pip48g4r10c3%7Cprodflag_New,Pewter
T303000A,Pure Extra Fine Merino Wool Jumper,Autograph,"This extra-fine merino wool jumper from our Autograph collection is a luxurious addition to your knitwear collection. It's made with Merino Perform technology to keep you feeling cool and dry all day. A crew neck gives it a laid-back look, while the ribbed trims add a neat finish. 
 
 Autograph: premium investment pieces featuring contemporary cuts and refined finishing touches.",40.00,£,https://www.marksandspencer.com/pure-extra-fine-merino-wool-jumper/p/clp60744504?color=SMOKEYBLUE#intid=pid_pg2pip48g4r10c2%7Cprodflag_New,Smokey Blue
T305020M,Pure Lambswool Crew Neck Jumper,M&S Collection,,40.00,£,https://www.marksandspencer.com/pure-lambswool-crew-neck-jumper/p/clp60745525?color=MUSHROOM#intid=pid_pg2pip48g4r10c1%7Cprodflag_New,Mushroom
