price,description,specification,images,location,contact_info
5413733.11,THIS UNIT IS NOT AVAILABLE TO EXPORT FROM CANADA BY CAT FINANCIAL. UNITS SOLD IN CANADA MUST BE EXPORTED BY A LOCAL CANADIAN CAT DEALER. CONTACT YOUR LOCAL CAT DEALER WITH QUESTIONS.,"{'Year': '2023', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': '259D3', 'Condition': 'Used', 'Stock Number': 'OKL8975026', 'MLS Number': '13295231', 'Serial Number': 'CW927552', 'Usage': '40 Hours', 'Drive Type': 'Track', 'Rating': 'Good'}","['https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122327.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122328.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122329.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122330.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122332.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122334.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122336.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122338.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122340.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122342.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54423/Skid-Steers-Caterpillar-259D3-58122343.jpg']"," Located in Charlottetown, PE, Canada",+1 844-958-1107
6369097.78,"Online Owner's Manual ,Warranty: If sold within Finning territory: 12 month / 1000 hour Powertrain & Hydraulic Warranty to be added at time of sale","{'Year': '2020', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': '299D3', 'Condition': 'Used', 'MLS Number': '12607652', 'Serial Number': 'BX901418', 'Usage': '3,173 Hours', 'Drive Type': 'Track', 'Rating': 'As-Is'}","['https://d2uhsaoc6ysewq.cloudfront.net/42939/Skid-Steers-Caterpillar-299D3-44774783.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/42939/Skid-Steers-Caterpillar-299D3-44774787.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/42939/Skid-Steers-Caterpillar-299D3-44774789.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/42939/Skid-Steers-Caterpillar-299D3-44774791.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/42939/Skid-Steers-Caterpillar-299D3-44800584.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/42939/Skid-Steers-Caterpillar-299D3-44921170.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/42939/Skid-Steers-Caterpillar-299D3-44921171.jpg']"," Located in Edmonton, AB, Canada",+1 844-311-4930
3550918.50,"COUNTERWEIGHT,MACHINE,EXTERNAL,DOOR, CAB, POLYCARBONATE,HIGH FLOW HYDRAULICS,PACKAGE, PERFORMANCE, (H3),PRODUCT LINK, CELLULAR PL641,QUICK COUPLER, ELECTRIC,RADIO, AM/FM, BLUETOOTH,RIDE CONTROL,ROPS, ENCLOSED WITH A/C (C3),SEAT,AIR SUSPENSION,VINYL,HEAT,TRACK,RUBBER,450MM(17.7IN)BLCK","{'Year': '2015', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': '289D', 'Condition': 'Used', 'Stock Number': 'H14901', 'MLS Number': '12619770', 'Serial Number': 'TAW03695', 'Usage': '1,997 Hours', 'Drive Type': 'Track', 'Rating': 'As-Is'}","['https://d2uhsaoc6ysewq.cloudfront.net/54301/Skid-Steers-Caterpillar-289D-44498156.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54301/Skid-Steers-Caterpillar-289D-44498158.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54301/Skid-Steers-Caterpillar-289D-44498159.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54301/Skid-Steers-Caterpillar-289D-44498161.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54301/Skid-Steers-Caterpillar-289D-44498162.jpg']"," Located in Waipahu, HI, US",+1 833-983-2330
5614221.34,"2 Speed Travel,Air Conditioner,Auxiliary Hydraulics Flow - Standard Flow,Bucket,Lighting,Online Owner's Manual ,Product Link,Regulatory Marking,Ride Control","{'Year': '2023', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': '262D3', 'Condition': 'Used', 'Stock Number': 'EQ275908', 'MLS Number': '12540343', 'Serial Number': 'TP400544', 'Usage': '250 Hours', 'Drive Type': '4WD', 'Rating': 'As-Is'}","['https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508147.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508148.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508149.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508150.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508151.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508152.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508153.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54319/Skid-Steers-Caterpillar-262D3-43508154.jpg']"," Located in Milford, MA, US",+1 855-659-2244
1928894.00,"AS IS, AS EQUIPPED,Online Owner's Manual ","{'Year': '2019', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': '226D', 'Condition': 'Used', 'Stock Number': 'X25W5130', 'MLS Number': '13481731', 'Serial Number': 'HRD04356', 'Usage': '1,466 Hours', 'Drive Type': '4WD', 'Rating': 'As-Is'}","['https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55710981.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55710983.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55710986.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55710989.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55710993.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55710996.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55711000.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55711003.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55711009.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55711011.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43057/Skid-Steers-Caterpillar-226D-H1CN-55711016.jpg']"," Located in Port Orchard, WA, US",+1 855-942-4405
4603042.50,"262D3 SKID STEER LOADER,BATTERY,EXTRA HD,DISC,1000 CCA,CAB PACKAGE, ULTRA,CERTIFICATION ARR, P65,COUNTERWEIGHT,MACHINE,EXTERNAL,FILM, ENGINE, ANSI, USA,FILM, RIDE CONTROL, ANSI,FILM, SELF LEVEL, ANSI,HEATER, ENGINE COOLANT, 120V,INSTRUCTIONS, ANSI, USA,Online Owner's Manual ,PRODUCT LINK, CELLULAR PL641,REAR LIGHTS,SEAT BELT, 2"",SERIALIZED TECHNICAL MEDIA KIT,TIRES, 12X16.5 CAT 14PR XD","{'Year': '2019', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': '262D3', 'Condition': 'Used', 'Stock Number': 'E0154118', 'MLS Number': '13573974', 'Serial Number': 'ZB200990', 'Usage': '1,740 Hours', 'Drive Type': '4WD', 'Rating': 'As-Is'}","['https://d2uhsaoc6ysewq.cloudfront.net/43538/Skid-Steers-Caterpillar-262D3-57052642.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43538/Skid-Steers-Caterpillar-262D3-57052644.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43538/Skid-Steers-Caterpillar-262D3-57052645.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43538/Skid-Steers-Caterpillar-262D3-57052647.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43538/Skid-Steers-Caterpillar-262D3-57052648.jpg']"," Located in Kalispell, MT, US",+1 855-939-5801
5016702.59,"2 Speed Travel,Air Conditioner,Auxiliary Hydraulics Flow - Standard Flow,Bucket,Coupler Type - Hydraulic,Online Owner's Manual ,Pilot Control,Radio - Bluetooth,ROPS - Enclosed","{'Year': '2022', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': '249D3', 'Condition': 'Used', 'Stock Number': 'UC3267', 'MLS Number': '12907144', 'Serial Number': 'WS501512', 'Usage': '72 Hours', 'Rating': 'As-Is'}","['https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898936.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898937.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898938.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898939.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898940.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898941.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898942.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898943.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898944.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898945.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898946.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898947.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898948.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898949.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898950.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898951.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898952.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898953.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898954.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898955.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898956.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898957.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898958.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898959.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898960.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898961.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898962.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898963.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898964.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898965.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/43376/Skid-Steers-Caterpillar-249D3-47898966.jpg']"," Located in Bloomingburg, NY, US",+1 844-738-0025
4394677.47,,"{'Year': '2023', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': 'TR270B', 'Condition': 'Used', 'Stock Number': 'MT36973A', 'MLS Number': '13364806', 'Serial Number': 'NPM426784', 'Usage': '464 Hours', 'Rating': 'As-Is'}","['https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900842.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900843.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900844.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900845.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900846.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900847.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900848.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900849.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900850.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900851.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900852.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900853.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900854.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900855.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900856.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900857.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900858.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900859.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900860.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900861.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900863.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54421/Skid-Steers-Case-TR270B-55900864.jpg']"," Located in Toronto, ON, Canada",+1 855-751-0993
6225067.00,"The XCMG TV12 Compact Track Loader delivers reliable performance in tough environments. Powered by a 53.7 kW Tier 4 Final Yanmar engine, it offers a rated capacity of 2,992 lbs. and a tipping load of 8,549 lbs. at just 4 tons of operating weight. The ROPS/FOPS-certified cab, rearview camera, and triple interlock system ensure safety. Easy maintenance with ground-level access and a swing-open cab. Ideal for construction and landscaping with ISO/H control joysticks and high hydraulic flow.,The XCMG TV12 Compact Track Loader is paired in the photo with a 72"" V50 Rotary Brush Cutter from Virnig Attachments as an option. We have a variety of attachment options available.,Skyline Machinery Sales is a privately owned company located in Pasco, WA. We offer a variety of construction and heavy equipment, including excavators, wheel loaders, rollers, and truck cranes. We have decades of combined experience in the construction equipment industry. Skyline Machinery Sales provide quality products at an affordable price, with customer satisfaction as our number one priority.","{'Year': '2025', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': 'XC7-TV12', 'Condition': 'New', 'MLS Number': '13406421', 'Capacity': '2992', 'Horse Power': '72 HP', 'Engine Manufacturer': 'Yanmar', 'Engine Type': '4TNV98CT-NTY', 'Emission Rating': 'USA Tier 4 Final', 'Drive Type': 'Track', 'Two-Speed': 'Yes', 'Enclosed Cab': 'Yes', 'Quick Coupler': 'Yes', 'Coupler': 'Yes'}","['https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639440.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639438.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639439.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639441.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639442.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639443.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639444.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639445.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639446.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639447.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639448.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639449.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639450.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639451.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639452.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639453.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-TV12-54639454.jpg']"," Located in Pasco, WA, US",+1 866-938-8344
4909912.00,"The XCMG SV12 Skid Steer Loader delivers reliable performance in demanding environments. Powered by a 49.2 kW Tier 4 Final Yanmar engine, it offers a rated capacity of 2,690 lbs. and a tipping load of 5,800 lbs. at only 3.8 tons in operating weight. The ROPS/FOPS-certified cab, rearview camera, and safety interlock system ensure operator safety. Easy maintenance with ground-level access and a swing-open cab. Ideal for construction and landscaping with advanced ISO/H control joysticks and high hydraulic flow.,Skyline Machinery Sales is a privately owned company located in Pasco, WA. We offer a variety of construction and heavy equipment, including excavators, wheel loaders, rollers, and truck cranes. We have decades of combined experience in the construction equipment industry. Skyline Machinery Sales provide quality products at an affordable price, with customer satisfaction as our number one priority.","{'Year': '2025', 'Category': 'Skid Steers', 'Manufacturer': ' ', 'Model': 'XC7-SV12', 'Condition': 'New', 'MLS Number': '13413156', 'Capacity': '2690', 'Horse Power': '72 HP', 'Engine Manufacturer': 'Yanmar', 'Engine Type': '4TNV98CT-NTY', 'Emission Rating': 'USA Tier 4 Final', 'Drive Type': '4WD', 'Two-Speed': 'Yes', 'Enclosed Cab': 'Yes'}","['https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756499.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756501.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756504.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756507.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756511.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756515.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756518.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756522.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756526.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756530.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756533.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756537.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756540.jpg', 'https://d2uhsaoc6ysewq.cloudfront.net/54280/Skid-Steers-Xcmg-XC7-SV12-54756544.jpg']"," Located in Hermiston, OR, US",+1 855-346-0580
