product_name,product_description,upc,brand,selling_price,regular_price,currency,pdp_url,warranty,breadcrumb,image_url
Performance Tool Engine Lift Chain  - W41032,"Engine Lift Chain;, 1000 lb. maximum load, heavy-duty 24"" Chain, 28"" overall length",39564124327,Performance Tool,19.99,19.99,USD,https://www.oreillyauto.com/detail/c/performance-tool/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/performance-tool-engine-lift-chain/pfm0/w41032,Limited Lifetime Warranty,Home>Tools & Equipment>Lift Equipment>Performance Tool Engine Lift Chain,https://images.oreillyauto.com/parts/img/large/pfm/orly_w41032_202_ang_primary.jpg
Power Torque Tools 4000 Lbs. Engine Hoist  - PT34786,"Engine Hoist; Maximum Capacity: 2 Ton; A Power Torque 2-ton engine hoist is designed for safe, easy use by both professional and DIY mechanics. Power Torque engine hoists have four lifting ranges on the telescoping boom arm to reach properly into the engine bay. The closed boom capacity is 4000 pounds, and the fully-extended boom capacity is 1000 pounds. The wide base provides stability and safe, controlled lifting or lowering, and heavy-duty casters allow for easy maneuverability and positioning. Power Torque engine hoists also have a foldable design that can break down in seconds for transportation and storage. Each engine hoist is built from heavy-gauge welded steel construction and features a blue finish to resist rust and corrosion.Telescoping boom lifting ranges:, 1/2 ton: 0 to 83-7/8 inch, 1 ton: 4-1/8 to 81-7/8 inch, 1-1/2 ton: 9-7/8 to 76-3/4 inch, 2 ton: 15-1/2 to 72 inch",889526384876,Power Torque Tools,354.99,354.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-4000-lbs-engine-hoist/ptt0/pt34786,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 4000 Lbs. Engine Hoist,https://images.oreillyauto.com/parts/img/large/ptt/orly_pt34786_505_ang_primary.jpg
Power Torque Tools 1500 Lbs. Engine Leveler  - PT34134,"Engine Leveler; A Power Torque 1500-pound load leveler is designed to handle most passenger car and small truck engines. The load leveler is designed for use with most shop cranes or engine hoists and allows for adjustment of load and weight distribution when removing or installing engines or other heavy components. Load levelers can help make engine removal or installation quicker, easier, and safer. All Power Torque load levelers are built for maximum strength and long life to keep you working with confidence.",889526384586,Power Torque Tools,59.99,59.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-1500-lbs-engine-leveler/ptt0/pt34134,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 1500 Lbs. Engine Leveler,https://images.oreillyauto.com/parts/img/large/ptt/orly_pt34134_202_ang_primary.jpg
Power Torque Tools 1000 Lbs. Engine Stand  - PT34125,"Engine Stand; Maximum Capacity: 1000 Lbs.; A Power Torque 1000-pound engine stand is built to meet the needs of professional and DIY mechanics. This Power Torque engine stand offers a convenient 360-degree rolling head for various engine positions to simplify assembly, and adjustable engine supports adapt to all engine configurations. Oversized swivel casters offer easy maneuverability and stability to allow the engine stand to be repositioned or stored. Power Torque engine stands are built with a heavy-duty steel frame construction and cast iron support arms that include a rust-resistant finish for longer tool life.",889526384500,Power Torque Tools,139.99,139.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-1000-lbs-engine-stand/ptt0/pt34125,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 1000 Lbs. Engine Stand,https://images.oreillyauto.com/parts/img/large/ptt/orly_pt34125_303_ang_primary.jpg
Power Torque Tools 2000 Lbs. Engine Stand  - PT34710,Engine Stand; Heavy Duty; Maximum Capacity: 1 Ton; A Power Torque 2000-pound engine stand is built to meet the needs of professional and DIY mechanics. This Power Torque engine stand offers a convenient 360-degree rolling head for various engine positions to simplify assembly and features adjustable engine supports that adapt to all engine configurations. The unique frame design has removable legs for storage and 6 large swivel casters for easy maneuverability and stability. Power Torque engine stands are built with a heavy-duty steel frame construction and cast iron support arms that include a rust-resistant finish for longer tool life.,889526384777,Power Torque Tools,257.99,257.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-2000-lbs-engine-stand/ptt0/pt34710,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 2000 Lbs. Engine Stand,https://images.oreillyauto.com/parts/img/large/ptt/orly_pt34710_202_ang_primary.jpg
Power Torque Tools 1500 Lbs. Engine Hoist Stand  - PT34707,"Engine Hoist Stand; Under Support; With Pedal; Maximum Capacity: 3/4 Ton; A Power Torque 3/4-ton pedal under-hoist stand has a solid 12-inch diameter base which supports a lightweight, slender design that can maximize work area and storage space. This Power Torque under hoist stand utilizes a screw-out column which offers a lifting range of 53-1/4 inches to 80 inches. The stand uses a ball bearing post support with a large, rubberized ""T"" handle for exact height adjustment, as well as a fold-away foot pump for easy operation. The Power Torque under-hoist stand is built with a heavy-duty steel frame construction for durability and features a powder coat finish to help prevent rust and corrosion.",889526384746,Power Torque Tools,139.99,139.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-1500-lbs-engine-hoist-stand/ptt0/pt34707,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 1500 Lbs. Engine Hoist Stand,https://images.oreillyauto.com/parts/img/large/ptt/pt34707_n.jpg
Power Torque Tools 4000 Lbs. Engine Hoist  - PT34132,"Engine Hoist; Heavy Duty; Maximum Capacity: 2 Ton; A Power Torque 4000 pound engine hoist is designed for easy, safe use by both professional and DIY mechanics. Power Torque engine hoists have four lifting positions on the telescoping boom arm to reach properly into the engine bay. The wide base and hydraulic ram provide controlled, precise lifting and lowering, and heavy-duty casters allow for easy maneuverability and positioning. Power Torque engine hoists have a foldable design that can break down in seconds for transportation and storage. Each engine hoist is built from heavy-gauge welded steel and features a blue finish to resist rust and corrosion.Telescoping boom lifting ranges:, Range #1: 3-15/16 to 86-5/8 inch, Range #2: 7-7/8 to 82-1/4 inch, Range #3: 12 to 77-15/16 inch, Range #4: 16 to 73-3/4 inch",889526384562,Power Torque Tools,399.99,399.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-4000-lbs-engine-hoist/ptt0/pt34132,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 4000 Lbs. Engine Hoist,https://images.oreillyauto.com/parts/img/large/ptt/orly_pt34132_202_ang_primary.jpg
Power Torque Tools 1500 Lbs. Engine Hoist Stand  - PT34706,"Engine Hoist Stand; Under Support; Heavy Duty; Maximum Capacity: 3/4 Ton; A Power Torque 3/4-ton heavy-duty under-hoist stand has a solid 12-inch diameter base which supports a lightweight, slender design that can maximize work area and storage space. This Power Torque under hoist stand utilizes a screw-out column which offers a lifting range of 53-1/4 inches to 80 inches. The stand uses a ball bearing post support with a large, rubberized ""T"" handle for exact height adjustment, and the handle also offers increased comfort and control. The Power Torque under hoist stand is built with a heavy-duty steel frame construction for durability and features a powder coat finish to help prevent rust and corrosion.",889526384739,Power Torque Tools,149.99,149.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-1500-lbs-engine-hoist-stand/ptt0/pt34706,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 1500 Lbs. Engine Hoist Stand,https://images.oreillyauto.com/parts/img/large/ptt/orly_pt34706_202_ang_primary.jpg
Power Torque Tools 16000 Lbs. Engine Hoist Piston  - PT34133,"Engine Hoist Piston; Hydraulic; A Power Torque 16, 000 pound ram is designed to replace the ram on most engine hoists, with the exception of flat bottom-end hoist applications. The manually-operated ram offers a lifting range of 26-7/8 inches to 49-9/16 inches and includes a 22-5/8 inch long handle and a U-shaped clevis at the bottom for bolt-on applications. Replacement Power Torque rams are designed for maximum lifting performance, and features a rust-resistant finish for longer tool life.",889526384579,Power Torque Tools,164.99,164.99,USD,https://www.oreillyauto.com/detail/c/power-torque-tools/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/power-torque-tools-16000-lbs-engine-hoist-piston/ptt0/pt34133,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>Power Torque Tools 16000 Lbs. Engine Hoist Piston,https://images.oreillyauto.com/parts/img/large/ptt/pt34133_n.jpg
ACDelco 4000 Lbs. Engine Hoist  - 34786,"Engine Hoist; Folding Type; Maximum Capacity: 2 Ton;, Heavy gauge welded steel construction, Breaks down in seconds for transportation and storage, Heavy-duty full swivel casters provide easy maneuverability and positioning, Telescoping boom permits multiple length adjustments, Closed boom capacity is 4000 Lbs., extended boom capacity is 1000 Lbs., Upper position for standard engine removal on vans, Wide base provides controlled lowering, Ships in two boxes, Shipping weight: 180.40 Lbs., Lifting range:, 1/2 Ton (1000 Lbs.): 0"" - 83-7/8"", 1 Ton (2000 Lbs.): 4-1/8"" - 81-7/8"", 1-1/2 Ton (3000 Lbs.): 9-7/8"" - 76-3/4"", 2 Ton (4000 Lbs.): 15-1/2"" - 72""",999999999999999,ACDelco,279.99,279.99,USD,https://www.oreillyauto.com/detail/c/acdelco/tools---equipment/lift-equipment/engine-hoist-stand/63ea21c7f96a/acdelco-4000-lbs-engine-hoist/acd9/34786,1 Year Limited Warranty,Home>Tools & Equipment>Lift Equipment>ACDelco 4000 Lbs. Engine Hoist,https://images.oreillyauto.com/parts/img/large/acd/34786-1.jpg
